agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_curved_Base,PPO,CurvedRays,Base,1,1,9,297,-297,-0.45,-0.45
PPO_curved_Base,PPO,CurvedRays,Base,1,2,9,152,-152,3.55,3.0999999999999996
PPO_curved_Base,PPO,CurvedRays,Base,1,3,8,7,-7,3.5,6.6
PPO_curved_Base,PPO,CurvedRays,Base,1,4,9,7,-7,-0.45,6.1499999999999995
PPO_curved_Base,PPO,CurvedRays,Base,1,5,9,263,97,3.55,9.7
PPO_curved_Base,PPO,CurvedRays,Base,1,6,9,166,194,3.55,13.25
PPO_curved_Base,PPO,CurvedRays,Base,1,7,8,70,290,7.55,20.8
PPO_curved_Base,PPO,CurvedRays,Base,1,8,8,151,-151,-5.86,14.940000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,9,9,297,-297,-2.91,12.030000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,10,9,297,-297,-0.5,11.530000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,11,9,152,-152,0.0,11.530000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,12,8,7,-7,0.0,11.530000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,13,9,7,-7,-0.5,11.030000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,14,9,263,97,0.0,11.030000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,15,9,166,194,0.0,11.030000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,16,8,70,290,0.5,11.530000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,17,8,151,-151,-5.91,5.620000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,18,9,297,-297,-2.96,2.660000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,19,9,297,-297,-0.5,2.160000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,20,9,152,-152,0.0,2.160000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,21,8,7,-7,0.0,2.160000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,22,9,7,-7,-0.5,1.660000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,23,9,263,97,0.0,1.660000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,24,9,166,194,0.0,1.660000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,25,8,70,290,0.5,2.160000000000001
PPO_curved_Base,PPO,CurvedRays,Base,1,26,8,151,-151,-5.91,-3.749999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,27,9,297,-297,-2.96,-6.709999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,28,9,297,-297,-0.5,-7.209999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,29,9,152,-152,0.0,-7.209999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,30,8,7,-7,0.0,-7.209999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,31,9,7,-7,-0.5,-7.709999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,32,9,263,97,0.0,-7.709999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,33,9,166,194,0.0,-7.709999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,34,8,70,290,0.5,-7.209999999999999
PPO_curved_Base,PPO,CurvedRays,Base,1,35,8,151,-151,-5.91,-13.12
PPO_curved_Base,PPO,CurvedRays,Base,1,36,9,297,-297,-2.96,-16.08
PPO_curved_Base,PPO,CurvedRays,Base,1,37,9,297,-297,-0.5,-16.58
PPO_curved_Base,PPO,CurvedRays,Base,1,38,9,152,-152,0.0,-16.58
PPO_curved_Base,PPO,CurvedRays,Base,1,39,8,7,-7,0.0,-16.58
PPO_curved_Base,PPO,CurvedRays,Base,1,40,9,7,-7,-0.5,-17.08
PPO_curved_Base,PPO,CurvedRays,Base,1,41,9,263,97,0.0,-17.08
PPO_curved_Base,PPO,CurvedRays,Base,1,42,9,166,194,0.0,-17.08
