agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,1,9,297,-297,-0.4,-0.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,2,9,152,-152,14.0,13.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,3,9,152,-152,-0.5,13.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,4,9,152,-152,-0.5,12.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,5,9,152,-152,-0.5,12.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,6,9,152,-152,-0.5,11.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,7,9,152,-152,-0.5,11.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,8,9,152,-152,-0.5,10.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,9,9,152,-152,-0.5,10.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,10,9,152,-152,-0.5,9.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,11,9,152,-152,-0.5,9.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,12,0,297,-297,-0.5,8.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,13,9,297,-297,-0.5,8.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,14,9,152,-152,-0.5,7.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,15,9,152,-152,-0.5,7.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,16,9,152,-152,-0.5,6.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,17,9,152,-152,-0.5,6.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,18,9,152,-152,-0.5,5.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,19,8,152,-152,-0.5,5.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,20,9,152,-152,-0.5,4.6
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,21,9,152,-152,-0.5,4.1
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,22,9,152,-152,-0.5,3.5999999999999996
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,23,9,152,-152,-0.5,3.0999999999999996
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,24,9,152,-152,-0.5,2.5999999999999996
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,25,9,152,-152,-0.5,2.0999999999999996
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,26,9,152,-152,-0.5,1.5999999999999996
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,27,9,152,-152,-0.5,1.0999999999999996
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,28,9,152,-152,-0.5,0.5999999999999996
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,29,9,152,-152,-0.5,0.09999999999999964
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,30,9,152,-152,-0.5,-0.40000000000000036
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,31,9,152,-152,-0.5,-0.9000000000000004
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,32,9,152,-152,-0.5,-1.4000000000000004
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,33,9,152,-152,-0.5,-1.9000000000000004
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,34,9,152,-152,-0.5,-2.4000000000000004
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,35,9,152,-152,-0.5,-2.9000000000000004
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,36,9,152,-152,-0.5,-3.4000000000000004
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,37,9,152,-152,-0.5,-3.9000000000000004
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,38,9,152,-152,-0.5,-4.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,39,9,152,-152,-0.5,-4.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,40,9,152,-152,-0.5,-5.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,41,9,152,-152,-0.5,-5.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,42,9,152,-152,-0.5,-6.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,43,9,152,-152,-0.5,-6.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,44,9,152,-152,-0.5,-7.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,45,9,152,-152,-0.5,-7.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,46,9,152,-152,-0.5,-8.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,47,9,152,-152,-0.5,-8.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,48,9,152,-152,-0.5,-9.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,49,9,152,-152,-0.5,-9.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,50,9,152,-152,-0.5,-10.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,51,9,152,-152,-0.5,-10.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,52,9,152,-152,-0.5,-11.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,53,9,152,-152,-0.5,-11.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,54,9,152,-152,-0.5,-12.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,55,9,152,-152,-0.5,-12.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,56,9,152,-152,-0.5,-13.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,57,9,152,-152,-0.5,-13.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,58,9,152,-152,-0.5,-14.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,59,9,152,-152,-0.5,-14.9
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,60,9,152,-152,-0.5,-15.4
DQN_curved_kiss,DQN,CurvedRays,Kiss,1,61,9,152,-152,-0.5,-15.9
