agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,1,8,297,-297,-0.4,-0.4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,2,8,151,-151,14.1,13.7
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,3,4,151,-151,-0.5,13.2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,4,9,151,-151,-0.5,12.7
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,5,5,297,-297,-0.5,12.2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,6,5,297,-297,-0.5,11.7
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,7,5,297,-297,-0.5,11.2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,8,9,297,-297,-0.5,10.7
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,9,9,152,-152,-0.5,10.2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,10,8,7,-7,13.9,24.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,11,8,151,-151,-0.5,23.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,12,4,151,-151,-0.5,23.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,13,9,7,-7,-0.5,22.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,14,7,7,-7,-0.5,22.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,15,7,7,-7,-0.5,21.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,16,7,7,-7,-0.5,21.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,17,7,7,-7,-0.5,20.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,18,7,7,-7,-0.5,20.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,19,7,7,-7,-0.5,19.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,20,7,7,-7,-0.5,19.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,21,7,7,-7,-0.5,18.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,22,7,7,-7,-0.5,18.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,23,7,7,-7,-0.5,17.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,24,7,7,-7,-0.5,17.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,25,7,7,-7,-0.5,16.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,26,0,151,-151,-0.5,16.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,27,9,7,-7,-0.5,15.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,28,7,7,-7,-0.5,15.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,29,7,7,-7,-0.5,14.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,30,7,7,-7,-0.5,14.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,31,7,7,-7,-0.5,13.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,32,7,7,-7,-0.5,13.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,33,7,7,-7,-0.5,12.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,34,7,7,-7,-0.5,12.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,35,7,7,-7,-0.5,11.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,36,7,7,-7,-0.5,11.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,37,7,7,-7,-0.5,10.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,38,7,7,-7,-0.5,10.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,39,7,7,-7,-0.5,9.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,40,7,7,-7,-0.5,9.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,41,7,7,-7,-0.5,8.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,42,7,7,-7,-0.5,8.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,43,7,7,-7,-0.5,7.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,44,7,7,-7,-0.5,7.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,45,7,7,-7,-0.5,6.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,46,7,7,-7,-0.5,6.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,47,7,7,-7,-0.5,5.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,48,7,7,-7,-0.5,5.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,49,7,7,-7,-0.5,4.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,50,4,151,-151,-0.5,4.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,51,4,151,-151,-0.5,3.6000000000000014
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,52,9,151,-151,-0.5,3.1000000000000014
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,53,9,7,-7,-0.5,2.6000000000000014
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,54,9,7,-7,-0.5,2.1000000000000014
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,55,7,7,-7,-0.5,1.6000000000000014
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,56,7,7,-7,-0.5,1.1000000000000014
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,57,7,7,-7,-0.5,0.6000000000000014
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,58,7,7,-7,-0.5,0.10000000000000142
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,59,7,7,-7,-0.5,-0.3999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,60,7,7,-7,-0.5,-0.8999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,61,7,7,-7,-0.5,-1.3999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,62,7,7,-7,-0.5,-1.8999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,63,7,7,-7,-0.5,-2.3999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,64,7,7,-7,-0.5,-2.8999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,65,7,7,-7,-0.5,-3.3999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,66,7,7,-7,-0.5,-3.8999999999999986
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,67,0,151,-151,-0.5,-4.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,68,9,7,-7,-0.5,-4.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,69,7,7,-7,-0.5,-5.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,70,7,7,-7,-0.5,-5.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,71,7,7,-7,-0.5,-6.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,72,7,7,-7,-0.5,-6.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,73,7,7,-7,-0.5,-7.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,74,7,7,-7,-0.5,-7.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,75,7,7,-7,-0.5,-8.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,76,7,7,-7,-0.5,-8.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,77,1,7,-7,-0.5,-9.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,78,7,7,-7,-0.5,-9.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,79,7,7,-7,-0.5,-10.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,80,7,7,-7,-0.5,-10.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,81,4,151,-151,-0.5,-11.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,82,4,151,-151,-0.5,-11.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,83,9,151,-151,-0.5,-12.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,84,9,7,-7,-0.5,-12.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,85,9,7,-7,-0.5,-13.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,86,7,7,-7,-0.5,-13.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,87,7,7,-7,-0.5,-14.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,88,7,7,-7,-0.5,-14.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,89,7,7,-7,-0.5,-15.399999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,90,7,7,-7,-0.5,-15.899999999999999
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,91,7,7,-7,-0.5,-16.4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,92,7,7,-7,-0.5,-16.9
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,93,7,7,-7,-0.5,-17.4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,94,7,7,-7,-0.5,-17.9
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,95,7,7,-7,-0.5,-18.4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,96,7,7,-7,-0.5,-18.9
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,97,7,7,-7,-0.5,-19.4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,98,7,7,-7,-0.5,-19.9
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,99,7,7,-7,-0.5,-20.4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,100,7,7,-7,-0.5,-20.9
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,1,8,297,-297,-0.4,-0.4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,2,8,151,-151,14.1,13.7
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,3,4,151,-151,-0.5,13.2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,4,9,151,-151,-0.5,12.7
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,5,9,7,-7,13.9,26.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,6,9,7,-7,-0.5,26.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,7,7,7,-7,-0.5,25.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,8,7,7,-7,-0.5,25.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,9,7,7,-7,-0.5,24.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,10,7,7,-7,-0.5,24.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,11,7,7,-7,-0.5,23.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,12,7,7,-7,-0.5,23.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,13,7,7,-7,-0.5,22.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,14,7,7,-7,-0.5,22.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,15,7,7,-7,-0.5,21.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,16,7,7,-7,-0.5,21.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,17,7,7,-7,-0.5,20.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,18,7,7,-7,-0.5,20.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,19,7,7,-7,-0.5,19.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,20,7,7,-7,-0.5,19.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,21,7,7,-7,-0.5,18.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,22,7,7,-7,-0.5,18.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,23,7,7,-7,-0.5,17.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,24,7,7,-7,-0.5,17.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,25,7,7,-7,-0.5,16.6
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,26,7,7,-7,-0.5,16.1
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,27,7,7,-7,-0.5,15.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,28,7,7,-7,-0.5,15.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,29,7,7,-7,-0.5,14.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,30,7,7,-7,-0.5,14.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,31,7,7,-7,-0.5,13.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,32,7,7,-7,-0.5,13.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,33,7,7,-7,-0.5,12.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,34,7,7,-7,-0.5,12.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,35,7,7,-7,-0.5,11.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,36,7,7,-7,-0.5,11.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,37,7,7,-7,-0.5,10.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,38,7,7,-7,-0.5,10.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,39,7,7,-7,-0.5,9.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,40,7,7,-7,-0.5,9.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,41,7,7,-7,-0.5,8.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,42,7,7,-7,-0.5,8.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,43,7,7,-7,-0.5,7.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,44,7,7,-7,-0.5,7.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,45,7,7,-7,-0.5,6.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,46,7,7,-7,-0.5,6.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,47,7,7,-7,-0.5,5.600000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,48,7,7,-7,-0.5,5.100000000000001
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,49,7,7,-7,-0.5,4.600000000000001
