agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,1,9,297,-297,-0.4,-0.4
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,2,9,152,-152,14.0,13.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,3,8,7,-7,14.0,27.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,4,9,7,-7,-0.5,27.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,5,9,263,97,9.9,37.0
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,6,9,166,194,9.2,46.2
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,7,8,70,290,9.1,55.300000000000004
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,8,3,166,194,-0.5,54.800000000000004
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,9,8,47,313,1.7999999999999998,56.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,10,9,272,448,13.0,69.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,11,9,272,448,-0.5,69.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,12,9,272,448,-0.5,68.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,13,9,166,194,-0.5,68.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,14,8,151,-151,-0.5,67.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,15,9,297,-297,-0.5,67.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,16,9,297,-297,-0.5,66.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,17,9,152,-152,-0.5,66.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,18,8,7,-7,-0.5,65.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,19,9,7,-7,-0.5,65.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,20,9,263,97,-0.5,64.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,21,9,166,194,-0.5,64.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,22,8,70,290,-0.5,63.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,23,3,166,194,-0.5,63.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,24,8,47,313,-0.5,62.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,25,9,272,448,-0.5,62.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,26,9,272,448,-0.5,61.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,27,9,272,448,-0.5,61.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,28,9,166,194,-0.5,60.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,29,8,151,-151,-0.5,60.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,30,9,297,-297,-0.5,59.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,31,9,297,-297,-0.5,59.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,32,9,152,-152,-0.5,58.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,33,8,7,-7,-0.5,58.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,34,9,7,-7,-0.5,57.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,35,9,263,97,-0.5,57.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,36,9,166,194,-0.5,56.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,37,8,70,290,-0.5,56.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,38,3,166,194,-0.5,55.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,39,8,47,313,-0.5,55.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,40,9,272,448,-0.5,54.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,41,9,272,448,-0.5,54.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,42,9,272,448,-0.5,53.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,43,9,166,194,-0.5,53.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,44,8,151,-151,-0.5,52.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,45,9,297,-297,-0.5,52.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,46,9,297,-297,-0.5,51.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,47,9,152,-152,-0.5,51.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,48,8,7,-7,-0.5,50.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,49,9,7,-7,-0.5,50.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,50,9,263,97,-0.5,49.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,51,9,166,194,-0.5,49.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,52,8,70,290,-0.5,48.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,53,3,166,194,-0.5,48.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,54,8,47,313,-0.5,47.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,55,9,272,448,-0.5,47.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,56,9,272,448,-0.5,46.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,57,9,272,448,-0.5,46.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,58,9,166,194,-0.5,45.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,59,8,151,-151,-0.5,45.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,60,9,297,-297,-0.5,44.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,61,9,297,-297,-0.5,44.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,62,9,152,-152,-0.5,43.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,63,8,7,-7,-0.5,43.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,64,9,7,-7,-0.5,42.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,65,9,263,97,-0.5,42.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,66,9,166,194,-0.5,41.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,67,8,70,290,-0.5,41.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,68,3,166,194,-0.5,40.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,69,8,47,313,-0.5,40.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,70,9,272,448,-0.5,39.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,71,9,272,448,-0.5,39.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,72,9,272,448,-0.5,38.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,73,9,166,194,-0.5,38.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,74,8,151,-151,-0.5,37.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,75,9,297,-297,-0.5,37.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,76,9,297,-297,-0.5,36.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,77,9,152,-152,-0.5,36.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,78,8,7,-7,-0.5,35.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,79,9,7,-7,-0.5,35.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,80,9,263,97,-0.5,34.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,81,9,166,194,-0.5,34.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,82,8,70,290,-0.5,33.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,83,3,166,194,-0.5,33.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,84,8,47,313,-0.5,32.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,85,9,272,448,-0.5,32.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,86,9,272,448,-0.5,31.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,87,9,272,448,-0.5,31.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,88,9,166,194,-0.5,30.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,89,8,151,-151,-0.5,30.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,90,9,297,-297,-0.5,29.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,91,9,297,-297,-0.5,29.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,92,9,152,-152,-0.5,28.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,93,8,7,-7,-0.5,28.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,94,9,7,-7,-0.5,27.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,95,9,263,97,-0.5,27.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,96,9,166,194,-0.5,26.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,97,8,70,290,-0.5,26.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,98,3,166,194,-0.5,25.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,99,8,47,313,-0.5,25.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,100,9,272,448,-0.5,24.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,1,9,297,-297,-0.4,-0.4
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,2,9,152,-152,14.0,13.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,3,8,7,-7,14.0,27.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,4,9,7,-7,-0.5,27.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,5,9,263,97,9.9,37.0
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,6,9,166,194,9.2,46.2
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,7,8,70,290,9.1,55.300000000000004
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,8,3,166,194,-0.5,54.800000000000004
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,9,8,47,313,1.7999999999999998,56.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,10,9,272,448,13.0,69.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,11,9,272,448,-0.5,69.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,12,9,272,448,-0.5,68.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,13,9,166,194,-0.5,68.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,14,8,151,-151,-0.5,67.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,15,9,297,-297,-0.5,67.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,16,9,297,-297,-0.5,66.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,17,9,152,-152,-0.5,66.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,18,8,7,-7,-0.5,65.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,19,9,7,-7,-0.5,65.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,20,9,263,97,-0.5,64.6
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,21,9,166,194,-0.5,64.1
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,22,8,70,290,-0.5,63.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,23,3,166,194,-0.5,63.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,24,8,47,313,-0.5,62.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,25,9,272,448,-0.5,62.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,26,9,272,448,-0.5,61.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,27,9,272,448,-0.5,61.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,28,9,166,194,-0.5,60.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,29,8,151,-151,-0.5,60.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,30,9,297,-297,-0.5,59.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,31,9,297,-297,-0.5,59.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,32,9,152,-152,-0.5,58.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,33,8,7,-7,-0.5,58.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,34,9,7,-7,-0.5,57.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,35,9,263,97,-0.5,57.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,36,9,166,194,-0.5,56.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,37,8,70,290,-0.5,56.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,38,3,166,194,-0.5,55.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,39,8,47,313,-0.5,55.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,40,9,272,448,-0.5,54.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,41,9,272,448,-0.5,54.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,42,9,272,448,-0.5,53.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,43,9,166,194,-0.5,53.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,44,8,151,-151,-0.5,52.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,45,9,297,-297,-0.5,52.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,46,9,297,-297,-0.5,51.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,47,9,152,-152,-0.5,51.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,48,8,7,-7,-0.5,50.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,49,9,7,-7,-0.5,50.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,50,9,263,97,-0.5,49.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,51,9,166,194,-0.5,49.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,52,8,70,290,-0.5,48.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,53,3,166,194,-0.5,48.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,54,8,47,313,-0.5,47.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,55,9,272,448,-0.5,47.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,56,9,272,448,-0.5,46.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,57,9,272,448,-0.5,46.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,58,9,166,194,-0.5,45.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,59,8,151,-151,-0.5,45.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,60,9,297,-297,-0.5,44.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,61,9,297,-297,-0.5,44.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,62,9,152,-152,-0.5,43.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,63,8,7,-7,-0.5,43.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,64,9,7,-7,-0.5,42.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,65,9,263,97,-0.5,42.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,66,9,166,194,-0.5,41.599999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,67,8,70,290,-0.5,41.099999999999994
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,68,3,166,194,-0.5,40.599999999999994
