agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_curved_Punish,PPO,CurvedRays,Punish,1,1,9,297,-297,-0.45,-0.45
PPO_curved_Punish,PPO,CurvedRays,Punish,1,2,9,152,-152,3.55,3.0999999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,3,8,7,-7,3.5,6.6
PPO_curved_Punish,PPO,CurvedRays,Punish,1,4,2,151,-151,-2.8899999999999997,3.71
PPO_curved_Punish,PPO,CurvedRays,Punish,1,5,9,151,-151,-0.45,3.26
PPO_curved_Punish,PPO,CurvedRays,Punish,1,6,9,7,-7,3.55,6.81
PPO_curved_Punish,PPO,CurvedRays,Punish,1,7,9,7,-7,-0.45,6.359999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,1,8,9,263,97,3.55,9.91
PPO_curved_Punish,PPO,CurvedRays,Punish,1,9,9,166,194,3.55,13.46
PPO_curved_Punish,PPO,CurvedRays,Punish,1,10,8,70,290,7.55,21.01
PPO_curved_Punish,PPO,CurvedRays,Punish,1,11,2,70,290,-0.45,20.560000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,12,2,151,-151,-5.86,14.700000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,13,9,297,-297,-2.91,11.790000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,14,9,297,-297,-0.5,11.290000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,15,9,152,-152,-0.5,10.790000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,16,8,7,-7,-0.5,10.290000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,17,8,151,-151,-2.8899999999999997,7.400000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,18,9,297,-297,-2.96,4.440000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,19,9,152,-152,-0.45,3.990000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,20,8,7,-7,-0.5,3.490000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,21,9,7,-7,-0.45,3.0400000000000027
PPO_curved_Punish,PPO,CurvedRays,Punish,1,22,9,263,97,-0.5,2.5400000000000027
PPO_curved_Punish,PPO,CurvedRays,Punish,1,23,9,166,194,-0.5,2.0400000000000027
PPO_curved_Punish,PPO,CurvedRays,Punish,1,24,8,70,290,7.5,9.540000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,25,3,166,194,-2.41,7.130000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,26,2,7,-7,-3.46,3.6700000000000026
PPO_curved_Punish,PPO,CurvedRays,Punish,1,27,8,151,-151,-2.8899999999999997,0.7800000000000029
PPO_curved_Punish,PPO,CurvedRays,Punish,1,28,9,7,-7,-0.45,0.3300000000000029
PPO_curved_Punish,PPO,CurvedRays,Punish,1,29,9,263,97,-0.45,-0.11999999999999711
PPO_curved_Punish,PPO,CurvedRays,Punish,1,30,8,7,-7,-2.54,-2.659999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,31,8,151,-151,-2.94,-5.599999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,32,9,7,-7,-0.45,-6.049999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,33,9,263,97,-0.45,-6.499999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,34,9,166,194,-0.45,-6.9499999999999975
PPO_curved_Punish,PPO,CurvedRays,Punish,1,35,4,7,-7,-3.51,-10.459999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,36,8,151,-151,-2.94,-13.399999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,37,9,7,-7,-0.45,-13.849999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,38,0,7,-7,-0.5,-14.349999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,39,9,263,97,-0.5,-14.849999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,40,9,166,194,-0.5,-15.349999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,41,8,70,290,7.5,-7.849999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,42,2,70,290,-0.5,-8.349999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,43,2,151,-151,-5.91,-14.259999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,44,9,297,-297,-2.96,-17.219999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,1,45,9,297,-297,-0.5,-17.719999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,1,46,9,152,-152,-0.5,-18.219999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,1,47,8,7,-7,-0.5,-18.719999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,1,48,8,151,-151,-2.94,-21.659999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,49,9,297,-297,-2.96,-24.619999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,50,9,152,-152,-0.5,-25.119999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,51,8,7,-7,-0.5,-25.619999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,52,9,7,-7,-0.5,-26.119999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,53,9,263,97,-0.5,-26.619999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,54,9,166,194,-0.5,-27.119999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,55,7,164,196,-0.45,-27.569999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,56,8,7,-7,-3.53,-31.099999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,57,9,152,-152,-2.9,-34.0
PPO_curved_Punish,PPO,CurvedRays,Punish,1,58,8,7,-7,-0.45,-34.45
PPO_curved_Punish,PPO,CurvedRays,Punish,1,59,8,151,-151,-2.8899999999999997,-37.34
PPO_curved_Punish,PPO,CurvedRays,Punish,1,60,9,297,-297,-2.96,-40.300000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,1,61,9,152,-152,-0.45,-40.75000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,62,8,152,-152,-0.5,-41.25000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,63,8,7,-7,-0.5,-41.75000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,64,9,7,-7,-0.5,-42.25000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,65,9,263,97,-0.5,-42.75000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,66,9,166,194,-0.5,-43.25000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,67,8,70,290,7.5,-35.75000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,68,2,70,290,-0.5,-36.25000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,69,8,47,313,3.55,-32.70000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,70,9,272,448,3.55,-29.15000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,71,2,47,313,-2.8,-31.95000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,72,9,70,290,-1.68,-33.63000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,73,0,70,290,-0.45,-34.08000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,74,8,151,-151,-5.91,-39.99000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,75,9,297,-297,-2.96,-42.95000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,76,8,151,-151,-0.45,-43.40000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,77,7,151,-151,-0.5,-43.90000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,78,9,7,-7,-0.45,-44.350000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,79,8,151,-151,-2.8899999999999997,-47.240000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,80,9,297,-297,-2.96,-50.20000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,81,9,152,-152,-0.5,-50.70000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,82,8,7,-7,-0.5,-51.20000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,83,2,151,-151,-2.8899999999999997,-54.09000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,84,9,151,-151,-0.5,-54.59000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,85,9,7,-7,-0.5,-55.09000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,86,9,7,-7,-0.5,-55.59000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,87,9,263,97,-0.5,-56.09000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,88,9,166,194,-0.5,-56.59000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,89,4,7,-7,-3.51,-60.100000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,90,8,151,-151,-2.94,-63.04000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,91,9,7,-7,-0.5,-63.54000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,92,2,151,-151,-2.94,-66.48000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,93,9,7,-7,-0.5,-66.98000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,94,5,152,-152,-2.9,-69.88000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,95,8,152,-152,-0.5,-70.38000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,96,8,7,-7,-0.5,-70.88000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,97,9,7,-7,-0.5,-71.38000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,98,9,263,97,-0.5,-71.88000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,99,9,166,194,-0.5,-72.38000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,100,8,70,290,-0.5,-72.88000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,1,9,297,-297,-0.45,-0.45
PPO_curved_Punish,PPO,CurvedRays,Punish,2,2,9,152,-152,3.55,3.0999999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,2,3,8,7,-7,3.5,6.6
PPO_curved_Punish,PPO,CurvedRays,Punish,2,4,7,152,-152,-2.9,3.6999999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,5,2,297,-297,-2.9,0.7999999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,6,9,152,-152,-0.5,0.2999999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,7,0,297,-297,-2.9,-2.6
PPO_curved_Punish,PPO,CurvedRays,Punish,2,8,9,152,-152,-0.45,-3.0500000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,2,9,8,7,-7,3.5,0.44999999999999973
PPO_curved_Punish,PPO,CurvedRays,Punish,2,10,8,151,-151,-2.8899999999999997,-2.44
PPO_curved_Punish,PPO,CurvedRays,Punish,2,11,9,297,-297,-2.96,-5.4
PPO_curved_Punish,PPO,CurvedRays,Punish,2,12,9,152,-152,-0.5,-5.9
PPO_curved_Punish,PPO,CurvedRays,Punish,2,13,8,7,-7,3.5,-2.4000000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,14,5,152,-152,-2.9,-5.300000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,15,8,7,-7,3.55,-1.7500000000000009
PPO_curved_Punish,PPO,CurvedRays,Punish,2,16,9,7,-7,-0.45,-2.200000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,17,9,263,97,3.55,1.3499999999999988
PPO_curved_Punish,PPO,CurvedRays,Punish,2,18,9,166,194,3.55,4.899999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,2,19,8,70,290,7.55,12.45
PPO_curved_Punish,PPO,CurvedRays,Punish,2,20,2,70,290,-0.45,12.0
PPO_curved_Punish,PPO,CurvedRays,Punish,2,21,8,47,313,3.55,15.55
PPO_curved_Punish,PPO,CurvedRays,Punish,2,22,9,272,448,3.55,19.1
PPO_curved_Punish,PPO,CurvedRays,Punish,2,23,2,47,313,-2.8,16.3
PPO_curved_Punish,PPO,CurvedRays,Punish,2,24,9,70,290,-1.68,14.620000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,25,4,47,313,-0.45,14.170000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,26,2,47,313,-0.5,13.670000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,27,9,70,290,-1.73,11.940000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,28,7,263,97,-3.38,8.560000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,29,8,7,-7,-2.54,6.020000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,30,9,263,97,-0.5,5.520000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,31,9,166,194,-0.5,5.020000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,32,7,164,196,-0.45,4.570000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,33,8,7,-7,-3.53,1.0400000000000023
PPO_curved_Punish,PPO,CurvedRays,Punish,2,34,9,152,-152,-2.9,-1.8599999999999977
PPO_curved_Punish,PPO,CurvedRays,Punish,2,35,8,7,-7,-0.45,-2.309999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,36,8,151,-151,-2.8899999999999997,-5.1999999999999975
PPO_curved_Punish,PPO,CurvedRays,Punish,2,37,9,297,-297,-2.91,-8.109999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,38,9,152,-152,-0.45,-8.559999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,39,8,152,-152,-0.5,-9.059999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,40,8,7,-7,-0.5,-9.559999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,41,9,7,-7,-0.5,-10.059999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,42,9,263,97,-0.5,-10.559999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,43,9,166,194,-0.5,-11.059999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,44,8,70,290,-0.5,-11.559999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,45,8,151,-151,-5.86,-17.419999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,46,9,297,-297,-2.96,-20.38
PPO_curved_Punish,PPO,CurvedRays,Punish,2,47,8,151,-151,-0.45,-20.83
PPO_curved_Punish,PPO,CurvedRays,Punish,2,48,8,151,-151,-0.45,-21.279999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,49,2,151,-151,-0.45,-21.729999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,50,9,7,-7,-0.5,-22.229999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,51,9,263,97,-0.5,-22.729999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,52,9,166,194,-0.5,-23.229999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,53,8,70,290,-0.5,-23.729999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,54,2,70,290,-0.5,-24.229999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,55,3,166,194,-2.41,-26.639999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,56,7,164,196,-0.45,-27.089999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,2,57,8,151,-151,-4.970000000000001,-32.059999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,2,58,0,151,-151,-0.5,-32.559999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,2,59,8,151,-151,-0.5,-33.059999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,2,60,9,7,-7,-0.5,-33.559999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,2,61,9,263,97,-0.5,-34.059999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,2,62,9,166,194,-0.5,-34.559999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,2,63,3,263,97,-2.42,-36.98
PPO_curved_Punish,PPO,CurvedRays,Punish,2,64,9,166,194,-0.45,-37.43
PPO_curved_Punish,PPO,CurvedRays,Punish,2,65,2,151,-151,-4.95,-42.38
PPO_curved_Punish,PPO,CurvedRays,Punish,2,66,9,297,-297,-2.91,-45.290000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,67,8,297,-297,-0.45,-45.74000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,68,8,297,-297,-0.5,-46.24000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,69,9,152,-152,-0.5,-46.74000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,70,8,7,-7,-0.5,-47.24000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,71,8,151,-151,-2.94,-50.18000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,72,9,297,-297,-2.96,-53.14000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,73,9,152,-152,-0.5,-53.64000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,74,8,7,-7,-0.5,-54.14000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,75,8,151,-151,-2.8899999999999997,-57.03000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,76,9,297,-297,-2.96,-59.99000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,77,9,152,-152,-0.5,-60.49000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,78,8,7,-7,-0.5,-60.99000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,79,9,7,-7,-0.5,-61.49000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,80,9,263,97,-0.5,-61.99000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,81,9,166,194,-0.5,-62.49000000000001
