agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_straight_BASE,PPO,StraightRays,BASE,1,1,8,297,-297,-0.45,-0.45
PPO_straight_BASE,PPO,StraightRays,BASE,1,2,8,151,-151,3.55,3.0999999999999996
PPO_straight_BASE,PPO,StraightRays,BASE,1,3,9,7,-7,3.5,6.6
PPO_straight_BASE,PPO,StraightRays,BASE,1,4,0,7,-7,-0.45,6.1499999999999995
PPO_straight_BASE,PPO,StraightRays,BASE,1,5,9,263,97,3.55,9.7
PPO_straight_BASE,PPO,StraightRays,BASE,1,6,9,166,194,3.55,13.25
PPO_straight_BASE,PPO,StraightRays,BASE,1,7,2,166,194,-0.45,12.8
PPO_straight_BASE,PPO,StraightRays,BASE,1,8,8,47,313,3.55,16.35
PPO_straight_BASE,PPO,StraightRays,BASE,1,9,9,272,448,3.55,19.900000000000002
PPO_straight_BASE,PPO,StraightRays,BASE,1,10,9,272,448,-0.45,19.450000000000003
PPO_straight_BASE,PPO,StraightRays,BASE,1,11,2,47,313,-2.85,16.6
PPO_straight_BASE,PPO,StraightRays,BASE,1,12,9,70,290,-1.68,14.920000000000002
PPO_straight_BASE,PPO,StraightRays,BASE,1,13,9,166,194,-2.41,12.510000000000002
PPO_straight_BASE,PPO,StraightRays,BASE,1,14,8,7,-7,-3.46,9.05
PPO_straight_BASE,PPO,StraightRays,BASE,1,15,2,7,-7,-0.45,8.600000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,16,9,7,-7,-0.5,8.100000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,17,0,7,-7,-0.5,7.600000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,18,9,263,97,-1.0,6.600000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,19,9,166,194,0.0,6.600000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,20,9,164,196,-0.45,6.150000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,21,7,263,97,-2.44,3.7100000000000013
PPO_straight_BASE,PPO,StraightRays,BASE,1,22,9,152,-152,-3.9400000000000004,-0.2299999999999991
PPO_straight_BASE,PPO,StraightRays,BASE,1,23,9,152,-152,-0.45,-0.679999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,24,8,7,-7,0.04999999999999999,-0.629999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,25,9,7,-7,-0.5,-1.129999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,26,9,263,97,0.0,-1.129999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,27,9,166,194,0.0,-1.129999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,28,2,166,194,-0.5,-1.629999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,29,8,47,313,0.0,-1.629999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,30,9,272,448,0.0,-1.629999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,31,9,272,448,-0.45,-2.079999999999999
PPO_straight_BASE,PPO,StraightRays,BASE,1,32,2,47,313,-2.85,-4.93
PPO_straight_BASE,PPO,StraightRays,BASE,1,33,9,70,290,-1.73,-6.66
PPO_straight_BASE,PPO,StraightRays,BASE,1,34,9,166,194,-2.46,-9.120000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,35,8,7,-7,-3.51,-12.63
PPO_straight_BASE,PPO,StraightRays,BASE,1,36,2,7,-7,-0.5,-13.13
PPO_straight_BASE,PPO,StraightRays,BASE,1,37,9,7,-7,-0.5,-13.63
PPO_straight_BASE,PPO,StraightRays,BASE,1,38,0,7,-7,-0.5,-14.13
PPO_straight_BASE,PPO,StraightRays,BASE,1,39,9,263,97,-1.0,-15.13
PPO_straight_BASE,PPO,StraightRays,BASE,1,40,9,166,194,0.0,-15.13
PPO_straight_BASE,PPO,StraightRays,BASE,1,41,9,164,196,-0.5,-15.63
PPO_straight_BASE,PPO,StraightRays,BASE,1,42,7,263,97,-2.49,-18.12
PPO_straight_BASE,PPO,StraightRays,BASE,1,43,9,152,-152,-3.99,-22.11
PPO_straight_BASE,PPO,StraightRays,BASE,1,44,9,152,-152,-0.5,-22.61
PPO_straight_BASE,PPO,StraightRays,BASE,1,45,8,7,-7,0.0,-22.61
PPO_straight_BASE,PPO,StraightRays,BASE,1,46,9,7,-7,-0.5,-23.11
PPO_straight_BASE,PPO,StraightRays,BASE,1,47,9,263,97,0.0,-23.11
PPO_straight_BASE,PPO,StraightRays,BASE,1,48,9,166,194,0.0,-23.11
PPO_straight_BASE,PPO,StraightRays,BASE,1,49,2,166,194,-0.5,-23.61
PPO_straight_BASE,PPO,StraightRays,BASE,1,50,8,47,313,0.0,-23.61
PPO_straight_BASE,PPO,StraightRays,BASE,1,51,9,272,448,0.0,-23.61
PPO_straight_BASE,PPO,StraightRays,BASE,1,52,9,272,448,-0.5,-24.11
PPO_straight_BASE,PPO,StraightRays,BASE,1,53,2,47,313,-2.85,-26.96
PPO_straight_BASE,PPO,StraightRays,BASE,1,54,9,70,290,-1.73,-28.69
PPO_straight_BASE,PPO,StraightRays,BASE,1,55,9,166,194,-2.46,-31.150000000000002
PPO_straight_BASE,PPO,StraightRays,BASE,1,56,8,7,-7,-3.51,-34.660000000000004
PPO_straight_BASE,PPO,StraightRays,BASE,1,57,2,7,-7,-0.5,-35.160000000000004
PPO_straight_BASE,PPO,StraightRays,BASE,1,58,9,7,-7,-0.5,-35.660000000000004
PPO_straight_BASE,PPO,StraightRays,BASE,1,59,0,7,-7,-0.5,-36.160000000000004
PPO_straight_BASE,PPO,StraightRays,BASE,1,60,9,263,97,-1.0,-37.160000000000004
PPO_straight_BASE,PPO,StraightRays,BASE,1,61,9,166,194,0.0,-37.160000000000004
PPO_straight_BASE,PPO,StraightRays,BASE,1,62,9,164,196,-0.5,-37.660000000000004
PPO_straight_BASE,PPO,StraightRays,BASE,1,63,7,263,97,-2.49,-40.150000000000006
PPO_straight_BASE,PPO,StraightRays,BASE,1,64,9,152,-152,-3.99,-44.14000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,65,9,152,-152,-0.5,-44.64000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,66,8,7,-7,0.0,-44.64000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,67,9,7,-7,-0.5,-45.14000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,68,9,263,97,0.0,-45.14000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,69,9,166,194,0.0,-45.14000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,70,2,166,194,-0.5,-45.64000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,71,8,47,313,0.0,-45.64000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,72,9,272,448,0.0,-45.64000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,73,9,272,448,-0.5,-46.14000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,74,8,272,448,-0.5,-46.64000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,75,9,272,448,-0.5,-47.14000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,76,2,47,313,-3.85,-50.99000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,77,9,70,290,-1.73,-52.720000000000006
PPO_straight_BASE,PPO,StraightRays,BASE,1,78,9,166,194,-2.46,-55.18000000000001
PPO_straight_BASE,PPO,StraightRays,BASE,1,79,8,7,-7,-3.51,-58.690000000000005
PPO_straight_BASE,PPO,StraightRays,BASE,1,80,2,7,-7,-0.5,-59.190000000000005
PPO_straight_BASE,PPO,StraightRays,BASE,1,81,9,7,-7,-0.5,-59.690000000000005
PPO_straight_BASE,PPO,StraightRays,BASE,1,82,0,7,-7,-0.5,-60.190000000000005
PPO_straight_BASE,PPO,StraightRays,BASE,1,83,9,263,97,-1.0,-61.190000000000005
PPO_straight_BASE,PPO,StraightRays,BASE,1,84,9,166,194,0.0,-61.190000000000005
