agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_straight_base,DQN,StraightRays,base,1,1,9,297,-297,-0.45,-0.45
DQN_straight_base,DQN,StraightRays,base,1,2,9,152,-152,3.55,3.0999999999999996
DQN_straight_base,DQN,StraightRays,base,1,3,8,7,-7,3.5,6.6
DQN_straight_base,DQN,StraightRays,base,1,4,0,7,-7,-0.45,6.1499999999999995
DQN_straight_base,DQN,StraightRays,base,1,5,9,263,97,3.55,9.7
DQN_straight_base,DQN,StraightRays,base,1,6,2,263,97,-0.45,9.25
DQN_straight_base,DQN,StraightRays,base,1,7,1,263,97,-0.45,8.8
DQN_straight_base,DQN,StraightRays,base,1,8,6,263,97,-0.5,8.3
DQN_straight_base,DQN,StraightRays,base,1,9,1,263,97,-1.5,6.800000000000001
DQN_straight_base,DQN,StraightRays,base,1,10,6,263,97,-1.5,5.300000000000001
DQN_straight_base,DQN,StraightRays,base,1,11,1,263,97,-1.5,3.8000000000000007
DQN_straight_base,DQN,StraightRays,base,1,12,9,263,97,-1.45,2.3500000000000005
DQN_straight_base,DQN,StraightRays,base,1,13,5,263,97,-1.5,0.8500000000000005
DQN_straight_base,DQN,StraightRays,base,1,14,6,263,97,-1.5,-0.6499999999999995
DQN_straight_base,DQN,StraightRays,base,1,15,1,263,97,-1.5,-2.1499999999999995
DQN_straight_base,DQN,StraightRays,base,1,16,6,263,97,-1.5,-3.6499999999999995
DQN_straight_base,DQN,StraightRays,base,1,17,1,263,97,-1.5,-5.1499999999999995
DQN_straight_base,DQN,StraightRays,base,1,18,6,263,97,-1.5,-6.6499999999999995
DQN_straight_base,DQN,StraightRays,base,1,19,1,263,97,-1.5,-8.149999999999999
DQN_straight_base,DQN,StraightRays,base,1,20,6,263,97,-1.5,-9.649999999999999
DQN_straight_base,DQN,StraightRays,base,1,21,1,263,97,-1.5,-11.149999999999999
DQN_straight_base,DQN,StraightRays,base,1,22,6,263,97,-1.5,-12.649999999999999
DQN_straight_base,DQN,StraightRays,base,1,23,1,263,97,-1.5,-14.149999999999999
DQN_straight_base,DQN,StraightRays,base,1,24,9,263,97,-1.5,-15.649999999999999
DQN_straight_base,DQN,StraightRays,base,1,25,6,263,97,-1.5,-17.15
DQN_straight_base,DQN,StraightRays,base,1,26,2,263,97,-1.5,-18.65
DQN_straight_base,DQN,StraightRays,base,1,27,1,263,97,-1.5,-20.15
DQN_straight_base,DQN,StraightRays,base,1,28,9,263,97,-1.5,-21.65
DQN_straight_base,DQN,StraightRays,base,1,29,6,263,97,-1.5,-23.15
DQN_straight_base,DQN,StraightRays,base,1,30,2,263,97,-1.5,-24.65
DQN_straight_base,DQN,StraightRays,base,1,31,5,263,97,-1.5,-26.15
DQN_straight_base,DQN,StraightRays,base,1,32,6,263,97,-1.5,-27.65
DQN_straight_base,DQN,StraightRays,base,1,33,2,263,97,-1.5,-29.15
DQN_straight_base,DQN,StraightRays,base,1,34,1,263,97,-1.5,-30.65
DQN_straight_base,DQN,StraightRays,base,1,35,9,263,97,-1.5,-32.15
DQN_straight_base,DQN,StraightRays,base,1,36,6,263,97,-1.5,-33.65
DQN_straight_base,DQN,StraightRays,base,1,37,2,263,97,-1.5,-35.15
DQN_straight_base,DQN,StraightRays,base,1,38,1,263,97,-1.5,-36.65
DQN_straight_base,DQN,StraightRays,base,1,39,9,263,97,-1.5,-38.15
DQN_straight_base,DQN,StraightRays,base,1,40,6,263,97,-1.5,-39.65
DQN_straight_base,DQN,StraightRays,base,1,41,2,263,97,-1.5,-41.15
DQN_straight_base,DQN,StraightRays,base,1,42,1,263,97,-1.5,-42.65
DQN_straight_base,DQN,StraightRays,base,1,43,9,263,97,-1.5,-44.15
DQN_straight_base,DQN,StraightRays,base,1,44,6,263,97,-1.5,-45.65
DQN_straight_base,DQN,StraightRays,base,1,45,2,263,97,-1.5,-47.15
DQN_straight_base,DQN,StraightRays,base,1,46,1,263,97,-1.5,-48.65
DQN_straight_base,DQN,StraightRays,base,1,47,9,263,97,-1.5,-50.15
DQN_straight_base,DQN,StraightRays,base,1,48,6,263,97,-1.5,-51.65
DQN_straight_base,DQN,StraightRays,base,1,49,2,263,97,-1.5,-53.15
DQN_straight_base,DQN,StraightRays,base,1,50,1,263,97,-1.5,-54.65
DQN_straight_base,DQN,StraightRays,base,1,51,9,263,97,-1.5,-56.15
DQN_straight_base,DQN,StraightRays,base,1,52,6,263,97,-1.5,-57.65
DQN_straight_base,DQN,StraightRays,base,1,53,2,263,97,-1.5,-59.15
DQN_straight_base,DQN,StraightRays,base,1,54,1,263,97,-1.5,-60.65
DQN_straight_base,DQN,StraightRays,base,1,55,9,263,97,-1.5,-62.15
DQN_straight_base,DQN,StraightRays,base,1,56,6,263,97,-1.5,-63.65
DQN_straight_base,DQN,StraightRays,base,1,57,2,263,97,-1.5,-65.15
DQN_straight_base,DQN,StraightRays,base,1,58,1,263,97,-1.5,-66.65
DQN_straight_base,DQN,StraightRays,base,1,59,9,263,97,-1.5,-68.15
DQN_straight_base,DQN,StraightRays,base,1,60,6,263,97,-1.5,-69.65
DQN_straight_base,DQN,StraightRays,base,1,61,2,263,97,-1.5,-71.15
DQN_straight_base,DQN,StraightRays,base,1,62,1,263,97,-1.5,-72.65
DQN_straight_base,DQN,StraightRays,base,1,63,9,263,97,-1.5,-74.15
DQN_straight_base,DQN,StraightRays,base,1,64,6,263,97,-1.5,-75.65
DQN_straight_base,DQN,StraightRays,base,1,65,2,263,97,-1.5,-77.15
DQN_straight_base,DQN,StraightRays,base,1,66,7,263,97,-1.5,-78.65
DQN_straight_base,DQN,StraightRays,base,1,67,6,263,97,-1.5,-80.15
DQN_straight_base,DQN,StraightRays,base,1,68,1,263,97,-1.5,-81.65
DQN_straight_base,DQN,StraightRays,base,1,69,9,263,97,-1.5,-83.15
DQN_straight_base,DQN,StraightRays,base,1,70,6,263,97,-1.5,-84.65
DQN_straight_base,DQN,StraightRays,base,1,71,2,263,97,-1.5,-86.15
DQN_straight_base,DQN,StraightRays,base,1,72,1,263,97,-1.5,-87.65
DQN_straight_base,DQN,StraightRays,base,1,73,9,263,97,-1.5,-89.15
DQN_straight_base,DQN,StraightRays,base,1,74,6,263,97,-1.5,-90.65
DQN_straight_base,DQN,StraightRays,base,1,75,2,263,97,-1.5,-92.15
DQN_straight_base,DQN,StraightRays,base,1,76,1,263,97,-1.5,-93.65
DQN_straight_base,DQN,StraightRays,base,1,77,9,263,97,-1.5,-95.15
DQN_straight_base,DQN,StraightRays,base,1,78,6,263,97,-1.5,-96.65
DQN_straight_base,DQN,StraightRays,base,1,79,2,263,97,-1.5,-98.15
DQN_straight_base,DQN,StraightRays,base,1,80,1,263,97,-1.5,-99.65
DQN_straight_base,DQN,StraightRays,base,1,81,9,263,97,-1.5,-101.15
DQN_straight_base,DQN,StraightRays,base,1,82,6,263,97,-1.5,-102.65
DQN_straight_base,DQN,StraightRays,base,1,83,2,263,97,-1.5,-104.15
DQN_straight_base,DQN,StraightRays,base,1,84,1,263,97,-1.5,-105.65
DQN_straight_base,DQN,StraightRays,base,1,85,9,263,97,-1.5,-107.15
DQN_straight_base,DQN,StraightRays,base,1,86,6,263,97,-1.5,-108.65
DQN_straight_base,DQN,StraightRays,base,1,87,2,263,97,-1.5,-110.15
DQN_straight_base,DQN,StraightRays,base,1,88,5,263,97,-1.5,-111.65
DQN_straight_base,DQN,StraightRays,base,1,89,6,263,97,-1.5,-113.15
DQN_straight_base,DQN,StraightRays,base,1,90,2,263,97,-1.5,-114.65
DQN_straight_base,DQN,StraightRays,base,1,91,1,263,97,-1.5,-116.15
DQN_straight_base,DQN,StraightRays,base,1,92,0,263,97,-1.5,-117.65
DQN_straight_base,DQN,StraightRays,base,1,93,1,263,97,-1.5,-119.15
DQN_straight_base,DQN,StraightRays,base,1,94,9,263,97,-1.5,-120.65
DQN_straight_base,DQN,StraightRays,base,1,95,6,263,97,-1.5,-122.15
DQN_straight_base,DQN,StraightRays,base,1,96,2,263,97,-1.5,-123.65
DQN_straight_base,DQN,StraightRays,base,1,97,1,263,97,-1.5,-125.15
DQN_straight_base,DQN,StraightRays,base,1,98,9,263,97,-1.5,-126.65
DQN_straight_base,DQN,StraightRays,base,1,99,6,263,97,-1.5,-128.15
DQN_straight_base,DQN,StraightRays,base,1,100,2,263,97,-1.5,-129.65
DQN_straight_base,DQN,StraightRays,base,2,1,9,297,-297,-0.45,-0.45
DQN_straight_base,DQN,StraightRays,base,2,2,9,152,-152,3.55,3.0999999999999996
DQN_straight_base,DQN,StraightRays,base,2,3,8,7,-7,3.5,6.6
DQN_straight_base,DQN,StraightRays,base,2,4,0,7,-7,-0.45,6.1499999999999995
DQN_straight_base,DQN,StraightRays,base,2,5,9,263,97,3.55,9.7
DQN_straight_base,DQN,StraightRays,base,2,6,2,263,97,-0.45,9.25
DQN_straight_base,DQN,StraightRays,base,2,7,1,263,97,-0.45,8.8
DQN_straight_base,DQN,StraightRays,base,2,8,6,263,97,-0.5,8.3
DQN_straight_base,DQN,StraightRays,base,2,9,1,263,97,-1.5,6.800000000000001
DQN_straight_base,DQN,StraightRays,base,2,10,6,263,97,-1.5,5.300000000000001
DQN_straight_base,DQN,StraightRays,base,2,11,1,263,97,-1.5,3.8000000000000007
DQN_straight_base,DQN,StraightRays,base,2,12,9,263,97,-1.45,2.3500000000000005
DQN_straight_base,DQN,StraightRays,base,2,13,6,263,97,-1.5,0.8500000000000005
DQN_straight_base,DQN,StraightRays,base,2,14,2,263,97,-1.5,-0.6499999999999995
DQN_straight_base,DQN,StraightRays,base,2,15,1,263,97,-1.5,-2.1499999999999995
DQN_straight_base,DQN,StraightRays,base,2,16,9,263,97,-1.5,-3.6499999999999995
DQN_straight_base,DQN,StraightRays,base,2,17,6,263,97,-1.5,-5.1499999999999995
DQN_straight_base,DQN,StraightRays,base,2,18,2,263,97,-1.5,-6.6499999999999995
DQN_straight_base,DQN,StraightRays,base,2,19,1,263,97,-1.5,-8.149999999999999
DQN_straight_base,DQN,StraightRays,base,2,20,9,263,97,-1.5,-9.649999999999999
DQN_straight_base,DQN,StraightRays,base,2,21,6,263,97,-1.5,-11.149999999999999
DQN_straight_base,DQN,StraightRays,base,2,22,2,263,97,-1.5,-12.649999999999999
DQN_straight_base,DQN,StraightRays,base,2,23,1,263,97,-1.5,-14.149999999999999
DQN_straight_base,DQN,StraightRays,base,2,24,9,263,97,-1.5,-15.649999999999999
DQN_straight_base,DQN,StraightRays,base,2,25,6,263,97,-1.5,-17.15
DQN_straight_base,DQN,StraightRays,base,2,26,2,263,97,-1.5,-18.65
DQN_straight_base,DQN,StraightRays,base,2,27,1,263,97,-1.5,-20.15
DQN_straight_base,DQN,StraightRays,base,2,28,9,263,97,-1.5,-21.65
DQN_straight_base,DQN,StraightRays,base,2,29,6,263,97,-1.5,-23.15
DQN_straight_base,DQN,StraightRays,base,2,30,2,263,97,-1.5,-24.65
DQN_straight_base,DQN,StraightRays,base,2,31,1,263,97,-1.5,-26.15
DQN_straight_base,DQN,StraightRays,base,2,32,9,263,97,-1.5,-27.65
DQN_straight_base,DQN,StraightRays,base,2,33,8,164,196,2.55,-25.099999999999998
DQN_straight_base,DQN,StraightRays,base,2,34,5,263,97,-2.44,-27.54
DQN_straight_base,DQN,StraightRays,base,2,35,9,166,194,0.04999999999999999,-27.49
DQN_straight_base,DQN,StraightRays,base,2,36,6,70,290,3.55,-23.939999999999998
DQN_straight_base,DQN,StraightRays,base,2,37,7,164,196,-2.3899999999999997,-26.33
DQN_straight_base,DQN,StraightRays,base,2,38,2,164,196,-0.45,-26.779999999999998
DQN_straight_base,DQN,StraightRays,base,2,39,2,166,194,-1.47,-28.249999999999996
DQN_straight_base,DQN,StraightRays,base,2,40,6,70,290,0.0,-28.249999999999996
DQN_straight_base,DQN,StraightRays,base,2,41,5,164,196,-2.3899999999999997,-30.639999999999997
DQN_straight_base,DQN,StraightRays,base,2,42,2,166,194,-1.52,-32.16
DQN_straight_base,DQN,StraightRays,base,2,43,6,70,290,0.04999999999999999,-32.11
DQN_straight_base,DQN,StraightRays,base,2,44,8,47,313,3.55,-28.56
DQN_straight_base,DQN,StraightRays,base,2,45,7,166,194,-2.69,-31.25
DQN_straight_base,DQN,StraightRays,base,2,46,9,164,196,-0.45,-31.7
DQN_straight_base,DQN,StraightRays,base,2,47,0,263,97,-2.49,-34.19
DQN_straight_base,DQN,StraightRays,base,2,48,1,263,97,-0.5,-34.69
DQN_straight_base,DQN,StraightRays,base,2,49,8,164,196,0.0,-34.69
DQN_straight_base,DQN,StraightRays,base,2,50,2,166,194,-1.47,-36.16
DQN_straight_base,DQN,StraightRays,base,2,51,6,70,290,0.0,-36.16
DQN_straight_base,DQN,StraightRays,base,2,52,7,164,196,-2.3899999999999997,-38.55
DQN_straight_base,DQN,StraightRays,base,2,53,0,164,196,-0.5,-39.05
DQN_straight_base,DQN,StraightRays,base,2,54,0,164,196,-0.5,-39.55
DQN_straight_base,DQN,StraightRays,base,2,55,0,164,196,-0.5,-40.05
DQN_straight_base,DQN,StraightRays,base,2,56,0,164,196,-1.5,-41.55
DQN_straight_base,DQN,StraightRays,base,2,57,0,164,196,-1.5,-43.05
DQN_straight_base,DQN,StraightRays,base,2,58,0,164,196,-1.5,-44.55
DQN_straight_base,DQN,StraightRays,base,2,59,0,164,196,-1.5,-46.05
DQN_straight_base,DQN,StraightRays,base,2,60,0,164,196,-1.5,-47.55
DQN_straight_base,DQN,StraightRays,base,2,61,0,164,196,-1.5,-49.05
DQN_straight_base,DQN,StraightRays,base,2,62,0,164,196,-1.5,-50.55
DQN_straight_base,DQN,StraightRays,base,2,63,0,151,-151,-5.92,-56.47
DQN_straight_base,DQN,StraightRays,base,2,64,4,151,-151,-0.45,-56.92
DQN_straight_base,DQN,StraightRays,base,2,65,9,7,-7,0.0,-56.92
DQN_straight_base,DQN,StraightRays,base,2,66,9,263,97,0.0,-56.92
DQN_straight_base,DQN,StraightRays,base,2,67,2,263,97,-0.5,-57.42
DQN_straight_base,DQN,StraightRays,base,2,68,1,263,97,-0.5,-57.92
DQN_straight_base,DQN,StraightRays,base,2,69,6,263,97,-0.5,-58.42
DQN_straight_base,DQN,StraightRays,base,2,70,1,263,97,-1.5,-59.92
DQN_straight_base,DQN,StraightRays,base,2,71,9,263,97,-1.5,-61.42
DQN_straight_base,DQN,StraightRays,base,2,72,6,263,97,-1.5,-62.92
DQN_straight_base,DQN,StraightRays,base,2,73,2,263,97,-1.5,-64.42
DQN_straight_base,DQN,StraightRays,base,2,74,1,263,97,-1.5,-65.92
DQN_straight_base,DQN,StraightRays,base,2,75,9,263,97,-1.5,-67.42
DQN_straight_base,DQN,StraightRays,base,2,76,6,263,97,-1.5,-68.92
DQN_straight_base,DQN,StraightRays,base,2,77,2,263,97,-1.5,-70.42
DQN_straight_base,DQN,StraightRays,base,2,78,1,263,97,-1.5,-71.92
DQN_straight_base,DQN,StraightRays,base,2,79,3,152,-152,-4.94,-76.86
DQN_straight_base,DQN,StraightRays,base,2,80,6,152,-152,-0.5,-77.36
