agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_straight_kiss,DQN,StraightRays,kiss,1,1,8,297,-297,-0.4,-0.4
DQN_straight_kiss,DQN,StraightRays,kiss,1,2,9,152,-152,14.0,13.6
DQN_straight_kiss,DQN,StraightRays,kiss,1,3,8,152,-152,-0.5,13.1
DQN_straight_kiss,DQN,StraightRays,kiss,1,4,8,7,-7,14.0,27.1
DQN_straight_kiss,DQN,StraightRays,kiss,1,5,9,7,-7,-0.5,26.6
DQN_straight_kiss,DQN,StraightRays,kiss,1,6,9,263,97,9.9,36.5
DQN_straight_kiss,DQN,StraightRays,kiss,1,7,4,263,97,-0.5,36.0
DQN_straight_kiss,DQN,StraightRays,kiss,1,8,8,7,-7,-0.5,35.5
DQN_straight_kiss,DQN,StraightRays,kiss,1,9,9,7,-7,-0.5,35.0
DQN_straight_kiss,DQN,StraightRays,kiss,1,10,9,263,97,-0.5,34.5
DQN_straight_kiss,DQN,StraightRays,kiss,1,11,9,166,194,9.2,43.7
DQN_straight_kiss,DQN,StraightRays,kiss,1,12,0,166,194,-0.5,43.2
DQN_straight_kiss,DQN,StraightRays,kiss,1,13,8,151,-151,-0.5,42.7
DQN_straight_kiss,DQN,StraightRays,kiss,1,14,9,297,-297,-0.5,42.2
DQN_straight_kiss,DQN,StraightRays,kiss,1,15,9,297,-297,-0.5,41.7
DQN_straight_kiss,DQN,StraightRays,kiss,1,16,9,152,-152,-0.5,41.2
DQN_straight_kiss,DQN,StraightRays,kiss,1,17,8,7,-7,-0.5,40.7
DQN_straight_kiss,DQN,StraightRays,kiss,1,18,9,7,-7,-0.5,40.2
DQN_straight_kiss,DQN,StraightRays,kiss,1,19,9,263,97,-0.5,39.7
DQN_straight_kiss,DQN,StraightRays,kiss,1,20,9,166,194,-0.5,39.2
DQN_straight_kiss,DQN,StraightRays,kiss,1,21,0,166,194,-0.5,38.7
DQN_straight_kiss,DQN,StraightRays,kiss,1,22,8,151,-151,-0.5,38.2
DQN_straight_kiss,DQN,StraightRays,kiss,1,23,9,297,-297,-0.5,37.7
DQN_straight_kiss,DQN,StraightRays,kiss,1,24,9,297,-297,-0.5,37.2
DQN_straight_kiss,DQN,StraightRays,kiss,1,25,9,152,-152,-0.5,36.7
