agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_straight_kiss,PPO,StraightRays,kiss,1,1,8,297,-297,-0.4,-0.4
PPO_straight_kiss,PPO,StraightRays,kiss,1,2,8,151,-151,14.1,13.7
PPO_straight_kiss,PPO,StraightRays,kiss,1,3,0,151,-151,-0.5,13.2
PPO_straight_kiss,PPO,StraightRays,kiss,1,4,9,7,-7,13.9,27.1
PPO_straight_kiss,PPO,StraightRays,kiss,1,5,9,263,97,9.9,37.0
PPO_straight_kiss,PPO,StraightRays,kiss,1,6,4,263,97,-0.5,36.5
PPO_straight_kiss,PPO,StraightRays,kiss,1,7,9,263,97,-0.5,36.0
PPO_straight_kiss,PPO,StraightRays,kiss,1,8,9,164,196,9.4,45.4
PPO_straight_kiss,PPO,StraightRays,kiss,1,9,4,166,194,-0.5,44.9
PPO_straight_kiss,PPO,StraightRays,kiss,1,10,8,47,313,11.2,56.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,11,9,272,448,13.0,69.1
PPO_straight_kiss,PPO,StraightRays,kiss,1,12,9,272,448,-0.5,68.6
PPO_straight_kiss,PPO,StraightRays,kiss,1,13,9,272,448,-0.5,68.1
PPO_straight_kiss,PPO,StraightRays,kiss,1,14,9,166,194,-0.5,67.6
PPO_straight_kiss,PPO,StraightRays,kiss,1,15,8,151,-151,-0.5,67.1
PPO_straight_kiss,PPO,StraightRays,kiss,1,16,9,297,-297,-0.5,66.6
PPO_straight_kiss,PPO,StraightRays,kiss,1,17,8,151,-151,-0.5,66.1
PPO_straight_kiss,PPO,StraightRays,kiss,1,18,0,151,-151,-0.5,65.6
PPO_straight_kiss,PPO,StraightRays,kiss,1,19,9,7,-7,-0.5,65.1
PPO_straight_kiss,PPO,StraightRays,kiss,1,20,9,263,97,-0.5,64.6
PPO_straight_kiss,PPO,StraightRays,kiss,1,21,1,152,-152,-0.5,64.1
PPO_straight_kiss,PPO,StraightRays,kiss,1,22,8,297,-297,-0.5,63.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,23,8,151,-151,-0.5,63.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,24,0,151,-151,-0.5,62.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,25,9,7,-7,-0.5,62.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,26,9,263,97,-0.5,61.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,27,2,7,-7,-0.5,61.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,28,9,263,97,-0.5,60.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,29,1,152,-152,-0.5,60.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,30,8,297,-297,-0.5,59.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,31,8,151,-151,-0.5,59.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,32,0,151,-151,-0.5,58.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,33,9,7,-7,-0.5,58.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,34,9,263,97,-0.5,57.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,35,4,263,97,-0.5,57.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,36,9,263,97,-0.5,56.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,37,9,164,196,-0.5,56.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,38,4,166,194,-0.5,55.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,39,8,47,313,-0.5,55.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,40,9,272,448,-0.5,54.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,41,9,272,448,-0.5,54.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,42,9,272,448,-0.5,53.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,43,9,166,194,-0.5,53.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,44,8,151,-151,-0.5,52.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,45,9,297,-297,-0.5,52.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,46,8,151,-151,-0.5,51.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,47,0,151,-151,-0.5,51.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,48,9,7,-7,-0.5,50.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,49,9,263,97,-0.5,50.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,50,1,152,-152,-0.5,49.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,51,8,297,-297,-0.5,49.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,52,8,151,-151,-0.5,48.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,53,0,151,-151,-0.5,48.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,54,9,7,-7,-0.5,47.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,55,9,263,97,-0.5,47.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,56,2,7,-7,-0.5,46.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,57,9,263,97,-0.5,46.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,58,1,152,-152,-0.5,45.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,59,8,297,-297,-0.5,45.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,60,8,151,-151,-0.5,44.599999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,61,0,151,-151,-0.5,44.099999999999994
PPO_straight_kiss,PPO,StraightRays,kiss,1,62,9,7,-7,-0.5,43.599999999999994
