agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_straight_punish,DQN,StraightRays,punish,1,1,8,297,-297,-0.45,-0.45
DQN_straight_punish,DQN,StraightRays,punish,1,2,1,297,-297,-0.45,-0.9
DQN_straight_punish,DQN,StraightRays,punish,1,3,8,151,-151,3.55,2.65
DQN_straight_punish,DQN,StraightRays,punish,1,4,9,151,-151,-0.45,2.1999999999999997
DQN_straight_punish,DQN,StraightRays,punish,1,5,9,7,-7,3.55,5.75
DQN_straight_punish,DQN,StraightRays,punish,1,6,7,7,-7,-0.45,5.3
DQN_straight_punish,DQN,StraightRays,punish,1,7,9,263,97,3.55,8.85
DQN_straight_punish,DQN,StraightRays,punish,1,8,9,166,194,3.55,12.399999999999999
DQN_straight_punish,DQN,StraightRays,punish,1,9,8,70,290,7.55,19.95
DQN_straight_punish,DQN,StraightRays,punish,1,1,8,297,-297,-0.45,-0.45
DQN_straight_punish,DQN,StraightRays,punish,1,2,1,297,-297,-0.45,-0.9
DQN_straight_punish,DQN,StraightRays,punish,1,3,8,151,-151,3.55,2.65
DQN_straight_punish,DQN,StraightRays,punish,1,4,9,151,-151,-0.45,2.1999999999999997
DQN_straight_punish,DQN,StraightRays,punish,1,5,9,7,-7,3.55,5.75
DQN_straight_punish,DQN,StraightRays,punish,1,6,7,7,-7,-0.45,5.3
DQN_straight_punish,DQN,StraightRays,punish,1,1,8,297,-297,-0.45,-0.45
DQN_straight_punish,DQN,StraightRays,punish,1,2,1,297,-297,-0.45,-0.9
DQN_straight_punish,DQN,StraightRays,punish,1,3,9,297,-297,-0.45,-1.35
DQN_straight_punish,DQN,StraightRays,punish,1,4,8,151,-151,3.55,2.1999999999999997
DQN_straight_punish,DQN,StraightRays,punish,1,5,9,151,-151,-0.45,1.7499999999999998
DQN_straight_punish,DQN,StraightRays,punish,1,6,9,7,-7,3.55,5.3
DQN_straight_punish,DQN,StraightRays,punish,1,1,8,297,-297,-0.45,-0.45
DQN_straight_punish,DQN,StraightRays,punish,1,2,1,297,-297,-0.45,-0.9
DQN_straight_punish,DQN,StraightRays,punish,1,3,8,151,-151,3.55,2.65
DQN_straight_punish,DQN,StraightRays,punish,1,4,9,151,-151,-0.45,2.1999999999999997
DQN_straight_punish,DQN,StraightRays,punish,1,5,9,7,-7,3.55,5.75
DQN_straight_punish,DQN,StraightRays,punish,1,6,7,7,-7,-0.45,5.3
DQN_straight_punish,DQN,StraightRays,punish,1,7,9,263,97,3.55,8.85
