agent,algorithm,observation,reward_function,episode,total_reward,max_height,max_level,actions_to_max_height
DQN_curved_Base,DQN,CurvedRays,Base,1,-84.43,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,2,-89.28,290,1,15
DQN_curved_Base,DQN,CurvedRays,Base,3,-92.71000000000001,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,4,-88.19,313,1,56
DQN_curved_Base,DQN,CurvedRays,Base,5,-92.14999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,6,-91.25999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,7,-86.53000000000002,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,8,-92.91000000000003,290,1,13
DQN_curved_Base,DQN,CurvedRays,Base,9,-53.93999999999999,448,2,23
DQN_curved_Base,DQN,CurvedRays,Base,10,-87.96999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,11,-88.40999999999998,290,1,12
DQN_curved_Base,DQN,CurvedRays,Base,12,-88.01999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,13,-87.86999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,14,-87.36000000000003,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,15,-88.77999999999997,290,1,17
DQN_curved_Base,DQN,CurvedRays,Base,16,-104.05000000000001,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,17,-90.61999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,18,-94.95999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,19,-89.89999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,20,-81.35,448,2,40
DQN_curved_Base,DQN,CurvedRays,Base,21,-83.05999999999999,290,1,13
DQN_curved_Base,DQN,CurvedRays,Base,22,-78.96,313,1,80
DQN_curved_Base,DQN,CurvedRays,Base,23,-95.21999999999997,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,24,-84.18999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,25,-93.77999999999997,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,26,-95.01999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,27,-90.28999999999996,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,28,-86.16999999999999,290,1,13
DQN_curved_Base,DQN,CurvedRays,Base,29,-90.36999999999999,290,1,14
DQN_curved_Base,DQN,CurvedRays,Base,30,-91.71000000000005,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,31,-90.67999999999998,290,1,25
DQN_curved_Base,DQN,CurvedRays,Base,32,-87.56999999999998,313,1,28
DQN_curved_Base,DQN,CurvedRays,Base,33,-79.09999999999998,313,1,24
DQN_curved_Base,DQN,CurvedRays,Base,34,-87.30999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,35,-93.14,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,36,-95.16000000000004,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,37,-85.25,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,38,-90.80999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,39,-93.17999999999999,290,1,14
DQN_curved_Base,DQN,CurvedRays,Base,40,-86.21999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,41,-87.71999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,42,-95.46999999999997,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,43,-81.32000000000002,290,1,81
DQN_curved_Base,DQN,CurvedRays,Base,44,-86.24,290,1,15
DQN_curved_Base,DQN,CurvedRays,Base,45,-103.07,448,2,15
DQN_curved_Base,DQN,CurvedRays,Base,46,-87.99,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,47,-90.61,290,1,43
DQN_curved_Base,DQN,CurvedRays,Base,48,-88.24999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,49,-98.13999999999997,290,1,15
DQN_curved_Base,DQN,CurvedRays,Base,50,-91.81999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,51,-76.97,313,1,34
DQN_curved_Base,DQN,CurvedRays,Base,52,-86.79999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,53,-92.99000000000001,290,1,12
DQN_curved_Base,DQN,CurvedRays,Base,54,-94.13000000000002,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,55,-55.760000000000026,448,2,17
DQN_curved_Base,DQN,CurvedRays,Base,56,-92.63999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,57,-88.33999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,58,-90.45,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,59,-93.90999999999997,290,1,16
DQN_curved_Base,DQN,CurvedRays,Base,60,-91.31999999999998,290,1,15
DQN_curved_Base,DQN,CurvedRays,Base,61,-101.74999999999999,290,1,28
DQN_curved_Base,DQN,CurvedRays,Base,62,-90.21999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,63,-92.61000000000003,290,1,12
DQN_curved_Base,DQN,CurvedRays,Base,64,-95.41999999999997,290,1,20
DQN_curved_Base,DQN,CurvedRays,Base,65,-76.04999999999998,448,2,18
DQN_curved_Base,DQN,CurvedRays,Base,66,-88.67999999999996,313,1,88
DQN_curved_Base,DQN,CurvedRays,Base,67,-92.36999999999998,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,68,-88.96999999999997,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,69,-87.28000000000002,448,2,34
DQN_curved_Base,DQN,CurvedRays,Base,70,-87.32,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,71,-89.31999999999996,290,1,17
DQN_curved_Base,DQN,CurvedRays,Base,72,-80.33999999999999,313,1,23
DQN_curved_Base,DQN,CurvedRays,Base,73,-90.21999999999997,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,74,-88.39999999999999,290,1,17
DQN_curved_Base,DQN,CurvedRays,Base,75,-89.19999999999999,290,1,22
DQN_curved_Base,DQN,CurvedRays,Base,76,-74.32000000000004,448,2,87
DQN_curved_Base,DQN,CurvedRays,Base,77,-82.13999999999999,448,2,37
DQN_curved_Base,DQN,CurvedRays,Base,78,-81.0,313,1,56
DQN_curved_Base,DQN,CurvedRays,Base,79,-79.25,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,80,-90.47999999999999,290,1,12
DQN_curved_Base,DQN,CurvedRays,Base,81,-93.83999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,82,-86.47999999999999,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,83,-87.75,290,1,11
DQN_curved_Base,DQN,CurvedRays,Base,84,-93.39000000000003,290,1,18
DQN_curved_Base,DQN,CurvedRays,Base,85,-84.82000000000001,313,1,24
