agent,algorithm,observation,reward_function,episode,total_reward,max_height,max_level,actions_to_max_height
DQN_curved_Kiss,DQN,CurvedRays,Kiss,1,-35.4,-152,0,3
DQN_curved_Kiss,DQN,CurvedRays,Kiss,2,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,3,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,4,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,5,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,6,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,7,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,8,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,9,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,10,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,11,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,12,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,13,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,14,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,15,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,16,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,17,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,18,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,19,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,20,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,21,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,22,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,23,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,24,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,25,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,26,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,27,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,28,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,29,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,30,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,31,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,32,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,33,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,34,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,35,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,36,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,37,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,38,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,39,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,40,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,41,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,42,-35.4,-152,0,4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,43,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,44,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,45,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,46,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,47,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,48,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,49,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,50,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,51,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,52,-35.4,-152,0,3
DQN_curved_Kiss,DQN,CurvedRays,Kiss,53,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,54,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,55,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,56,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,57,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,58,-0.5999999999999943,196,1,12
DQN_curved_Kiss,DQN,CurvedRays,Kiss,59,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,60,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,61,-35.4,-152,0,4
DQN_curved_Kiss,DQN,CurvedRays,Kiss,62,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,63,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,64,-35.4,-152,0,2
DQN_curved_Kiss,DQN,CurvedRays,Kiss,65,-35.4,-152,0,3
DQN_curved_Kiss,DQN,CurvedRays,Kiss,66,-10.5,97,1,46
DQN_curved_Kiss,DQN,CurvedRays,Kiss,67,-35.4,-152,0,2
