agent,algorithm,observation,reward_function,episode,total_reward,max_height,max_level,actions_to_max_height
PPO_curved_Base,PPO,CurvedRays,Base,1,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,2,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,3,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,4,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,5,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,6,-82.02000000000001,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,7,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,8,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,9,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,10,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,11,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,12,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,13,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,14,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,15,-81.52,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,16,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,17,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,18,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,19,-82.02000000000001,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,20,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,21,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,22,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,23,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,24,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,25,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,26,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,27,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,28,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,29,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,30,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,31,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,32,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,33,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,34,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,35,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,36,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,37,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,38,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,39,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,40,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,41,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,42,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,43,-82.02000000000001,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,44,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,45,-82.02000000000001,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,46,-80.26000000000003,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,47,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,48,-81.52,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,49,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,50,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,51,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,52,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,53,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,54,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,55,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,56,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,57,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,58,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,59,-82.02000000000001,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,60,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,61,-82.02,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,62,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,63,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,64,-82.02000000000001,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,65,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,66,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,67,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,68,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,69,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,70,-81.62,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,71,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,72,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,73,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,74,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,75,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,76,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,77,-82.17,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,78,-82.02000000000001,290,1,7
PPO_curved_Base,PPO,CurvedRays,Base,79,-82.17,290,1,7
