agent,algorithm,observation,reward_function,episode,total_reward,max_height,max_level,actions_to_max_height
PPO_curved_Kiss,PPO,CurvedRays,Kiss,1,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,2,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,3,24.6,448,2,23
PPO_curved_Kiss,PPO,CurvedRays,Kiss,4,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,5,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,6,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,7,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,8,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,9,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,10,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,11,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,12,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,13,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,14,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,15,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,16,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,17,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,18,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,19,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,20,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,21,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,22,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,23,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,24,24.599999999999994,448,2,10
PPO_curved_Kiss,PPO,CurvedRays,Kiss,25,24.599999999999994,448,2,10
