agent,algorithm,observation,reward_function,episode,total_reward,max_height,max_level,actions_to_max_height
PPO_curved_Punish,PPO,CurvedRays,Punish,1,-55.77000000000003,448,2,96
PPO_curved_Punish,PPO,CurvedRays,Punish,2,-81.87000000000002,448,2,42
PPO_curved_Punish,PPO,CurvedRays,Punish,3,-85.46,448,2,46
PPO_curved_Punish,PPO,CurvedRays,Punish,4,-83.10999999999999,290,1,10
PPO_curved_Punish,PPO,CurvedRays,Punish,5,-77.83000000000003,448,2,50
PPO_curved_Punish,PPO,CurvedRays,Punish,6,-85.02000000000002,448,2,45
PPO_curved_Punish,PPO,CurvedRays,Punish,7,-81.24999999999999,290,1,27
PPO_curved_Punish,PPO,CurvedRays,Punish,8,-90.24000000000002,448,2,28
PPO_curved_Punish,PPO,CurvedRays,Punish,9,-85.00000000000001,290,1,20
PPO_curved_Punish,PPO,CurvedRays,Punish,10,-102.34,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,11,-88.98000000000002,290,1,23
PPO_curved_Punish,PPO,CurvedRays,Punish,12,-86.51,313,1,36
PPO_curved_Punish,PPO,CurvedRays,Punish,13,-107.58999999999999,290,1,10
PPO_curved_Punish,PPO,CurvedRays,Punish,14,-77.73,448,2,49
PPO_curved_Punish,PPO,CurvedRays,Punish,15,-99.03999999999998,290,1,35
PPO_curved_Punish,PPO,CurvedRays,Punish,16,-101.02000000000001,313,1,26
PPO_curved_Punish,PPO,CurvedRays,Punish,17,-97.36000000000001,448,2,13
PPO_curved_Punish,PPO,CurvedRays,Punish,18,-100.97,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,19,-96.75000000000001,313,1,23
PPO_curved_Punish,PPO,CurvedRays,Punish,20,-114.06999999999996,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,21,-84.78000000000002,448,2,17
PPO_curved_Punish,PPO,CurvedRays,Punish,22,-82.35000000000004,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,23,-90.66000000000005,290,1,79
PPO_curved_Punish,PPO,CurvedRays,Punish,24,-72.97,313,1,90
PPO_curved_Punish,PPO,CurvedRays,Punish,25,-76.3,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,26,-89.28000000000003,448,2,49
PPO_curved_Punish,PPO,CurvedRays,Punish,27,-77.44,448,2,82
PPO_curved_Punish,PPO,CurvedRays,Punish,28,-89.51,290,1,45
PPO_curved_Punish,PPO,CurvedRays,Punish,29,-93.89,448,2,14
PPO_curved_Punish,PPO,CurvedRays,Punish,30,-76.17,448,2,66
PPO_curved_Punish,PPO,CurvedRays,Punish,31,-91.84,448,2,17
PPO_curved_Punish,PPO,CurvedRays,Punish,32,-81.56000000000002,448,2,72
PPO_curved_Punish,PPO,CurvedRays,Punish,33,-82.62000000000002,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,34,-83.71000000000004,448,2,77
PPO_curved_Punish,PPO,CurvedRays,Punish,35,-89.14000000000001,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,36,-65.89,448,2,57
PPO_curved_Punish,PPO,CurvedRays,Punish,37,-98.58,313,1,13
PPO_curved_Punish,PPO,CurvedRays,Punish,38,-109.67000000000002,290,1,19
PPO_curved_Punish,PPO,CurvedRays,Punish,39,-99.94000000000001,448,2,29
PPO_curved_Punish,PPO,CurvedRays,Punish,40,-68.12,290,1,24
PPO_curved_Punish,PPO,CurvedRays,Punish,41,-82.23999999999998,448,2,53
PPO_curved_Punish,PPO,CurvedRays,Punish,42,-78.84000000000002,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,43,-103.81999999999998,448,2,26
PPO_curved_Punish,PPO,CurvedRays,Punish,44,-84.70000000000003,313,1,59
PPO_curved_Punish,PPO,CurvedRays,Punish,45,-78.07999999999998,448,2,61
PPO_curved_Punish,PPO,CurvedRays,Punish,46,-77.77,290,1,24
PPO_curved_Punish,PPO,CurvedRays,Punish,47,-91.4,448,2,30
PPO_curved_Punish,PPO,CurvedRays,Punish,48,-74.75999999999999,448,2,52
PPO_curved_Punish,PPO,CurvedRays,Punish,49,-104.47000000000003,313,1,13
PPO_curved_Punish,PPO,CurvedRays,Punish,50,-114.24999999999994,448,2,14
PPO_curved_Punish,PPO,CurvedRays,Punish,51,-90.81000000000003,290,1,9
PPO_curved_Punish,PPO,CurvedRays,Punish,52,-68.63000000000001,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,53,-78.34,313,1,87
PPO_curved_Punish,PPO,CurvedRays,Punish,54,-73.19000000000001,290,1,10
PPO_curved_Punish,PPO,CurvedRays,Punish,55,-85.58,448,2,76
PPO_curved_Punish,PPO,CurvedRays,Punish,56,-85.52999999999999,448,2,34
PPO_curved_Punish,PPO,CurvedRays,Punish,57,-96.02000000000001,448,2,14
PPO_curved_Punish,PPO,CurvedRays,Punish,58,-89.93999999999998,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,59,-88.89999999999999,290,1,23
PPO_curved_Punish,PPO,CurvedRays,Punish,60,-85.92999999999999,313,1,73
PPO_curved_Punish,PPO,CurvedRays,Punish,61,-87.86,448,2,14
PPO_curved_Punish,PPO,CurvedRays,Punish,62,-89.92999999999999,448,2,65
PPO_curved_Punish,PPO,CurvedRays,Punish,63,-94.74,448,2,30
PPO_curved_Punish,PPO,CurvedRays,Punish,64,-76.43999999999998,448,2,59
PPO_curved_Punish,PPO,CurvedRays,Punish,65,-102.93000000000004,290,1,70
PPO_curved_Punish,PPO,CurvedRays,Punish,66,-63.75000000000001,290,1,63
PPO_curved_Punish,PPO,CurvedRays,Punish,67,-78.60999999999999,313,1,53
PPO_curved_Punish,PPO,CurvedRays,Punish,68,-87.38000000000002,313,1,37
PPO_curved_Punish,PPO,CurvedRays,Punish,69,-56.36,313,1,97
PPO_curved_Punish,PPO,CurvedRays,Punish,70,-66.20000000000003,290,1,23
PPO_curved_Punish,PPO,CurvedRays,Punish,71,-86.56,448,2,28
PPO_curved_Punish,PPO,CurvedRays,Punish,72,-81.14000000000001,448,2,39
PPO_curved_Punish,PPO,CurvedRays,Punish,73,-95.2,448,2,59
PPO_curved_Punish,PPO,CurvedRays,Punish,74,-88.01999999999998,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,75,-87.73,448,2,65
PPO_curved_Punish,PPO,CurvedRays,Punish,76,-80.32000000000001,290,1,11
PPO_curved_Punish,PPO,CurvedRays,Punish,77,-83.21999999999998,290,1,22
PPO_curved_Punish,PPO,CurvedRays,Punish,78,-105.82999999999998,448,2,14
PPO_curved_Punish,PPO,CurvedRays,Punish,79,-73.83,448,2,81
PPO_curved_Punish,PPO,CurvedRays,Punish,80,-72.32000000000001,290,1,42
