agent,algorithm,observation,reward_function,episode,total_reward,max_height,max_level,actions_to_max_height
DQN_straight_Base,DQN,StraightRays,Base,1,-85.66999999999997,313,1,23
DQN_straight_Base,DQN,StraightRays,Base,2,-81.66,313,1,38
DQN_straight_Base,DQN,StraightRays,Base,3,-129.65,97,1,5
DQN_straight_Base,DQN,StraightRays,Base,4,-95.08000000000003,313,1,16
DQN_straight_Base,DQN,StraightRays,Base,5,-110.28000000000002,313,1,64
DQN_straight_Base,DQN,StraightRays,Base,6,-92.56999999999996,313,1,14
DQN_straight_Base,DQN,StraightRays,Base,7,-103.36000000000003,313,1,13
DQN_straight_Base,DQN,StraightRays,Base,8,-94.53999999999999,313,1,37
DQN_straight_Base,DQN,StraightRays,Base,9,-86.99000000000002,313,1,21
DQN_straight_Base,DQN,StraightRays,Base,10,-94.07000000000001,313,1,46
DQN_straight_Base,DQN,StraightRays,Base,11,-94.25000000000001,313,1,35
DQN_straight_Base,DQN,StraightRays,Base,12,-103.57999999999998,196,1,47
DQN_straight_Base,DQN,StraightRays,Base,13,-109.02,313,1,28
DQN_straight_Base,DQN,StraightRays,Base,14,-94.21,313,1,19
DQN_straight_Base,DQN,StraightRays,Base,15,-81.61999999999999,313,1,13
DQN_straight_Base,DQN,StraightRays,Base,16,-88.15999999999997,313,1,11
DQN_straight_Base,DQN,StraightRays,Base,17,-86.58999999999997,313,1,38
DQN_straight_Base,DQN,StraightRays,Base,18,-83.13000000000002,448,2,84
DQN_straight_Base,DQN,StraightRays,Base,19,-90.94,313,1,38
DQN_straight_Base,DQN,StraightRays,Base,20,-88.57000000000001,313,1,59
DQN_straight_Base,DQN,StraightRays,Base,21,-91.92999999999999,313,1,37
DQN_straight_Base,DQN,StraightRays,Base,22,-102.0,313,1,95
DQN_straight_Base,DQN,StraightRays,Base,23,-83.43,448,2,89
DQN_straight_Base,DQN,StraightRays,Base,24,-93.68999999999998,313,1,26
DQN_straight_Base,DQN,StraightRays,Base,25,-96.29999999999998,313,1,49
DQN_straight_Base,DQN,StraightRays,Base,26,-110.58999999999997,313,1,47
DQN_straight_Base,DQN,StraightRays,Base,27,-99.71,313,1,81
DQN_straight_Base,DQN,StraightRays,Base,28,-94.82000000000002,313,1,50
