agent,algorithm,observation,reward_function,episode,total_reward,max_height,max_level,actions_to_max_height
PPO_straight_Base,PPO,StraightRays,Base,1,-80.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,2,-74.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,3,-76.02,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,4,-81.24,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,5,-75.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,6,-76.66999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,7,-76.74999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,8,-83.18999999999998,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,9,-74.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,10,-79.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,11,-75.67,448,2,11
PPO_straight_Base,PPO,StraightRays,Base,12,-80.72,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,13,-78.75,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,14,-79.72,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,15,-73.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,16,-81.44,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,17,-84.17999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,18,-78.67999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,19,-83.65999999999998,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,20,-73.08,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,21,-74.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,22,-75.02000000000001,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,23,-73.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,24,-75.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,25,-77.35000000000001,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,26,-81.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,27,-74.17000000000002,448,2,10
PPO_straight_Base,PPO,StraightRays,Base,28,-74.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,29,-82.18,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,30,-81.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,31,-80.72,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,32,-79.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,33,-77.66999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,34,-74.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,35,-73.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,36,-73.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,37,-79.79,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,38,-75.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,39,-75.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,40,-76.75,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,41,-76.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,42,-83.11999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,43,-70.8,448,2,19
PPO_straight_Base,PPO,StraightRays,Base,44,-69.78999999999999,448,2,19
PPO_straight_Base,PPO,StraightRays,Base,45,-80.72,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,46,-78.67999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,47,-78.75000000000001,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,48,-81.72999999999998,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,49,-76.74999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,50,-80.72,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,51,-82.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,52,-76.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,53,-80.72,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,54,-80.86999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,55,-74.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,56,-75.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,57,-80.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,58,-76.74999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,59,-75.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,60,-80.24,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,61,-80.74,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,62,-80.74,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,63,-79.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,64,-78.67,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,65,-79.53999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,66,-74.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,67,-77.74999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,68,-73.81,448,2,19
PPO_straight_Base,PPO,StraightRays,Base,69,-80.92,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,70,-79.67999999999998,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,71,-77.67,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,72,-75.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,73,-78.76,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,74,-81.45,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,75,-80.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,76,-79.17,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,77,-74.16999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,78,-80.71999999999998,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,79,-74.78999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,80,-80.72,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,81,-83.14999999999999,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,82,-76.02,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,83,-77.75,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,84,-76.75,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,85,-79.22,448,2,9
PPO_straight_Base,PPO,StraightRays,Base,86,-86.18999999999998,448,2,9
