agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_curved_Base,DQN,CurvedRays,Base,1,1,9,297,-297,-0.45,-0.45
DQN_curved_Base,DQN,CurvedRays,Base,1,2,9,152,-152,3.55,3.0999999999999996
DQN_curved_Base,DQN,CurvedRays,Base,1,3,8,7,-7,3.5,6.6
DQN_curved_Base,DQN,CurvedRays,Base,1,4,5,152,-152,-2.9,3.6999999999999997
DQN_curved_Base,DQN,CurvedRays,Base,1,5,8,7,-7,0.04999999999999999,3.7499999999999996
DQN_curved_Base,DQN,CurvedRays,Base,1,6,9,7,-7,-0.45,3.2999999999999994
DQN_curved_Base,DQN,CurvedRays,Base,1,7,9,263,97,3.55,6.85
DQN_curved_Base,DQN,CurvedRays,Base,1,8,8,164,196,3.55,10.399999999999999
DQN_curved_Base,DQN,CurvedRays,Base,1,9,5,263,97,-2.44,7.959999999999999
DQN_curved_Base,DQN,CurvedRays,Base,1,10,9,166,194,0.04999999999999999,8.01
DQN_curved_Base,DQN,CurvedRays,Base,1,11,8,70,290,3.55,11.559999999999999
DQN_curved_Base,DQN,CurvedRays,Base,1,12,8,151,-151,-5.86,5.699999999999998
DQN_curved_Base,DQN,CurvedRays,Base,1,13,5,297,-297,-2.91,2.7899999999999983
DQN_curved_Base,DQN,CurvedRays,Base,1,14,9,152,-152,0.04999999999999999,2.839999999999998
DQN_curved_Base,DQN,CurvedRays,Base,1,15,8,152,-152,-0.5,2.339999999999998
DQN_curved_Base,DQN,CurvedRays,Base,1,16,8,7,-7,0.04999999999999999,2.389999999999998
DQN_curved_Base,DQN,CurvedRays,Base,1,17,9,7,-7,-0.45,1.939999999999998
DQN_curved_Base,DQN,CurvedRays,Base,1,18,9,263,97,0.0,1.939999999999998
DQN_curved_Base,DQN,CurvedRays,Base,1,19,8,164,196,0.0,1.939999999999998
DQN_curved_Base,DQN,CurvedRays,Base,1,20,5,263,97,-2.49,-0.5500000000000023
DQN_curved_Base,DQN,CurvedRays,Base,1,21,9,166,194,0.0,-0.5500000000000023
DQN_curved_Base,DQN,CurvedRays,Base,1,22,8,70,290,0.0,-0.5500000000000023
DQN_curved_Base,DQN,CurvedRays,Base,1,23,8,151,-151,-5.91,-6.460000000000003
DQN_curved_Base,DQN,CurvedRays,Base,1,24,5,297,-297,-2.96,-9.420000000000002
DQN_curved_Base,DQN,CurvedRays,Base,1,25,3,297,-297,-0.45,-9.870000000000001
DQN_curved_Base,DQN,CurvedRays,Base,1,26,9,297,-297,-0.5,-10.370000000000001
DQN_curved_Base,DQN,CurvedRays,Base,1,27,9,152,-152,0.0,-10.370000000000001
DQN_curved_Base,DQN,CurvedRays,Base,1,28,8,7,-7,0.0,-10.370000000000001
DQN_curved_Base,DQN,CurvedRays,Base,1,29,5,152,-152,-2.95,-13.32
DQN_curved_Base,DQN,CurvedRays,Base,1,30,8,7,-7,0.0,-13.32
DQN_curved_Base,DQN,CurvedRays,Base,1,31,9,7,-7,-0.5,-13.82
DQN_curved_Base,DQN,CurvedRays,Base,1,32,9,263,97,0.0,-13.82
DQN_curved_Base,DQN,CurvedRays,Base,1,33,8,164,196,0.0,-13.82
DQN_curved_Base,DQN,CurvedRays,Base,1,34,5,263,97,-2.49,-16.310000000000002
DQN_curved_Base,DQN,CurvedRays,Base,1,35,9,166,194,0.0,-16.310000000000002
DQN_curved_Base,DQN,CurvedRays,Base,1,36,2,166,194,-0.45,-16.76
DQN_curved_Base,DQN,CurvedRays,Base,1,37,5,164,196,-0.5,-17.26
DQN_curved_Base,DQN,CurvedRays,Base,1,38,7,263,97,-2.44,-19.700000000000003
DQN_curved_Base,DQN,CurvedRays,Base,1,39,9,263,97,-0.5,-20.200000000000003
DQN_curved_Base,DQN,CurvedRays,Base,1,40,8,164,196,0.0,-20.200000000000003
DQN_curved_Base,DQN,CurvedRays,Base,1,41,5,263,97,-2.49,-22.690000000000005
DQN_curved_Base,DQN,CurvedRays,Base,1,42,9,166,194,0.0,-22.690000000000005
DQN_curved_Base,DQN,CurvedRays,Base,1,43,8,70,290,0.0,-22.690000000000005
DQN_curved_Base,DQN,CurvedRays,Base,1,44,8,151,-151,-5.91,-28.600000000000005
