agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_curved_Punish,PPO,CurvedRays,Punish,1,1,9,297,-297,-0.45,-0.45
PPO_curved_Punish,PPO,CurvedRays,Punish,1,2,9,152,-152,3.55,3.0999999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,3,8,7,-7,3.5,6.6
PPO_curved_Punish,PPO,CurvedRays,Punish,1,4,8,151,-151,-2.8899999999999997,3.71
PPO_curved_Punish,PPO,CurvedRays,Punish,1,5,9,297,-297,-2.91,0.7999999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,6,9,152,-152,-0.45,0.3499999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,7,8,7,-7,3.5,3.8499999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,1,8,9,7,-7,-0.45,3.3999999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,1,9,9,263,97,3.55,6.949999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,1,10,9,166,194,3.55,10.5
PPO_curved_Punish,PPO,CurvedRays,Punish,1,11,8,70,290,7.55,18.05
PPO_curved_Punish,PPO,CurvedRays,Punish,1,12,2,70,290,-0.45,17.6
PPO_curved_Punish,PPO,CurvedRays,Punish,1,13,2,151,-151,-5.86,11.740000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,14,9,297,-297,-2.91,8.830000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,15,9,297,-297,-0.5,8.330000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,16,9,152,-152,-0.5,7.830000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,17,8,7,-7,-0.5,7.330000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,18,8,151,-151,-2.94,4.390000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,19,9,297,-297,-2.96,1.4300000000000024
PPO_curved_Punish,PPO,CurvedRays,Punish,1,20,9,152,-152,-0.5,0.9300000000000024
PPO_curved_Punish,PPO,CurvedRays,Punish,1,21,8,7,-7,-0.5,0.4300000000000024
PPO_curved_Punish,PPO,CurvedRays,Punish,1,22,9,7,-7,-0.5,-0.06999999999999762
PPO_curved_Punish,PPO,CurvedRays,Punish,1,23,9,263,97,-0.5,-0.5699999999999976
PPO_curved_Punish,PPO,CurvedRays,Punish,1,24,9,166,194,-0.5,-1.0699999999999976
PPO_curved_Punish,PPO,CurvedRays,Punish,1,25,8,70,290,7.5,6.430000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,26,3,166,194,-2.41,4.020000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,27,1,166,194,-0.45,3.570000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,28,7,164,196,-0.45,3.120000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,29,8,7,-7,-3.4799999999999995,-0.35999999999999766
PPO_curved_Punish,PPO,CurvedRays,Punish,1,30,8,151,-151,-2.8899999999999997,-3.2499999999999973
PPO_curved_Punish,PPO,CurvedRays,Punish,1,31,9,7,-7,-0.5,-3.7499999999999973
PPO_curved_Punish,PPO,CurvedRays,Punish,1,32,9,263,97,-0.5,-4.249999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,33,9,166,194,-0.5,-4.749999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,34,8,70,290,11.5,6.750000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,35,1,70,290,-0.45,6.3000000000000025
PPO_curved_Punish,PPO,CurvedRays,Punish,1,36,2,151,-151,-5.86,0.44000000000000217
PPO_curved_Punish,PPO,CurvedRays,Punish,1,37,9,297,-297,-2.91,-2.469999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,38,8,151,-151,-0.45,-2.919999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,39,7,151,-151,-0.5,-3.419999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,40,9,7,-7,-0.5,-3.919999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,41,8,151,-151,-2.8899999999999997,-6.809999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,42,9,297,-297,-2.96,-9.769999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,43,9,152,-152,-0.5,-10.269999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,44,8,7,-7,-0.5,-10.769999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,45,8,151,-151,-2.94,-13.709999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,46,9,297,-297,-2.96,-16.669999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,47,9,152,-152,-0.5,-17.169999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,48,8,7,-7,-0.5,-17.669999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,49,9,7,-7,-0.5,-18.169999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,50,9,263,97,-0.5,-18.669999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,51,9,166,194,-0.5,-19.169999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,52,7,164,196,-0.45,-19.619999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,53,8,7,-7,-3.53,-23.15
PPO_curved_Punish,PPO,CurvedRays,Punish,1,54,9,152,-152,-2.9,-26.049999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,55,8,7,-7,-0.5,-26.549999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,56,8,151,-151,-2.8899999999999997,-29.439999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,57,9,297,-297,-2.91,-32.349999999999994
PPO_curved_Punish,PPO,CurvedRays,Punish,1,58,9,152,-152,-0.45,-32.8
PPO_curved_Punish,PPO,CurvedRays,Punish,1,59,8,152,-152,-0.5,-33.3
PPO_curved_Punish,PPO,CurvedRays,Punish,1,60,8,7,-7,-0.5,-33.8
PPO_curved_Punish,PPO,CurvedRays,Punish,1,61,9,7,-7,-0.5,-34.3
PPO_curved_Punish,PPO,CurvedRays,Punish,1,62,9,263,97,-0.5,-34.8
PPO_curved_Punish,PPO,CurvedRays,Punish,1,63,9,166,194,-0.5,-35.3
PPO_curved_Punish,PPO,CurvedRays,Punish,1,64,8,70,290,7.5,-27.799999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,1,65,3,166,194,-2.46,-30.259999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,1,66,2,7,-7,-3.46,-33.72
PPO_curved_Punish,PPO,CurvedRays,Punish,1,67,8,151,-151,-2.8899999999999997,-36.61
PPO_curved_Punish,PPO,CurvedRays,Punish,1,68,9,7,-7,-0.45,-37.06
PPO_curved_Punish,PPO,CurvedRays,Punish,1,69,9,263,97,-0.45,-37.510000000000005
PPO_curved_Punish,PPO,CurvedRays,Punish,1,70,8,7,-7,-2.54,-40.050000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,1,71,8,151,-151,-2.94,-42.99
PPO_curved_Punish,PPO,CurvedRays,Punish,1,72,9,7,-7,-0.45,-43.440000000000005
PPO_curved_Punish,PPO,CurvedRays,Punish,1,73,9,263,97,-0.45,-43.89000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,74,9,166,194,-0.45,-44.34000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,75,7,164,196,-0.5,-44.84000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,76,8,7,-7,-3.53,-48.37000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,77,9,152,-152,-2.95,-51.320000000000014
PPO_curved_Punish,PPO,CurvedRays,Punish,1,78,8,7,-7,-0.5,-51.820000000000014
PPO_curved_Punish,PPO,CurvedRays,Punish,1,79,8,151,-151,-2.94,-54.76000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,80,9,297,-297,-2.96,-57.72000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,81,9,152,-152,-0.5,-58.22000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,1,82,9,152,-152,-0.45,-58.670000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,83,7,152,-152,-0.5,-59.170000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,84,8,152,-152,-0.5,-59.670000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,85,8,7,-7,-1.5,-61.170000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,86,9,7,-7,-0.5,-61.670000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,87,9,263,97,-0.5,-62.170000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,88,9,166,194,-0.5,-62.670000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,89,8,70,290,7.5,-55.170000000000016
PPO_curved_Punish,PPO,CurvedRays,Punish,1,90,3,166,194,-2.46,-57.63000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,91,4,166,194,-0.45,-58.08000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,92,1,166,194,-0.5,-58.58000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,93,8,70,290,3.55,-55.03000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,94,3,166,194,-2.46,-57.49000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,1,95,8,47,313,3.55,-53.940000000000026
PPO_curved_Punish,PPO,CurvedRays,Punish,1,96,9,272,448,3.55,-50.39000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,97,8,272,448,-0.45,-50.84000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,98,2,47,313,-2.8,-53.64000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,99,9,70,290,-1.68,-55.32000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,1,100,1,70,290,-0.45,-55.77000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,2,1,9,297,-297,-0.45,-0.45
PPO_curved_Punish,PPO,CurvedRays,Punish,2,2,9,152,-152,3.55,3.0999999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,2,3,8,7,-7,3.5,6.6
PPO_curved_Punish,PPO,CurvedRays,Punish,2,4,8,151,-151,-2.8899999999999997,3.71
PPO_curved_Punish,PPO,CurvedRays,Punish,2,5,9,297,-297,-2.91,0.7999999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,6,9,152,-152,-0.45,0.3499999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,7,8,7,-7,3.5,3.8499999999999996
PPO_curved_Punish,PPO,CurvedRays,Punish,2,8,9,7,-7,-0.45,3.3999999999999995
PPO_curved_Punish,PPO,CurvedRays,Punish,2,9,9,263,97,3.55,6.949999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,2,10,9,166,194,3.55,10.5
PPO_curved_Punish,PPO,CurvedRays,Punish,2,11,3,263,97,-2.42,8.08
PPO_curved_Punish,PPO,CurvedRays,Punish,2,12,9,166,194,3.55,11.629999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,2,13,7,164,196,-0.45,11.18
PPO_curved_Punish,PPO,CurvedRays,Punish,2,14,8,7,-7,-3.53,7.65
PPO_curved_Punish,PPO,CurvedRays,Punish,2,15,9,152,-152,-2.9,4.75
PPO_curved_Punish,PPO,CurvedRays,Punish,2,16,8,7,-7,-0.45,4.3
PPO_curved_Punish,PPO,CurvedRays,Punish,2,17,8,151,-151,-2.8899999999999997,1.4100000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,18,9,297,-297,-2.91,-1.5
PPO_curved_Punish,PPO,CurvedRays,Punish,2,19,9,152,-152,-0.45,-1.95
PPO_curved_Punish,PPO,CurvedRays,Punish,2,20,8,152,-152,-0.5,-2.45
PPO_curved_Punish,PPO,CurvedRays,Punish,2,21,8,7,-7,-0.5,-2.95
PPO_curved_Punish,PPO,CurvedRays,Punish,2,22,9,7,-7,-0.5,-3.45
PPO_curved_Punish,PPO,CurvedRays,Punish,2,23,9,263,97,-0.5,-3.95
PPO_curved_Punish,PPO,CurvedRays,Punish,2,24,9,166,194,3.5,-0.4500000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,25,7,164,196,-0.5,-0.9500000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,26,8,7,-7,-3.53,-4.48
PPO_curved_Punish,PPO,CurvedRays,Punish,2,27,9,152,-152,-2.95,-7.430000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,28,8,7,-7,-0.5,-7.930000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,29,8,151,-151,-2.94,-10.870000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,30,9,297,-297,-2.96,-13.830000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,31,9,152,-152,-0.5,-14.330000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,32,8,152,-152,-0.5,-14.830000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,33,8,7,-7,-0.5,-15.330000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,34,9,7,-7,-0.5,-15.830000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,35,9,263,97,-0.5,-16.330000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,36,9,166,194,3.5,-12.830000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,37,8,70,290,7.55,-5.280000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,38,4,47,313,11.55,6.269999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,2,39,2,47,313,-0.45,5.8199999999999985
PPO_curved_Punish,PPO,CurvedRays,Punish,2,40,9,70,290,-1.68,4.139999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,2,41,8,47,313,3.5,7.639999999999999
PPO_curved_Punish,PPO,CurvedRays,Punish,2,42,9,272,448,3.55,11.189999999999998
PPO_curved_Punish,PPO,CurvedRays,Punish,2,43,2,47,313,-2.8,8.389999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,44,9,70,290,-1.68,6.709999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,45,2,151,-151,-5.86,0.849999999999997
PPO_curved_Punish,PPO,CurvedRays,Punish,2,46,9,297,-297,-2.91,-2.060000000000003
PPO_curved_Punish,PPO,CurvedRays,Punish,2,47,8,151,-151,-0.45,-2.5100000000000033
PPO_curved_Punish,PPO,CurvedRays,Punish,2,48,8,151,-151,-0.45,-2.9600000000000035
PPO_curved_Punish,PPO,CurvedRays,Punish,2,49,9,151,-151,-0.45,-3.4100000000000037
PPO_curved_Punish,PPO,CurvedRays,Punish,2,50,9,7,-7,-0.45,-3.860000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,51,8,151,-151,-2.8899999999999997,-6.7500000000000036
PPO_curved_Punish,PPO,CurvedRays,Punish,2,52,9,297,-297,-2.96,-9.710000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,53,9,152,-152,-0.5,-10.210000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,54,8,7,-7,-0.5,-10.710000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,55,2,151,-151,-2.8899999999999997,-13.600000000000005
PPO_curved_Punish,PPO,CurvedRays,Punish,2,56,9,7,-7,-0.5,-14.100000000000005
PPO_curved_Punish,PPO,CurvedRays,Punish,2,57,0,7,-7,-0.45,-14.550000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,58,9,263,97,-0.45,-15.000000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,59,9,166,194,-0.5,-15.500000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,60,3,263,97,-2.4699999999999998,-17.970000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,61,9,166,194,-0.5,-18.470000000000002
PPO_curved_Punish,PPO,CurvedRays,Punish,2,62,4,7,-7,-3.51,-21.980000000000004
PPO_curved_Punish,PPO,CurvedRays,Punish,2,63,8,151,-151,-2.94,-24.920000000000005
PPO_curved_Punish,PPO,CurvedRays,Punish,2,64,9,7,-7,-0.5,-25.420000000000005
PPO_curved_Punish,PPO,CurvedRays,Punish,2,65,8,151,-151,-2.94,-28.360000000000007
PPO_curved_Punish,PPO,CurvedRays,Punish,2,66,9,297,-297,-2.96,-31.320000000000007
PPO_curved_Punish,PPO,CurvedRays,Punish,2,67,9,152,-152,-0.5,-31.820000000000007
PPO_curved_Punish,PPO,CurvedRays,Punish,2,68,8,7,-7,-0.5,-32.32000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,69,8,151,-151,-2.94,-35.260000000000005
PPO_curved_Punish,PPO,CurvedRays,Punish,2,70,9,297,-297,-2.96,-38.220000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,71,9,152,-152,-0.5,-38.720000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,72,8,7,-7,-0.5,-39.220000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,73,9,7,-7,-0.5,-39.720000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,74,9,263,97,-0.5,-40.220000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,75,9,166,194,-0.5,-40.720000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,76,8,70,290,-0.5,-41.220000000000006
PPO_curved_Punish,PPO,CurvedRays,Punish,2,77,3,166,194,-2.41,-43.63000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,78,2,7,-7,-3.46,-47.09000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,79,8,151,-151,-2.8899999999999997,-49.98000000000001
PPO_curved_Punish,PPO,CurvedRays,Punish,2,80,9,7,-7,-0.45,-50.430000000000014
PPO_curved_Punish,PPO,CurvedRays,Punish,2,81,9,263,97,-0.45,-50.88000000000002
