agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_curved_Punish,DQN,CurvedRays,Punish,1,1,9,297,-297,-0.45,-0.45
DQN_curved_Punish,DQN,CurvedRays,Punish,1,2,9,152,-152,3.55,3.0999999999999996
DQN_curved_Punish,DQN,CurvedRays,Punish,1,3,8,7,-7,3.5,6.6
DQN_curved_Punish,DQN,CurvedRays,Punish,1,4,0,7,-7,-0.45,6.1499999999999995
DQN_curved_Punish,DQN,CurvedRays,Punish,1,5,9,263,97,3.55,9.7
DQN_curved_Punish,DQN,CurvedRays,Punish,1,6,2,263,97,-0.45,9.25
DQN_curved_Punish,DQN,CurvedRays,Punish,1,7,0,7,-7,-2.49,6.76
DQN_curved_Punish,DQN,CurvedRays,Punish,1,8,9,263,97,3.55,10.309999999999999
DQN_curved_Punish,DQN,CurvedRays,Punish,1,9,8,164,196,3.55,13.86
DQN_curved_Punish,DQN,CurvedRays,Punish,1,10,0,263,97,-2.44,11.42
DQN_curved_Punish,DQN,CurvedRays,Punish,1,11,9,263,97,-0.45,10.97
DQN_curved_Punish,DQN,CurvedRays,Punish,1,12,9,166,194,-0.45,10.520000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,13,3,263,97,-2.4699999999999998,8.05
DQN_curved_Punish,DQN,CurvedRays,Punish,1,14,9,166,194,-0.45,7.6000000000000005
DQN_curved_Punish,DQN,CurvedRays,Punish,1,15,3,263,97,-2.4699999999999998,5.130000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,16,8,164,196,3.5,8.63
DQN_curved_Punish,DQN,CurvedRays,Punish,1,17,0,263,97,-2.49,6.140000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,18,9,263,97,-0.5,5.640000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,19,9,166,194,-0.5,5.140000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,20,3,263,97,-2.4699999999999998,2.670000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,21,9,166,194,-0.5,2.170000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,22,3,263,97,-2.4699999999999998,-0.29999999999999893
DQN_curved_Punish,DQN,CurvedRays,Punish,1,23,8,164,196,3.5,3.200000000000001
DQN_curved_Punish,DQN,CurvedRays,Punish,1,24,0,263,97,-2.49,0.7100000000000009
DQN_curved_Punish,DQN,CurvedRays,Punish,1,25,9,263,97,-0.5,0.21000000000000085
DQN_curved_Punish,DQN,CurvedRays,Punish,1,26,0,263,97,-0.5,-0.28999999999999915
DQN_curved_Punish,DQN,CurvedRays,Punish,1,27,0,7,-7,-2.49,-2.7799999999999994
DQN_curved_Punish,DQN,CurvedRays,Punish,1,28,9,263,97,-0.45,-3.2299999999999995
DQN_curved_Punish,DQN,CurvedRays,Punish,1,29,2,263,97,-0.5,-3.7299999999999995
DQN_curved_Punish,DQN,CurvedRays,Punish,1,30,0,7,-7,-2.54,-6.27
DQN_curved_Punish,DQN,CurvedRays,Punish,1,31,9,263,97,-0.45,-6.72
DQN_curved_Punish,DQN,CurvedRays,Punish,1,32,2,263,97,-0.5,-7.22
DQN_curved_Punish,DQN,CurvedRays,Punish,1,33,0,7,-7,-2.54,-9.76
DQN_curved_Punish,DQN,CurvedRays,Punish,1,34,9,263,97,-0.5,-10.26
DQN_curved_Punish,DQN,CurvedRays,Punish,1,35,8,164,196,3.5,-6.76
DQN_curved_Punish,DQN,CurvedRays,Punish,1,36,0,263,97,-2.49,-9.25
DQN_curved_Punish,DQN,CurvedRays,Punish,1,37,9,263,97,-0.5,-9.75
DQN_curved_Punish,DQN,CurvedRays,Punish,1,38,0,263,97,-0.5,-10.25
DQN_curved_Punish,DQN,CurvedRays,Punish,1,39,0,7,-7,-2.54,-12.79
DQN_curved_Punish,DQN,CurvedRays,Punish,1,40,9,263,97,-0.5,-13.29
DQN_curved_Punish,DQN,CurvedRays,Punish,1,41,2,263,97,-0.5,-13.79
DQN_curved_Punish,DQN,CurvedRays,Punish,1,42,0,7,-7,-2.54,-16.33
DQN_curved_Punish,DQN,CurvedRays,Punish,1,43,9,263,97,-0.5,-16.83
DQN_curved_Punish,DQN,CurvedRays,Punish,1,44,2,263,97,-0.5,-17.33
DQN_curved_Punish,DQN,CurvedRays,Punish,1,45,0,7,-7,-2.54,-19.869999999999997
