agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_straight_Base,DQN,StraightRays,Base,1,1,9,297,-297,-0.45,-0.45
DQN_straight_Base,DQN,StraightRays,Base,1,2,9,152,-152,3.55,3.0999999999999996
DQN_straight_Base,DQN,StraightRays,Base,1,3,8,7,-7,3.5,6.6
DQN_straight_Base,DQN,StraightRays,Base,1,4,0,7,-7,-0.45,6.1499999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,5,9,263,97,3.55,9.7
DQN_straight_Base,DQN,StraightRays,Base,1,6,2,263,97,-0.45,9.25
DQN_straight_Base,DQN,StraightRays,Base,1,7,1,263,97,-0.45,8.8
DQN_straight_Base,DQN,StraightRays,Base,1,8,6,263,97,-0.5,8.3
DQN_straight_Base,DQN,StraightRays,Base,1,9,1,263,97,-1.5,6.800000000000001
DQN_straight_Base,DQN,StraightRays,Base,1,10,6,263,97,-1.5,5.300000000000001
DQN_straight_Base,DQN,StraightRays,Base,1,11,1,263,97,-1.5,3.8000000000000007
DQN_straight_Base,DQN,StraightRays,Base,1,12,9,263,97,-1.45,2.3500000000000005
DQN_straight_Base,DQN,StraightRays,Base,1,13,6,263,97,-1.5,0.8500000000000005
DQN_straight_Base,DQN,StraightRays,Base,1,14,2,263,97,-1.5,-0.6499999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,15,1,263,97,-1.5,-2.1499999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,16,9,263,97,-1.5,-3.6499999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,17,6,263,97,-1.5,-5.1499999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,18,9,166,194,2.55,-2.5999999999999996
DQN_straight_Base,DQN,StraightRays,Base,1,19,3,263,97,-2.42,-5.02
DQN_straight_Base,DQN,StraightRays,Base,1,20,8,164,196,3.55,-1.4699999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,21,2,166,194,-1.47,-2.9399999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,22,6,70,290,3.55,0.6100000000000003
DQN_straight_Base,DQN,StraightRays,Base,1,23,6,47,313,3.55,4.16
DQN_straight_Base,DQN,StraightRays,Base,1,24,6,70,290,-1.68,2.4800000000000004
DQN_straight_Base,DQN,StraightRays,Base,1,25,9,166,194,-2.41,0.07000000000000028
DQN_straight_Base,DQN,StraightRays,Base,1,26,9,263,97,-2.4699999999999998,-2.3999999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,27,8,164,196,0.0,-2.3999999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,28,2,166,194,-1.52,-3.9199999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,29,6,70,290,0.0,-3.9199999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,30,6,47,313,0.0,-3.9199999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,31,6,70,290,-1.73,-5.6499999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,32,9,166,194,-2.46,-8.11
DQN_straight_Base,DQN,StraightRays,Base,1,33,9,263,97,-2.4699999999999998,-10.579999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,34,8,164,196,0.0,-10.579999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,35,5,263,97,-2.44,-13.019999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,36,9,166,194,0.04999999999999999,-12.969999999999997
DQN_straight_Base,DQN,StraightRays,Base,1,37,6,70,290,0.04999999999999999,-12.919999999999996
DQN_straight_Base,DQN,StraightRays,Base,1,38,5,164,196,-2.44,-15.359999999999996
DQN_straight_Base,DQN,StraightRays,Base,1,39,2,166,194,-1.47,-16.829999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,40,6,70,290,0.0,-16.829999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,41,4,47,313,0.04999999999999999,-16.779999999999994
DQN_straight_Base,DQN,StraightRays,Base,1,42,6,70,290,-1.73,-18.509999999999994
DQN_straight_Base,DQN,StraightRays,Base,1,43,9,166,194,-2.46,-20.969999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,44,5,152,-152,-4.91,-25.879999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,45,8,297,-297,-2.95,-28.829999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,46,9,152,-152,0.0,-28.829999999999995
DQN_straight_Base,DQN,StraightRays,Base,1,47,2,297,-297,-2.95,-31.779999999999994
DQN_straight_Base,DQN,StraightRays,Base,1,48,9,152,-152,0.0,-31.779999999999994
DQN_straight_Base,DQN,StraightRays,Base,1,49,8,7,-7,0.0,-31.779999999999994
DQN_straight_Base,DQN,StraightRays,Base,1,50,0,7,-7,-0.5,-32.279999999999994
DQN_straight_Base,DQN,StraightRays,Base,1,51,7,7,-7,-0.45,-32.73
DQN_straight_Base,DQN,StraightRays,Base,1,52,4,151,-151,-2.8899999999999997,-35.62
DQN_straight_Base,DQN,StraightRays,Base,1,53,9,7,-7,0.04999999999999999,-35.57
DQN_straight_Base,DQN,StraightRays,Base,1,54,9,263,97,0.0,-35.57
DQN_straight_Base,DQN,StraightRays,Base,1,55,8,164,196,0.5,-35.07
DQN_straight_Base,DQN,StraightRays,Base,1,56,2,166,194,-1.52,-36.59
DQN_straight_Base,DQN,StraightRays,Base,1,57,6,70,290,0.0,-36.59
DQN_straight_Base,DQN,StraightRays,Base,1,58,6,47,313,0.0,-36.59
DQN_straight_Base,DQN,StraightRays,Base,1,59,6,70,290,-1.73,-38.32
DQN_straight_Base,DQN,StraightRays,Base,1,60,9,166,194,-2.46,-40.78
DQN_straight_Base,DQN,StraightRays,Base,1,61,9,263,97,-2.4699999999999998,-43.25
DQN_straight_Base,DQN,StraightRays,Base,1,62,8,164,196,0.0,-43.25
DQN_straight_Base,DQN,StraightRays,Base,1,63,2,166,194,-1.52,-44.77
DQN_straight_Base,DQN,StraightRays,Base,1,64,6,70,290,0.0,-44.77
DQN_straight_Base,DQN,StraightRays,Base,1,65,6,47,313,0.0,-44.77
DQN_straight_Base,DQN,StraightRays,Base,1,66,6,70,290,-1.73,-46.5
DQN_straight_Base,DQN,StraightRays,Base,1,67,9,166,194,-2.46,-48.96
DQN_straight_Base,DQN,StraightRays,Base,1,68,9,263,97,-2.4699999999999998,-51.43
DQN_straight_Base,DQN,StraightRays,Base,1,69,8,164,196,0.0,-51.43
DQN_straight_Base,DQN,StraightRays,Base,1,70,2,166,194,-1.52,-52.95
DQN_straight_Base,DQN,StraightRays,Base,1,71,6,70,290,0.0,-52.95
DQN_straight_Base,DQN,StraightRays,Base,1,72,6,47,313,0.0,-52.95
DQN_straight_Base,DQN,StraightRays,Base,1,73,6,70,290,-1.73,-54.68
DQN_straight_Base,DQN,StraightRays,Base,1,74,9,166,194,-2.46,-57.14
DQN_straight_Base,DQN,StraightRays,Base,1,75,9,263,97,-2.4699999999999998,-59.61
DQN_straight_Base,DQN,StraightRays,Base,1,76,8,164,196,0.0,-59.61
DQN_straight_Base,DQN,StraightRays,Base,1,77,2,166,194,-1.52,-61.13
DQN_straight_Base,DQN,StraightRays,Base,1,78,6,70,290,0.0,-61.13
DQN_straight_Base,DQN,StraightRays,Base,1,79,6,47,313,0.0,-61.13
DQN_straight_Base,DQN,StraightRays,Base,1,80,6,70,290,-1.73,-62.86
DQN_straight_Base,DQN,StraightRays,Base,1,81,9,166,194,-2.46,-65.32
DQN_straight_Base,DQN,StraightRays,Base,1,82,9,263,97,-2.4699999999999998,-67.78999999999999
DQN_straight_Base,DQN,StraightRays,Base,1,83,8,164,196,0.0,-67.78999999999999
DQN_straight_Base,DQN,StraightRays,Base,1,84,2,166,194,-1.52,-69.30999999999999
DQN_straight_Base,DQN,StraightRays,Base,1,85,6,70,290,0.0,-69.30999999999999
DQN_straight_Base,DQN,StraightRays,Base,1,86,6,47,313,0.0,-69.30999999999999
DQN_straight_Base,DQN,StraightRays,Base,1,87,6,70,290,-1.73,-71.03999999999999
DQN_straight_Base,DQN,StraightRays,Base,1,88,9,166,194,-2.46,-73.49999999999999
DQN_straight_Base,DQN,StraightRays,Base,1,89,9,263,97,-2.4699999999999998,-75.96999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,90,8,164,196,0.0,-75.96999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,91,2,166,194,-1.52,-77.48999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,92,6,70,290,0.0,-77.48999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,93,6,47,313,0.0,-77.48999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,94,6,70,290,-1.73,-79.21999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,95,9,166,194,-2.46,-81.67999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,96,9,263,97,-2.4699999999999998,-84.14999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,97,8,164,196,0.0,-84.14999999999998
DQN_straight_Base,DQN,StraightRays,Base,1,98,2,166,194,-1.52,-85.66999999999997
DQN_straight_Base,DQN,StraightRays,Base,1,99,6,70,290,0.0,-85.66999999999997
DQN_straight_Base,DQN,StraightRays,Base,1,100,6,47,313,0.0,-85.66999999999997
DQN_straight_Base,DQN,StraightRays,Base,2,1,9,297,-297,-0.45,-0.45
DQN_straight_Base,DQN,StraightRays,Base,2,2,5,297,-297,-0.45,-0.9
DQN_straight_Base,DQN,StraightRays,Base,2,3,7,297,-297,-0.5,-1.4
DQN_straight_Base,DQN,StraightRays,Base,2,4,9,152,-152,3.55,2.15
DQN_straight_Base,DQN,StraightRays,Base,2,5,8,7,-7,3.5,5.65
DQN_straight_Base,DQN,StraightRays,Base,2,6,0,7,-7,-0.45,5.2
DQN_straight_Base,DQN,StraightRays,Base,2,7,9,263,97,3.55,8.75
DQN_straight_Base,DQN,StraightRays,Base,2,8,2,263,97,-0.45,8.3
DQN_straight_Base,DQN,StraightRays,Base,2,9,1,263,97,-0.45,7.8500000000000005
DQN_straight_Base,DQN,StraightRays,Base,2,10,1,263,97,-0.45,7.4
DQN_straight_Base,DQN,StraightRays,Base,2,11,5,152,-152,-4.94,2.46
DQN_straight_Base,DQN,StraightRays,Base,2,12,8,297,-297,-2.9,-0.43999999999999995
DQN_straight_Base,DQN,StraightRays,Base,2,13,9,152,-152,0.04999999999999999,-0.38999999999999996
DQN_straight_Base,DQN,StraightRays,Base,2,14,8,7,-7,0.0,-0.38999999999999996
DQN_straight_Base,DQN,StraightRays,Base,2,15,0,7,-7,-0.5,-0.8899999999999999
DQN_straight_Base,DQN,StraightRays,Base,2,16,0,151,-151,-2.8899999999999997,-3.7799999999999994
DQN_straight_Base,DQN,StraightRays,Base,2,17,6,151,-151,-0.45,-4.2299999999999995
DQN_straight_Base,DQN,StraightRays,Base,2,18,3,297,-297,-2.91,-7.14
DQN_straight_Base,DQN,StraightRays,Base,2,19,9,297,-297,-0.5,-7.64
DQN_straight_Base,DQN,StraightRays,Base,2,20,9,152,-152,0.0,-7.64
DQN_straight_Base,DQN,StraightRays,Base,2,21,2,297,-297,-2.95,-10.59
DQN_straight_Base,DQN,StraightRays,Base,2,22,9,152,-152,0.0,-10.59
DQN_straight_Base,DQN,StraightRays,Base,2,23,2,297,-297,-2.95,-13.54
DQN_straight_Base,DQN,StraightRays,Base,2,24,9,152,-152,0.0,-13.54
DQN_straight_Base,DQN,StraightRays,Base,2,25,2,297,-297,-2.95,-16.49
DQN_straight_Base,DQN,StraightRays,Base,2,26,9,152,-152,0.0,-16.49
DQN_straight_Base,DQN,StraightRays,Base,2,27,2,297,-297,-2.95,-19.439999999999998
DQN_straight_Base,DQN,StraightRays,Base,2,28,9,152,-152,0.0,-19.439999999999998
DQN_straight_Base,DQN,StraightRays,Base,2,29,8,7,-7,0.0,-19.439999999999998
DQN_straight_Base,DQN,StraightRays,Base,2,30,0,7,-7,-0.45,-19.889999999999997
DQN_straight_Base,DQN,StraightRays,Base,2,31,7,7,-7,-0.45,-20.339999999999996
DQN_straight_Base,DQN,StraightRays,Base,2,32,4,151,-151,-2.8899999999999997,-23.229999999999997
DQN_straight_Base,DQN,StraightRays,Base,2,33,9,7,-7,0.0,-23.229999999999997
DQN_straight_Base,DQN,StraightRays,Base,2,34,9,263,97,0.0,-23.229999999999997
DQN_straight_Base,DQN,StraightRays,Base,2,35,8,164,196,7.55,-15.679999999999996
DQN_straight_Base,DQN,StraightRays,Base,2,36,2,166,194,-1.47,-17.149999999999995
DQN_straight_Base,DQN,StraightRays,Base,2,37,6,70,290,3.55,-13.599999999999994
DQN_straight_Base,DQN,StraightRays,Base,2,38,6,47,313,3.55,-10.049999999999994
DQN_straight_Base,DQN,StraightRays,Base,2,39,8,70,290,-1.68,-11.729999999999993
DQN_straight_Base,DQN,StraightRays,Base,2,40,9,166,194,-2.41,-14.139999999999993
DQN_straight_Base,DQN,StraightRays,Base,2,41,9,263,97,-2.4699999999999998,-16.609999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,42,8,164,196,0.0,-16.609999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,43,2,166,194,-1.52,-18.129999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,44,6,70,290,0.0,-18.129999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,45,6,47,313,0.0,-18.129999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,46,6,70,290,-1.73,-19.859999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,47,9,166,194,-2.46,-22.319999999999993
DQN_straight_Base,DQN,StraightRays,Base,2,48,9,263,97,-2.4699999999999998,-24.789999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,49,8,164,196,0.0,-24.789999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,50,2,166,194,-1.52,-26.30999999999999
DQN_straight_Base,DQN,StraightRays,Base,2,51,6,70,290,0.0,-26.30999999999999
DQN_straight_Base,DQN,StraightRays,Base,2,52,6,47,313,0.0,-26.30999999999999
DQN_straight_Base,DQN,StraightRays,Base,2,53,6,70,290,-1.73,-28.039999999999992
DQN_straight_Base,DQN,StraightRays,Base,2,54,9,166,194,-2.46,-30.499999999999993
DQN_straight_Base,DQN,StraightRays,Base,2,55,5,152,-152,-4.91,-35.41
DQN_straight_Base,DQN,StraightRays,Base,2,56,8,297,-297,-2.95,-38.36
DQN_straight_Base,DQN,StraightRays,Base,2,57,9,152,-152,0.0,-38.36
DQN_straight_Base,DQN,StraightRays,Base,2,58,2,297,-297,-2.95,-41.31
DQN_straight_Base,DQN,StraightRays,Base,2,59,9,152,-152,0.0,-41.31
DQN_straight_Base,DQN,StraightRays,Base,2,60,8,7,-7,0.0,-41.31
DQN_straight_Base,DQN,StraightRays,Base,2,61,0,7,-7,-0.5,-41.81
DQN_straight_Base,DQN,StraightRays,Base,2,62,7,7,-7,-0.5,-42.31
DQN_straight_Base,DQN,StraightRays,Base,2,63,4,151,-151,-2.94,-45.25
DQN_straight_Base,DQN,StraightRays,Base,2,64,7,297,-297,-2.91,-48.16
DQN_straight_Base,DQN,StraightRays,Base,2,65,9,297,-297,-0.45,-48.61
