agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_straight_Base,PPO,StraightRays,Base,1,1,8,297,-297,-0.45,-0.45
PPO_straight_Base,PPO,StraightRays,Base,1,2,8,151,-151,3.55,3.0999999999999996
PPO_straight_Base,PPO,StraightRays,Base,1,3,9,7,-7,3.5,6.6
PPO_straight_Base,PPO,StraightRays,Base,1,4,0,7,-7,-0.45,6.1499999999999995
PPO_straight_Base,PPO,StraightRays,Base,1,5,9,263,97,3.55,9.7
PPO_straight_Base,PPO,StraightRays,Base,1,6,9,166,194,3.55,13.25
PPO_straight_Base,PPO,StraightRays,Base,1,7,2,166,194,-0.45,12.8
PPO_straight_Base,PPO,StraightRays,Base,1,8,8,47,313,3.55,16.35
PPO_straight_Base,PPO,StraightRays,Base,1,9,9,272,448,3.55,19.900000000000002
PPO_straight_Base,PPO,StraightRays,Base,1,10,9,272,448,-0.45,19.450000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,11,2,47,313,-2.85,16.6
PPO_straight_Base,PPO,StraightRays,Base,1,12,9,70,290,-1.68,14.920000000000002
PPO_straight_Base,PPO,StraightRays,Base,1,13,9,166,194,-2.41,12.510000000000002
PPO_straight_Base,PPO,StraightRays,Base,1,14,8,7,-7,-3.46,9.05
PPO_straight_Base,PPO,StraightRays,Base,1,15,2,7,-7,-0.45,8.600000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,16,9,7,-7,-0.5,8.100000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,17,0,7,-7,-0.5,7.600000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,18,9,263,97,-1.0,6.600000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,19,9,166,194,0.0,6.600000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,20,9,164,196,-0.45,6.150000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,21,7,263,97,-2.44,3.7100000000000013
PPO_straight_Base,PPO,StraightRays,Base,1,22,9,152,-152,-3.9400000000000004,-0.2299999999999991
PPO_straight_Base,PPO,StraightRays,Base,1,23,9,152,-152,-0.45,-0.679999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,24,8,7,-7,0.04999999999999999,-0.629999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,25,9,7,-7,-0.5,-1.129999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,26,9,263,97,0.0,-1.129999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,27,9,166,194,0.0,-1.129999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,28,2,166,194,-0.5,-1.629999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,29,8,47,313,0.0,-1.629999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,30,9,272,448,0.0,-1.629999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,31,9,272,448,-0.45,-2.079999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,32,8,272,448,-0.5,-2.579999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,33,9,272,448,-0.5,-3.079999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,34,8,272,448,-1.5,-4.579999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,35,9,272,448,-1.5,-6.079999999999999
PPO_straight_Base,PPO,StraightRays,Base,1,36,2,47,313,-3.85,-9.93
PPO_straight_Base,PPO,StraightRays,Base,1,37,9,70,290,-1.73,-11.66
PPO_straight_Base,PPO,StraightRays,Base,1,38,9,166,194,-2.46,-14.120000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,39,8,7,-7,-3.51,-17.630000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,40,2,7,-7,-0.5,-18.130000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,41,9,7,-7,-0.5,-18.630000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,42,0,7,-7,-0.5,-19.130000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,43,9,263,97,-1.0,-20.130000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,44,9,166,194,0.0,-20.130000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,45,9,164,196,-0.5,-20.630000000000003
PPO_straight_Base,PPO,StraightRays,Base,1,46,7,263,97,-2.49,-23.120000000000005
PPO_straight_Base,PPO,StraightRays,Base,1,47,9,152,-152,-3.99,-27.110000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,48,9,152,-152,-0.5,-27.610000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,49,8,7,-7,0.0,-27.610000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,50,9,7,-7,-0.5,-28.110000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,51,9,263,97,0.0,-28.110000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,52,9,166,194,0.0,-28.110000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,53,2,166,194,-0.5,-28.610000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,54,8,47,313,0.0,-28.610000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,55,9,272,448,0.0,-28.610000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,56,9,272,448,-0.5,-29.110000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,57,8,272,448,-0.5,-29.610000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,58,9,272,448,-0.5,-30.110000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,59,8,272,448,-1.5,-31.610000000000007
PPO_straight_Base,PPO,StraightRays,Base,1,60,9,272,448,-1.5,-33.11000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,61,8,272,448,-1.5,-34.61000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,62,9,272,448,-1.5,-36.11000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,63,2,47,313,-3.85,-39.96000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,64,9,70,290,-1.73,-41.690000000000005
PPO_straight_Base,PPO,StraightRays,Base,1,65,9,166,194,-2.46,-44.150000000000006
PPO_straight_Base,PPO,StraightRays,Base,1,66,8,7,-7,-3.51,-47.660000000000004
PPO_straight_Base,PPO,StraightRays,Base,1,67,2,7,-7,-0.5,-48.160000000000004
PPO_straight_Base,PPO,StraightRays,Base,1,68,9,7,-7,-0.5,-48.660000000000004
PPO_straight_Base,PPO,StraightRays,Base,1,69,0,7,-7,-0.5,-49.160000000000004
PPO_straight_Base,PPO,StraightRays,Base,1,70,9,263,97,-1.0,-50.160000000000004
PPO_straight_Base,PPO,StraightRays,Base,1,71,9,166,194,0.0,-50.160000000000004
PPO_straight_Base,PPO,StraightRays,Base,1,72,9,164,196,-0.5,-50.660000000000004
PPO_straight_Base,PPO,StraightRays,Base,1,73,7,263,97,-2.49,-53.150000000000006
PPO_straight_Base,PPO,StraightRays,Base,1,74,9,152,-152,-3.99,-57.14000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,75,9,152,-152,-0.5,-57.64000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,76,8,7,-7,0.0,-57.64000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,77,9,7,-7,-0.5,-58.14000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,78,9,263,97,0.0,-58.14000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,79,9,166,194,0.0,-58.14000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,80,2,166,194,-0.5,-58.64000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,81,8,47,313,0.0,-58.64000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,82,9,272,448,0.0,-58.64000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,83,9,272,448,-0.5,-59.14000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,84,2,47,313,-2.85,-61.99000000000001
PPO_straight_Base,PPO,StraightRays,Base,1,85,9,70,290,-1.73,-63.720000000000006
PPO_straight_Base,PPO,StraightRays,Base,1,86,9,166,194,-2.46,-66.18
