agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,1,8,297,-297,-0.4,-0.4
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,2,9,152,-152,14.0,13.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,3,8,152,-152,-0.5,13.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,4,8,7,-7,14.0,27.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,5,9,7,-7,-0.5,26.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,6,8,151,-151,-0.5,26.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,7,9,297,-297,-0.5,25.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,8,9,297,-297,-0.5,25.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,9,9,152,-152,-0.5,24.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,10,3,152,-152,-0.5,24.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,11,0,152,-152,-0.5,23.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,12,8,7,-7,-0.5,23.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,13,1,7,-7,-0.5,22.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,14,1,152,-152,-0.5,22.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,15,8,7,-7,-0.5,21.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,16,1,7,-7,-0.5,21.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,17,0,7,-7,-0.5,20.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,18,1,7,-7,-0.5,20.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,19,0,7,-7,-0.5,19.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,20,1,7,-7,-0.5,19.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,21,0,7,-7,-0.5,18.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,22,1,7,-7,-0.5,18.1
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,23,0,7,-7,-0.5,17.6
DQN_straight_Kiss,DQN,StraightRays,Kiss,1,24,1,7,-7,-0.5,17.1
