agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_straight_Punish,DQN,StraightRays,Punish,1,1,8,297,-297,-0.45,-0.45
DQN_straight_Punish,DQN,StraightRays,Punish,1,2,1,297,-297,-0.45,-0.9
DQN_straight_Punish,DQN,StraightRays,Punish,1,3,8,151,-151,3.55,2.65
DQN_straight_Punish,DQN,StraightRays,Punish,1,4,9,151,-151,-0.45,2.1999999999999997
DQN_straight_Punish,DQN,StraightRays,Punish,1,5,9,7,-7,3.55,5.75
DQN_straight_Punish,DQN,StraightRays,Punish,1,6,7,7,-7,-0.45,5.3
DQN_straight_Punish,DQN,StraightRays,Punish,1,7,9,263,97,3.55,8.85
DQN_straight_Punish,DQN,StraightRays,Punish,1,8,9,166,194,3.55,12.399999999999999
DQN_straight_Punish,DQN,StraightRays,Punish,1,9,8,70,290,7.55,19.95
DQN_straight_Punish,DQN,StraightRays,Punish,1,10,9,166,194,-2.41,17.54
DQN_straight_Punish,DQN,StraightRays,Punish,1,11,3,166,194,-0.45,17.09
DQN_straight_Punish,DQN,StraightRays,Punish,1,12,8,70,290,3.55,20.64
DQN_straight_Punish,DQN,StraightRays,Punish,1,13,8,151,-151,-5.91,14.73
DQN_straight_Punish,DQN,StraightRays,Punish,1,14,9,297,-297,-2.91,11.82
DQN_straight_Punish,DQN,StraightRays,Punish,1,15,8,151,-151,-0.45,11.370000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,16,8,151,-151,-0.5,10.870000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,17,9,151,-151,-0.5,10.370000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,18,9,7,-7,-0.5,9.870000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,19,7,7,-7,-0.5,9.370000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,20,9,263,97,-0.5,8.870000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,21,9,166,194,-0.5,8.370000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,22,8,70,290,7.5,15.870000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,23,8,151,-151,-5.86,10.010000000000002
DQN_straight_Punish,DQN,StraightRays,Punish,1,24,9,297,-297,-2.96,7.050000000000002
DQN_straight_Punish,DQN,StraightRays,Punish,1,25,8,151,-151,-0.45,6.600000000000001
DQN_straight_Punish,DQN,StraightRays,Punish,1,26,9,151,-151,-0.5,6.100000000000001
