episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
1,-1487.6500000000005,62,1,1000,540,61,62,242.1387414932251
3,-1489.9500000000003,62,1,1000,174,55,62,710.0849735736847
4,-1489.6999999999998,62,1,1000,147,58,62,950.6092438697815
6,-1488.7,62,1,1000,336,58,62,1431.190042257309
10,-1494.5500000000002,-298,0,1000,0,49,62,2384.058890581131
11,-1488.6000000000008,62,1,1000,839,60,62,2638.374819993973
12,-1488.9500000000005,62,1,1000,509,53,62,2887.880129337311
13,-1487.7000000000003,62,1,1000,248,60,62,3155.0465478897095
14,-1490.8000000000002,62,1,1000,862,56,62,3443.289056777954
15,-1485.65,62,1,1000,255,65,62,3753.3591866493225
16,-1488.8000000000002,62,1,1000,289,60,62,4065.285703420639
17,-1478.1499999999999,62,1,1000,22,73,62,4373.337063789368
18,-1471.6499999999999,62,1,1000,140,73,62,4710.065744400024
19,-1454.999999999999,62,1,1000,42,84,62,5033.35601401329
20,-1411.5499999999997,62,1,1000,17,79,62,5409.663592100143
21,-1392.0499999999986,62,1,1000,12,83,62,5834.204892396927
22,-1370.4999999999995,62,1,1000,9,78,62,6253.043455839157
23,-1370.8999999999996,62,1,1000,7,74,62,6689.444347858429
24,-1357.9999999999995,62,1,1000,7,64,62,7140.101549625397
25,-1335.4000000000003,62,1,1000,5,64,62,7606.1927807331085
26,-1323.2499999999993,62,1,1000,5,55,62,8094.237579107285
27,-1319.8500000000001,62,1,1000,5,65,62,8583.935287237167
28,-1345.6999999999998,62,1,1000,5,56,62,9059.52636885643
29,-1346.0499999999995,62,1,1000,7,51,62,9541.163729906082
30,-1323.8499999999995,62,1,1000,5,51,62,10026.14366197586
31,-1405.400000000001,62,1,1000,5,52,62,10575.322936296463
32,-1333.7499999999993,62,1,1000,5,57,62,11061.306648731232
33,-1317.9999999999998,62,1,1000,5,46,62,11553.863338470459
34,-1306.2999999999993,62,1,1000,5,42,62,12053.714925765991
35,-1303.1499999999999,62,1,1000,5,37,62,12559.72012925148
36,-1316.1999999999998,62,1,1000,5,40,62,13054.14292550087
37,-1320.1499999999999,62,1,1000,5,45,62,13538.071063280106
38,-1375.0499999999993,62,1,1000,5,43,62,14055.04355764389
39,-1378.3499999999992,62,1,1000,5,51,62,14516.982148885727
40,-1379.4999999999995,62,1,1000,5,42,62,14991.939707279205
41,-1377.1499999999987,62,1,1000,5,47,62,15542.699898719788
42,-1443.0500000000006,62,1,1000,5,47,62,16129.643179416656
43,-1410.1500000000005,62,1,1000,5,57,62,16671.283148765564
44,-1424.0,62,1,1000,5,58,62,17214.20859360695
45,-1360.9499999999991,62,1,1000,5,65,62,17713.682497024536
46,-1341.9999999999993,62,1,1000,5,66,62,18201.446740865707
47,-1355.549999999999,62,1,1000,5,63,62,18691.958651065826
48,-1324.3499999999997,62,1,1000,5,57,62,19206.347721099854
49,-1321.3499999999992,62,1,1000,5,53,62,19728.775155067444
50,-1346.7999999999993,62,1,1000,5,52,62,20288.900790929794
51,-1301.8499999999995,62,1,1000,5,55,62,20823.118614673615
52,-1304.3499999999995,62,1,1000,5,53,62,21356.454068660736
53,-1299.749999999999,62,1,1000,5,47,62,21884.403395175934
54,-1429.6000000000001,62,1,1000,5,28,62,22505.88726043701
55,-1289.4999999999998,62,1,1000,5,48,62,23031.433186769485
56,-1285.2499999999993,62,1,1000,5,39,62,23556.364127874374
57,-1298.3499999999995,62,1,1000,5,49,62,24082.236388206482
58,-1292.9499999999996,62,1,1000,5,43,62,24611.82551574707
59,-1284.3999999999994,62,1,1000,5,42,62,25142.52765727043
60,-1298.7000000000003,62,1,1000,5,44,62,25666.332292556763
61,-1288.1499999999996,62,1,1000,5,49,62,26195.300929307938
62,-1284.8999999999994,62,1,1000,5,32,62,26727.361586093903
63,-1271.0499999999995,62,1,1000,5,29,62,27260.648656845093
64,-1282.1499999999994,62,1,1000,5,31,62,27795.61123561859
65,-1368.5000000000011,62,1,1000,5,30,62,28394.876128435135
66,-1278.4999999999995,62,1,1000,5,28,62,28931.652516126633
67,-1274.1999999999996,62,1,1000,5,22,62,29467.765047311783
68,-1280.2999999999995,62,1,1000,5,28,62,30001.40165925026
69,-1277.2499999999998,62,1,1000,7,31,62,30522.389161348343
70,-1280.5999999999995,62,1,1000,5,24,62,31051.927587270737
71,-1278.2499999999993,62,1,1000,5,21,62,31579.679788827896
72,-1279.0999999999995,62,1,1000,5,16,62,32106.157950639725
73,-1278.6499999999996,62,1,1000,5,25,62,32633.25863289833
74,-1281.3499999999997,62,1,1000,5,25,62,33156.995690107346
75,-1279.1999999999996,62,1,1000,6,34,62,33685.867212057114
76,-1287.649999999999,62,1,1000,6,41,62,34209.87807774544
77,-1279.1000000000001,62,1,1000,5,38,62,34739.270898103714
78,-1271.0499999999993,62,1,1000,6,31,62,35262.973209142685
80,-1270.7999999999995,62,1,1000,6,28,62,36437.82469344139
81,-1266.3999999999994,62,1,1000,6,26,62,36960.85791182518
83,-1267.7499999999995,62,1,1000,6,19,62,38141.86348319054
84,-1271.6999999999996,62,1,1000,6,30,62,38684.75433707237
85,-1270.0499999999993,62,1,1000,6,23,62,39235.56261634827
86,-1269.8499999999995,62,1,1000,6,27,62,39788.978389024734
87,-1273.1999999999994,62,1,1000,6,20,62,40335.99819922447
