episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
1,-139.60000000000002,62,1,100,11,40,62,42.296032667160034
3,-139.5,62,1,100,82,42,62,141.93317317962646
10,-145.0,-298,0,100,0,40,62,421.613468170166
20,-145.3,-298,0,100,0,34,62,884.8607800006866
30,-145.3,-298,0,100,0,34,62,1348.4398181438446
40,-141.70000000000002,62,1,100,18,38,62,1796.3730750083923
50,-145.05,-298,0,100,0,39,62,2320.0898218154907
60,-144.95,-298,0,100,0,41,62,2843.498746395111
62,-139.89999999999998,62,1,100,51,34,62,2954.0220289230347
70,-145.55,-298,0,100,0,29,62,3385.6254136562347
72,-139.45000000000005,62,1,100,63,43,62,3490.338854789734
80,-145.75,-298,0,100,0,25,62,3872.606239795685
90,-146.10000000000002,-298,0,100,0,18,62,4264.441871881485
100,-145.3,-298,0,100,0,34,62,4671.706836223602
110,-145.65000000000003,-298,0,100,0,27,62,5108.117945432663
120,-145.65,-298,0,100,0,27,62,5542.161376953125
130,-145.50000000000006,-298,0,100,0,30,62,5976.807022333145
140,-145.45000000000002,-298,0,100,0,31,62,6531.373424053192
150,-145.70000000000005,-298,0,100,0,26,62,7213.991286993027
155,-140.85000000000005,62,1,100,28,35,62,7563.261258602142
160,-145.35000000000002,-298,0,100,0,33,62,7883.943969964981
165,-142.3,62,1,100,67,26,62,8244.160061120987
170,-145.35000000000002,-298,0,100,0,33,62,8566.391080141068
171,-140.95000000000005,62,1,100,57,33,62,8617.203393697739
180,-145.60000000000002,-298,0,100,0,28,62,9148.511799097061
190,-145.25,-298,0,100,0,35,62,9765.603091716766
