episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
5,-141.65000000000003,62,1,100,53,39,62,138.00066113471985
6,-141.65000000000003,62,1,100,31,39,62,170.71436095237732
10,-145.14999999999998,-298,0,100,0,37,62,293.9520568847656
20,-145.05,-298,0,100,0,39,62,607.8414454460144
30,-145.10000000000002,-298,0,100,0,38,62,964.8273944854736
40,-145.45000000000005,-298,0,100,0,31,62,1394.247763633728
50,-145.00000000000006,-298,0,100,0,40,62,1849.3703398704529
60,-145.65000000000003,-298,0,100,0,27,62,2280.586729288101
70,-145.3,-298,0,100,0,34,62,2735.0750613212585
80,-145.3,-298,0,100,0,34,62,3152.6795954704285
90,-145.60000000000002,-298,0,100,0,28,62,3465.3629863262177
96,-141.95000000000002,62,1,100,51,33,62,3630.490674972534
100,-145.50000000000006,-298,0,100,0,30,62,3760.6324520111084
110,-146.10000000000002,-298,0,100,0,18,62,3990.6525835990906
120,-145.70000000000005,-298,0,100,0,26,62,4219.251461029053
130,-145.6,-298,0,100,0,28,62,4533.122124195099
140,-145.85000000000002,-298,0,100,0,23,62,4992.0481650829315
150,-145.35000000000002,-298,0,100,0,33,62,5417.618135213852
160,-145.35000000000002,-298,0,100,0,33,62,5909.455435752869
170,-145.84999999999997,-298,0,100,0,23,62,6361.185425281525
180,-145.29999999999995,-298,0,100,0,34,62,6776.4459137916565
186,-139.80000000000007,62,1,100,36,36,62,7108.709055423737
187,-142.10000000000002,62,1,100,75,30,62,7170.67982506752
190,-145.8,-298,0,100,0,24,62,7333.522345542908
200,-145.55,-298,0,100,0,29,62,7907.643029212952
210,-145.75,-298,0,100,0,25,62,8531.446004390717
220,-145.9,-298,0,100,0,22,62,9113.186516284943
224,-141.00000000000006,62,1,100,75,32,62,9333.45905637741
230,-145.54999999999995,-298,0,100,0,29,62,9661.814336776733
240,-145.8,-298,0,100,0,24,62,10117.448937177658
244,-140.20000000000002,62,1,100,85,28,62,10296.555305242538
250,-145.60000000000002,-298,0,100,0,28,62,10574.315702676773
260,-145.45000000000002,-298,0,100,0,31,62,11011.899407863617
267,-140.95000000000002,62,1,100,45,33,62,11306.001292467117
270,-145.90000000000003,-298,0,100,0,22,62,11452.688627243042
273,-140.35000000000002,62,1,100,45,25,62,11606.963865280151
274,-141.0,62,1,100,33,32,62,11655.308678150177
275,-140.3,62,1,100,13,26,62,11712.098455429077
278,-142.35,62,1,100,64,25,62,11903.963081598282
280,-145.90000000000003,-298,0,100,0,22,62,12047.08792924881
285,-136.35000000000002,62,1,100,48,37,62,12349.912714719772
290,-139.95000000000005,62,1,100,27,33,62,12681.30052781105
295,-140.00000000000006,62,1,100,39,32,62,12976.584931135178
296,-138.75,62,1,100,97,25,62,13044.475123405457
300,-118.30000000000004,62,1,100,99,34,62,13283.447659492493
302,-121.5,62,1,100,54,30,62,13391.755736112595
304,-126.80000000000004,62,1,100,87,32,62,13511.597996473312
