episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-145.05000000000004,-298,0,100,0,39,0,289.5893757343292
16,-140.55000000000004,62,1,100,35,41,62,477.15993881225586
20,-139.95000000000005,62,1,100,75,33,62,600.9490320682526
30,-141.45000000000005,62,1,100,26,43,62,1055.6354415416718
40,-145.20000000000005,-298,0,100,0,36,62,1495.0194733142853
50,-145.05000000000004,-298,0,100,0,39,62,1932.4292318820953
51,-139.45000000000005,62,1,100,69,43,62,1976.4412825107574
60,-145.55,-298,0,100,0,29,62,2355.1517853736877
70,-145.25,-298,0,100,0,35,62,2798.4830706119537
80,-145.35000000000002,-298,0,100,0,33,62,3252.670764684677
90,-144.90000000000003,-298,0,100,0,42,62,3686.1086435317993
100,-145.25,-298,0,100,0,35,62,4164.1182379722595
110,-146.7,-298,0,100,0,6,62,5241.841512680054
120,-146.35000000000002,-298,0,100,0,13,62,5835.580585479736
125,-139.15,62,1,100,41,21,62,6231.523251056671
130,-145.8,-298,0,100,0,24,62,6576.259121179581
134,-116.24999999999999,62,1,100,77,15,62,6878.573240041733
135,-132.70000000000002,62,1,100,59,22,62,6976.923871994019
136,-137.25,62,1,100,86,19,62,7067.638164758682
137,-128.25,62,1,100,95,23,62,7159.530330181122
138,-115.15000000000002,62,1,100,77,21,62,7247.510035276413
139,-114.35000000000001,62,1,100,97,25,62,7344.273937702179
140,-124.75000000000003,62,1,100,60,33,62,7430.672748327255
141,-140.3,62,1,100,31,26,62,7507.146424531937
142,-116.8,62,1,100,97,16,62,7614.8968279361725
143,-114.25000000000001,62,1,100,60,27,62,7712.709839582443
144,-131.15,62,1,100,95,13,62,7824.741404533386
145,-92.25000000000001,62,1,100,93,27,62,7920.798980474472
146,-136.10000000000002,62,1,100,17,22,62,8026.15235376358
147,-114.25,62,1,100,100,19,62,8120.962799310684
148,-88.3,62,1,100,98,14,62,8215.137916326523
149,-102.25000000000001,62,1,100,82,19,62,8313.477385044098
150,-97.3,62,1,100,91,22,62,8414.667690992355
151,-116.50000000000003,62,1,100,100,30,62,8512.017125368118
152,-103.05,62,1,100,99,23,62,8600.6667137146
153,-104.15000000000002,62,1,100,100,21,62,8703.989861011505
154,-98.20000000000002,62,1,100,88,24,62,8804.709803581238
155,-96.75,62,1,100,98,21,62,8907.37285065651
156,-94.84999999999998,62,1,100,97,23,62,9002.944645404816
157,-94.3,62,1,100,96,14,62,9098.078394889832
158,-93.99999999999999,62,1,100,91,20,62,9195.00713300705
159,-92.6,62,1,100,99,16,62,9296.424021482468
160,-113.74999999999999,62,1,100,92,17,62,9380.560192346573
161,-117.15000000000002,62,1,100,89,25,62,9484.562493562698
162,-102.45000000000003,62,1,100,93,27,62,9579.656534194946
163,-117.50000000000003,62,1,100,48,18,62,9651.53564119339
164,-93.69999999999999,62,1,100,100,14,62,9755.038037061691
165,-102.30000000000001,62,1,100,87,22,62,9850.922905921936
166,-126.4,62,1,100,43,20,62,9954.566739559174
167,-96.0,62,1,100,90,16,62,10050.090060949326
168,-119.30000000000001,62,1,100,52,14,62,10156.396569490433
169,-105.05000000000001,62,1,100,99,23,62,10254.240862846375
170,-104.15000000000002,62,1,100,100,21,62,10350.67833662033
171,-125.85,62,1,100,100,19,62,10452.80748462677
172,-133.60000000000002,62,1,100,47,20,62,10560.939601898193
173,-116.25000000000003,62,1,100,95,27,62,10666.494103908539
174,-103.6,62,1,100,94,24,62,10765.146676301956
175,-92.45,62,1,100,95,19,62,10868.01132273674
176,-101.45,62,1,100,95,19,62,10966.251767873764
177,-103.05000000000001,62,1,100,98,23,62,11054.443656206131
178,-102.3,62,1,100,98,18,62,11154.642000198364
179,-109.05,62,1,100,94,23,62,11255.044380426407
180,-103.89999999999999,62,1,100,92,18,62,11354.311753988266
181,-122.60000000000001,62,1,100,77,24,62,11453.651094436646
182,-107.89999999999999,62,1,100,98,14,62,11559.082948684692
183,-102.19999999999999,62,1,100,98,20,62,11675.690823078156
184,-92.5,62,1,100,99,18,62,11787.348110437393
185,-124.35,62,1,100,91,21,62,11872.088617563248
186,-118.25000000000001,62,1,100,49,23,62,11957.77573299408
187,-128.3,62,1,100,87,18,62,12026.250656366348
188,-101.35,62,1,100,93,17,62,12135.7280356884
189,-109.65,62,1,100,100,19,62,12244.982602834702
190,-108.0,62,1,100,91,24,62,12358.437825202942
191,-102.6,62,1,100,93,24,62,12463.139461755753
192,-105.25,62,1,100,100,19,62,12564.328531980515
193,-102.80000000000003,62,1,100,99,28,62,12664.895609855652
194,-118.80000000000001,62,1,100,56,24,62,12772.314979076385
195,-127.3,62,1,100,96,22,62,12880.168983221054
196,-104.94999999999999,62,1,100,96,17,62,12982.042886734009
197,-108.14999999999999,62,1,100,78,21,62,13079.99877166748
198,-135.10000000000002,62,1,100,41,22,62,13192.072393894196
199,-135.05,62,1,100,85,23,62,13304.387628555298
200,-112.2,62,1,100,67,16,62,13389.065746068954
201,-122.60000000000001,62,1,100,62,24,62,13464.82349228859
202,-105.69999999999999,62,1,100,88,22,62,13569.52059674263
204,-140.6,62,1,100,83,20,62,13769.616171598434
205,-134.85000000000002,62,1,100,91,27,62,13854.038835287094
206,-120.9,62,1,100,59,22,62,13955.241581916809
208,-138.45000000000005,62,1,100,76,31,62,14148.443006038666
209,-140.4,62,1,100,62,24,62,14254.419855833054
210,-113.9,62,1,100,55,22,62,14358.962919950485
211,-138.90000000000003,62,1,100,13,22,62,14468.542726039886
212,-140.60000000000002,62,1,100,40,20,62,14569.876897096634
213,-140.45000000000002,62,1,100,39,23,62,14671.271142482758
216,-121.80000000000001,62,1,100,97,24,62,14967.843601226807
219,-140.64999999999998,62,1,100,99,27,62,15269.103214740753
220,-146.2,-298,0,100,0,16,62,15371.032421827316
221,-136.70000000000005,62,1,100,76,30,62,15439.149743318558
222,-136.90000000000003,62,1,100,87,26,62,15513.763055086136
223,-133.55,62,1,100,42,21,62,15622.608219385147
224,-139.3,62,1,100,10,14,62,15732.730410814285
225,-132.10000000000002,62,1,100,38,22,62,15835.568371295929
226,-133.75,62,1,100,28,17,62,15942.903337955475
227,-133.60000000000002,62,1,100,21,20,62,16047.450385332108
228,-129.8,62,1,100,65,20,62,16152.307000398636
229,-128.3,62,1,100,82,18,62,16258.225750684738
230,-138.10000000000002,62,1,100,88,22,62,16369.56497502327
231,-133.7,62,1,100,90,18,62,16479.428052663803
232,-139.2,62,1,100,13,16,62,16573.203209638596
233,-122.75000000000001,62,1,100,87,21,62,16667.10501766205
234,-133.64999999999998,62,1,100,86,19,62,16762.795976400375
235,-133.45000000000005,62,1,100,67,23,62,16862.05018377304
236,-142.60000000000002,62,1,100,8,20,62,16952.32080101967
237,-133.15000000000003,62,1,100,81,29,62,17048.665276050568
238,-135.85,62,1,100,77,27,62,17148.39603495598
239,-128.10000000000002,62,1,100,73,22,62,17244.935652017593
240,-139.05,62,1,100,10,19,62,17342.381721019745
241,-133.45,62,1,100,25,23,62,17438.171795606613
242,-127.80000000000001,62,1,100,90,28,62,17532.414739370346
243,-133.3,62,1,100,89,26,62,17630.107228279114
244,-130.7,62,1,100,71,22,62,17729.696797847748
245,-127.95,62,1,100,76,25,62,17825.336492300034
246,-133.5,62,1,100,21,22,62,17923.267681598663
247,-131.8,422,2,100,56,28,422,18016.192964553833
250,-121.50000000000001,62,1,100,94,30,422,18303.520813703537
256,-132.95,422,2,100,28,33,422,18903.346299171448
260,-133.40000000000003,62,1,100,87,24,422,19281.387479782104
270,-133.25000000000003,62,1,100,54,27,422,20254.36651992798
280,-122.20000000000003,62,1,100,69,32,422,21237.409971237183
290,-138.9,62,1,100,8,22,422,22148.026905059814
300,-138.8,62,1,100,8,24,422,22953.079223632812
310,-130.9,62,1,100,98,26,422,23760.52003121376
315,-115.35000000000004,422,2,100,88,37,422,24124.751125335693
320,-113.20000000000002,62,1,100,95,36,422,24502.994400024414
330,-133.15,62,1,100,74,29,422,25263.44487094879
340,-111.94999999999996,62,1,100,99,13,422,25993.382239341736
350,-140.45,62,1,100,8,23,422,26618.666988134384
360,-126.05000000000003,62,1,100,92,27,422,27313.206135988235
370,-127.35000000000001,62,1,100,69,29,422,28007.9443295002
380,-111.19999999999999,62,1,100,100,28,422,28712.43623304367
390,-117.95,62,1,100,90,33,422,29376.59387731552
400,-133.00000000000006,62,1,100,65,36,422,29995.114416837692
410,-134.99999999999994,62,1,100,18,32,422,30675.10006761551
414,-133.50000000000003,422,2,100,51,34,422,30976.082297563553
420,-120.40000000000005,62,1,100,86,40,422,31407.834985494614
430,-109.15000000000002,62,1,100,83,33,422,32111.92984867096
440,-115.35000000000002,62,1,100,71,33,422,32779.9953391552
450,-105.10000000000002,62,1,100,91,34,422,33450.06950187683
460,-101.04999999999998,62,1,100,93,27,422,34175.383644104004
470,-118.40000000000003,62,1,100,96,40,422,34904.26453566551
480,-109.05,62,1,100,92,35,422,35672.69032716751
