episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-145.10000000000005,-298,0,100,0,38,0,230.225013256073
19,-140.09999999999997,62,1,100,99,38,62,431.06298303604126
20,-145.35000000000002,-298,0,100,0,33,62,457.9932496547699
27,-141.85000000000002,62,1,100,56,35,62,628.2864582538605
29,-141.60000000000002,62,1,100,62,40,62,699.0713229179382
30,-145.35000000000002,-298,0,100,0,33,62,725.565399646759
32,-140.85000000000002,62,1,100,33,35,62,785.0715401172638
40,-145.35000000000005,-298,0,100,0,33,62,1040.567298412323
50,-145.20000000000005,-298,0,100,0,36,62,1404.0939552783966
58,-140.5,62,1,100,30,42,62,1821.4454596042633
60,-141.85000000000002,62,1,100,22,35,62,1921.759775876999
70,-145.15000000000003,-298,0,100,0,37,62,2456.594351053238
73,-141.95000000000005,62,1,100,86,33,62,2676.1904397010803
80,-145.35000000000002,-298,0,100,0,33,62,3127.2113161087036
90,-145.39999999999998,-298,0,100,0,32,62,3789.013730287552
100,-145.15000000000003,-298,0,100,0,37,62,4339.774950742722
110,-145.04999999999998,-298,0,100,0,39,62,4930.479685306549
111,-139.00000000000006,62,1,100,82,52,62,4995.016789197922
112,-141.24999999999997,62,1,100,100,35,62,5054.436233997345
113,-139.65000000000006,62,1,100,31,39,62,5119.7731556892395
120,-145.15000000000003,-298,0,100,0,37,62,5543.844374656677
121,-140.60000000000002,62,1,100,75,40,62,5618.155432939529
126,-140.65000000000003,62,1,100,68,39,62,5930.0111837387085
128,-139.55000000000007,62,1,100,75,41,62,6066.2933831214905
130,-145.3,-298,0,100,0,34,62,6218.565980911255
138,-139.55,62,1,100,48,41,62,6736.319445610046
140,-145.20000000000005,-298,0,100,0,36,62,6890.660674095154
143,-131.60000000000008,62,1,100,85,44,62,7122.697103977203
149,-142.25000000000003,62,1,100,47,27,62,7635.857214927673
150,-136.05000000000004,62,1,100,77,43,62,7725.281653642654
160,-146.35000000000002,-298,0,100,0,13,62,8778.041852712631
161,-140.8,62,1,100,41,16,62,8887.60868191719
170,-146.05,-298,0,100,0,19,62,9836.372780799866
180,-146.05000000000004,-298,0,100,0,19,62,10865.343289613724
189,-140.60000000000002,62,1,100,60,20,62,11844.475389003754
190,-146.35000000000002,-298,0,100,0,13,62,11950.435411453247
200,-146.65,-298,0,100,0,7,62,13149.197751760483
204,-140.8,62,1,100,45,16,62,13586.412031173706
206,-140.45000000000002,62,1,100,87,23,62,13796.783951997757
210,-146.55,-298,0,100,0,9,62,14244.065012693405
220,-146.5,-298,0,100,0,10,62,15374.720811367035
230,-146.55,-298,0,100,0,9,62,16524.607262849808
235,-140.9,62,1,100,5,14,62,17097.091426849365
240,-146.8,-298,0,100,0,4,62,17677.239566087723
250,-146.8,-298,0,100,0,4,62,18834.695617437363
260,-146.8,-298,0,100,0,4,62,19989.086966991425
270,-146.8,-298,0,100,0,4,62,21145.25887489319
280,-146.7,-298,0,100,0,6,62,22280.20210838318
290,-146.75,-298,0,100,0,5,62,23318.587632656097
300,-146.8,-298,0,100,0,4,62,24319.589306116104
310,-146.65,-298,0,100,0,7,62,25317.540373325348
320,-146.7,-298,0,100,0,6,62,26323.641181468964
330,-146.8,-298,0,100,0,4,62,27327.308112859726
340,-146.7,-298,0,100,0,6,62,28318.619574546814
350,-146.65,-298,0,100,0,7,62,29291.44277858734
360,-146.64999999999998,-298,0,100,0,7,62,30250.108197450638
370,-146.75,-298,0,100,0,5,62,31218.50646877289
380,-146.54999999999998,-298,0,100,0,9,62,32180.69272828102
390,-146.7,-298,0,100,0,6,62,33135.53215432167
