episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-145.20000000000005,-298,0,100,0,36,0,278.89903593063354
16,-140.70000000000005,62,1,100,38,18,62,578.0769701004028
20,-145.79999999999995,-298,0,100,0,24,62,777.1830894947052
25,-142.60000000000002,62,1,100,24,20,62,1046.6040842533112
26,-142.5,62,1,100,91,22,62,1105.3015401363373
29,-140.70000000000005,62,1,100,27,18,62,1220.194990158081
30,-146.3,-298,0,100,0,14,62,1247.3191742897034
33,-129.45000000000002,62,1,100,99,35,62,1500.0873515605927
34,-136.95000000000002,62,1,100,28,25,62,1604.3390469551086
40,-140.50000000000003,62,1,100,33,22,62,2076.344705581665
42,-134.90000000000003,62,1,100,32,26,62,2235.517217874527
45,-117.00000000000004,62,1,100,99,36,62,2363.730507850647
46,-117.40000000000006,62,1,100,78,44,62,2425.647565603256
47,-135.10000000000002,62,1,100,99,30,62,2474.5615191459656
48,-121.75000000000006,62,1,100,99,33,62,2531.31578373909
49,-116.60000000000001,62,1,100,87,20,62,2588.338122367859
50,-106.75000000000003,62,1,100,90,33,62,2660.8088359832764
51,-116.15000000000003,62,1,100,84,41,62,2726.3150956630707
52,-108.05000000000001,62,1,100,97,31,62,2818.607595205307
53,-88.24999999999999,62,1,100,88,23,62,2899.948874235153
54,-129.3,62,1,100,55,30,62,2987.1197743415833
55,-118.89999999999998,62,1,100,93,22,62,3081.02188372612
56,-108.95,62,1,100,85,25,62,3172.634865760803
57,-110.09999999999998,62,1,100,91,22,62,3266.7948219776154
58,-120.85000000000001,62,1,100,92,23,62,3352.998035430908
59,-129.50000000000003,62,1,100,61,26,62,3442.073017835617
60,-113.35000000000001,62,1,100,84,25,62,3536.9784891605377
61,-124.10000000000001,62,1,100,73,26,62,3624.0409400463104
62,-111.65,62,1,100,93,27,62,3719.067373275757
63,-104.8,62,1,100,96,20,62,3805.2301070690155
64,-98.55,62,1,100,95,17,62,3907.526191711426
65,-122.45000000000002,62,1,100,79,27,62,3984.2368812561035
66,-99.3,62,1,100,92,22,62,4085.5410721302032
67,-99.35,62,1,100,92,21,62,4183.31002831459
69,-95.65000000000002,62,1,100,90,23,62,4291.813991785049
70,-98.60000000000001,62,1,100,100,24,62,4391.8094618320465
71,-124.25,62,1,100,55,23,62,4484.738868713379
72,-103.54999999999998,62,1,100,95,25,62,4583.962517738342
73,-113.54999999999998,62,1,100,92,21,62,4669.736979007721
74,-111.20000000000002,62,1,100,97,20,62,4769.014490842819
75,-109.10000000000002,62,1,100,74,22,62,4863.7882380485535
76,-97.35000000000001,62,1,100,93,21,62,4959.564342737198
77,-107.85000000000002,62,1,100,86,27,62,5051.897507190704
78,-107.65000000000002,62,1,100,91,31,62,5146.11936879158
79,-99.30000000000003,62,1,100,99,30,62,5238.901309728622
80,-118.90000000000002,62,1,100,51,22,62,5299.865947961807
81,-125.55,422,2,100,46,33,422,5392.874093055725
90,-97.55,62,1,100,91,17,422,6316.706103086472
100,-109.30000000000001,62,1,100,99,26,422,7256.780023097992
110,-123.45000000000002,62,1,100,91,27,422,8158.368708372116
112,-128.05000000000007,422,2,100,63,35,422,8345.768941402435
114,-118.95000000000005,422,2,100,70,41,422,8519.077782154083
116,-131.75000000000006,422,2,100,39,37,422,8698.37396478653
