episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
3,-140.80000000000004,62,1,100,65,36,62,136.48521780967712
10,-145.05,-298,0,100,0,39,62,468.94163632392883
12,-140.55000000000004,62,1,100,24,41,62,595.132997751236
20,-145.25000000000003,-298,0,100,0,35,62,1061.2301440238953
23,-140.60000000000005,62,1,100,42,40,62,1228.5932688713074
30,-145.05000000000004,-298,0,100,0,39,62,1662.5760881900787
33,-141.55,62,1,100,26,43,62,1833.3624093532562
40,-145.05,-298,0,100,0,39,62,2216.4690079689026
50,-144.70000000000005,-298,0,100,0,46,62,2832.4290599823
51,-139.65000000000003,62,1,100,80,39,62,2898.8216552734375
60,-145.10000000000002,-298,0,100,0,38,62,3476.3862929344177
64,-141.65000000000003,62,1,100,45,39,62,3711.7195777893066
66,-141.65000000000003,62,1,100,86,39,62,3828.9784717559814
70,-145.5,-298,0,100,0,30,62,4044.8804211616516
72,-140.70000000000005,62,1,100,83,38,62,4176.882421016693
80,-145.45000000000005,-298,0,100,0,31,62,4671.089027166367
90,-144.95000000000005,-298,0,100,0,41,62,5251.9777619838715
92,-140.65000000000003,62,1,100,71,39,62,5386.511396884918
100,-145.20000000000005,-298,0,100,0,36,62,5829.98046374321
110,-146.6,-298,0,100,0,8,62,6149.2568147182465
120,-145.90000000000003,-298,0,100,0,22,62,6808.946907520294
123,-138.85,62,1,100,73,29,62,6958.143404722214
130,-146.05,-298,0,100,0,19,62,7565.90945982933
131,-139.79999999999998,62,1,100,98,24,62,7666.787528514862
136,-142.7,62,1,100,6,20,62,8076.617343425751
140,-146.25,-298,0,100,0,15,62,8393.769673109055
145,-140.8,62,1,100,53,16,62,8944.815445423126
150,-146.34999999999997,-298,0,100,0,13,62,9459.155555486679
160,-142.75,62,1,100,21,17,62,10166.686914920807
165,-141.25000000000003,62,1,100,13,27,62,10516.869076490402
167,-142.64999999999998,62,1,100,88,19,62,10685.44318318367
168,-141.85,62,1,100,16,23,62,10742.19621181488
169,-138.0,62,1,100,17,22,62,10804.079015731812
170,-140.20000000000005,62,1,100,29,28,62,10859.021826982498
173,-139.75000000000006,62,1,100,38,37,62,11069.849494218826
175,-141.84999999999997,62,1,100,89,15,62,11180.710826396942
176,-140.00000000000003,62,1,100,6,24,62,11248.63907122612
177,-142.79999999999998,62,1,100,88,16,62,11287.457595825195
178,-139.65000000000003,62,1,100,42,23,62,11347.931766271591
179,-141.60000000000002,62,1,100,16,20,62,11387.07909488678
180,-138.30000000000004,62,1,100,28,28,62,11472.663305044174
181,-138.8499999999999,62,1,100,96,23,62,11524.31866979599
182,-141.39999999999998,62,1,100,10,22,62,11611.224051237106
183,-139.4,62,1,100,30,28,62,11692.634702444077
184,-141.45,62,1,100,25,23,62,11727.58920431137
185,-137.60000000000005,62,1,100,26,36,62,11802.854481458664
186,-146.7,62,1,100,16,20,62,11907.850103855133
187,-138.45000000000002,62,1,100,6,37,62,11983.364214897156
188,-141.60000000000002,62,1,100,65,20,62,12038.850978851318
189,-144.59999999999997,62,1,100,6,20,62,12129.840341091156
190,-140.70000000000002,62,1,100,6,32,62,12232.791743516922
191,-140.35000000000002,62,1,100,6,27,62,12308.044529438019
192,-143.04999999999995,62,1,100,60,19,62,12427.050512552261
193,-141.20000000000002,62,1,100,6,24,62,12531.306280374527
194,-141.3,62,1,100,12,26,62,12596.20816230774
195,-141.8,62,1,100,51,26,62,12670.370311498642
197,-137.3,62,1,100,12,32,62,12809.885841608047
198,-140.40000000000003,62,1,100,37,24,62,12854.095100402832
200,-139.85000000000002,62,1,100,9,37,62,13003.678441047668
201,-143.50000000000003,62,1,100,51,26,62,13117.389982700348
202,-132.25000000000003,62,1,100,27,27,62,13212.031306028366
203,-131.7,62,1,100,6,32,62,13306.26864361763
204,-141.40000000000003,62,1,100,8,26,62,13389.215656280518
205,-138.29999999999998,62,1,100,6,34,62,13495.45560002327
206,-136.90000000000003,62,1,100,28,22,62,13574.502245426178
209,-139.70000000000005,62,1,100,10,22,62,13870.571012020111
210,-140.40000000000003,62,1,100,6,28,62,13958.899636983871
211,-141.00000000000003,62,1,100,38,14,62,14042.320064544678
212,-138.04999999999995,62,1,100,58,21,62,14130.658734083176
213,-132.05,62,1,100,5,21,62,14198.649914503098
214,-138.00000000000006,62,1,100,28,24,62,14273.103320121765
215,-135.65000000000003,62,1,100,16,29,62,14343.212774038315
216,-131.85,62,1,100,5,25,62,14440.933416843414
217,-141.35,62,1,100,53,29,62,14533.619005680084
218,-138.39999999999998,62,1,100,64,30,62,14644.927862167358
219,-133.1,62,1,100,6,18,62,14714.540883779526
220,-146.85,-298,0,100,0,3,62,14835.157288312912
221,-138.0,62,1,100,6,24,62,14947.219017505646
223,-137.6,62,1,100,5,30,62,15144.511898756027
224,-139.64999999999998,62,1,100,22,37,62,15249.604744672775
226,-137.05,62,1,100,26,25,62,15463.42794752121
227,-140.25,62,1,100,11,21,62,15544.634132146835
228,-136.75,62,1,100,6,29,62,15606.343875646591
229,-140.5,62,1,100,6,24,62,15690.74750328064
230,-137.90000000000003,62,1,100,54,30,62,15790.00907421112
231,-136.89999999999995,62,1,100,18,26,62,15874.003643274307
232,-119.25,62,1,100,5,17,62,15992.18159031868
233,-132.7,62,1,100,5,16,62,16088.179399728775
234,-136.65000000000003,62,1,100,5,29,62,16173.873214483261
235,-126.80000000000004,62,1,100,5,30,62,16288.078194379807
236,-136.85000000000002,62,1,100,62,21,62,16395.546192646027
237,-129.0,62,1,100,19,30,62,16493.6211540699
238,-134.30000000000007,62,1,100,5,32,62,16563.18903875351
239,-131.1,62,1,100,5,26,62,16650.56646323204
240,-126.05,62,1,100,5,23,62,16756.733642339706
241,-137.29999999999998,62,1,100,5,22,62,16888.14605331421
242,-160.49999999999991,62,1,100,33,20,62,16987.76440191269
243,-131.15000000000003,62,1,100,18,27,62,17088.857729434967
244,-135.05,62,1,100,5,25,62,17192.273731708527
245,-133.49999999999997,62,1,100,5,30,62,17283.09602212906
246,-139.85000000000002,62,1,100,5,29,62,17382.595299959183
247,-137.05,62,1,100,72,21,62,17487.051154851913
248,-126.54999999999997,62,1,100,13,17,62,17598.463028669357
249,-136.70000000000005,62,1,100,8,22,62,17693.626451730728
250,-138.84999999999997,62,1,100,5,27,62,17780.46287059784
252,-132.7,62,1,100,5,28,62,17977.46874666214
253,-133.25,62,1,100,5,21,62,18058.454526662827
254,-133.4,62,1,100,9,34,62,18156.115586280823
255,-136.25000000000003,62,1,100,9,31,62,18267.61686182022
256,-139.00000000000003,62,1,100,76,20,62,18367.95800471306
257,-140.65000000000003,62,1,100,14,21,62,18475.925408124924
258,-138.3,62,1,100,24,16,62,18549.844286203384
259,-137.05,62,1,100,75,21,62,18658.828368663788
260,-140.70000000000002,62,1,100,28,18,62,18746.906272411346
261,-136.3,62,1,100,35,30,62,18843.90113425255
262,-131.40000000000003,62,1,100,23,30,62,18950.870974302292
263,-138.1,62,1,100,17,32,62,19030.266297101974
264,-136.55000000000004,62,1,100,68,31,62,19129.416651248932
265,-132.45000000000005,62,1,100,9,33,62,19212.37186741829
266,-134.25,62,1,100,9,33,62,19304.29016685486
267,-134.90000000000003,62,1,100,8,26,62,19398.710686206818
268,-132.45000000000005,62,1,100,14,31,62,19487.090050458908
270,-146.3,-298,0,100,0,14,62,19708.473872184753
271,-138.0,62,1,100,10,30,62,19826.327280282974
272,-138.89999999999998,62,1,100,14,22,62,19896.512626886368
273,-133.95000000000002,62,1,100,23,27,62,19978.94150519371
274,-133.85000000000002,62,1,100,9,29,62,20065.106652259827
275,-136.10000000000002,62,1,100,14,24,62,20144.76955461502
276,-139.3,62,1,100,14,24,62,20239.484321832657
277,-136.85000000000002,62,1,100,14,25,62,20329.641422986984
278,-136.55,62,1,100,9,25,62,20409.91712975502
279,-142.59999999999997,62,1,100,21,22,62,20488.698221206665
280,-155.74999999999994,62,1,100,16,29,62,20593.764568567276
281,-136.85000000000002,62,1,100,23,25,62,20686.16711950302
282,-140.7,62,1,100,7,20,62,20804.856015205383
283,-158.79999999999993,62,1,100,24,18,62,20904.080426692963
284,-134.85000000000002,62,1,100,14,27,62,20982.27050304413
285,-142.75,62,1,100,5,17,62,21080.83763384819
288,-136.99999999999997,62,1,100,23,22,62,21412.10840201378
289,-140.35000000000002,62,1,100,14,25,62,21514.823459148407
290,-146.55,-298,0,100,0,9,62,21635.190437555313
291,-138.15000000000003,62,1,100,14,31,62,21724.47812461853
292,-139.89999999999998,62,1,100,98,22,62,21818.604125261307
293,-140.75,62,1,100,45,17,62,21928.10769844055
294,-136.60000000000002,62,1,100,22,26,62,22024.693581819534
295,-128.8,62,1,100,8,18,62,22140.312858343124
296,-132.8,62,1,100,10,24,62,22255.040349960327
297,-140.99999999999997,62,1,100,81,22,62,22328.63363957405
298,-130.3,62,1,100,8,26,62,22444.656713724136
299,-138.25000000000006,62,1,100,12,29,62,22539.531670570374
300,-140.95000000000002,62,1,100,15,13,62,22608.778876066208
301,-143.30000000000004,62,1,100,51,28,62,22696.71514725685
302,-134.0,62,1,100,19,26,62,22814.19885492325
303,-127.74999999999997,62,1,100,9,21,62,22928.83872437477
304,-131.05,62,1,100,7,23,62,23044.12581896782
305,-139.94999999999993,62,1,100,13,27,62,23142.914834737778
306,-132.85000000000002,62,1,100,45,23,62,23235.759930610657
307,-130.54999999999998,62,1,100,7,23,62,23342.26293706894
308,-135.05000000000007,62,1,100,54,27,62,23417.156069993973
309,-131.5,62,1,100,8,20,62,23537.23921728134
310,-132.85000000000002,62,1,100,23,23,62,23634.750306129456
312,-141.30000000000007,62,1,100,58,30,62,23765.705415725708
313,-140.45,62,1,100,71,23,62,23851.951899766922
315,-138.60000000000005,62,1,100,32,22,62,23990.52856516838
316,-140.5,62,1,100,46,22,62,24091.484082460403
318,-140.75,62,1,100,59,17,62,24215.14781975746
320,-140.60000000000002,62,1,100,24,22,62,24363.61970281601
321,-137.75,62,1,100,16,29,62,24429.65943622589
322,-138.3,62,1,100,16,30,62,24506.31619167328
323,-138.99999999999994,62,1,100,94,20,62,24570.416934728622
324,-136.79999999999998,62,1,100,12,26,62,24671.707270383835
325,-137.05,62,1,100,9,23,62,24788.464161396027
326,-136.40000000000003,62,1,100,8,34,62,24905.54450082779
328,-136.79999999999998,62,1,100,25,26,62,25037.523574590683
329,-138.40000000000003,62,1,100,39,32,62,25113.53782057762
330,-128.8,62,1,100,6,20,62,25211.32010626793
331,-136.70000000000002,62,1,100,6,30,62,25316.717037439346
332,-132.75,62,1,100,8,33,62,25430.79115128517
333,-135.10000000000002,62,1,100,10,22,62,25568.437591075897
334,-137.25,62,1,100,6,19,62,25692.31423139572
335,-139.04999999999998,62,1,100,16,19,62,25816.704899311066
336,-135.8,62,1,100,8,28,62,25917.213882923126
337,-138.35000000000002,62,1,100,6,29,62,26025.697887659073
338,-142.39999999999998,62,1,100,8,24,62,26140.633987426758
339,-137.70000000000005,62,1,100,6,30,62,26245.831057548523
340,-137.99999999999997,62,1,100,19,26,62,26326.030997991562
342,-139.3,62,1,100,36,14,62,26571.043723106384
343,-140.6,62,1,100,10,20,62,26680.774624586105
344,-142.8,62,1,100,46,22,62,26763.951548099518
345,-141.8,62,1,100,6,20,62,26883.023286104202
346,-135.65000000000003,62,1,100,16,35,62,26970.033400058746
347,-136.0,62,1,100,10,26,62,27081.49629831314
348,-141.85,62,1,100,10,15,62,27214.919149398804
349,-139.05000000000004,62,1,100,60,25,62,27334.1807141304
350,-146.2,-298,0,100,0,16,62,27443.778752088547
352,-139.55000000000004,62,1,100,32,23,62,27704.202436208725
353,-140.95000000000002,62,1,100,71,13,62,27838.827569007874
354,-139.40000000000003,62,1,100,10,26,62,27960.34591293335
355,-141.74999999999997,62,1,100,92,17,62,28087.014091968536
356,-137.85000000000002,62,1,100,10,25,62,28200.033551692963
357,-139.60000000000002,62,1,100,29,22,62,28328.074870109558
358,-135.85000000000005,62,1,100,40,27,62,28446.23036837578
