episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-145.25,-298,0,100,0,35,0,463.7107923030853
20,-144.89999999999995,-298,0,100,0,42,0,1054.27015376091
30,-145.45000000000005,-298,0,100,0,31,0,1578.5517513751984
40,-145.05000000000007,-298,0,100,0,39,0,2121.241186618805
48,-141.60000000000005,62,1,100,58,40,62,2537.2497675418854
50,-145.40000000000003,-298,0,100,0,32,62,2602.7232162952423
60,-145.3,-298,0,100,0,34,62,3040.901124715805
70,-145.8,-298,0,100,0,24,62,3480.614161014557
80,-145.80000000000004,-298,0,100,0,24,62,3728.6357419490814
90,-145.00000000000006,-298,0,100,0,40,62,4142.091059446335
100,-145.85000000000002,-298,0,100,0,23,62,4632.1070029735565
110,-145.75,-298,0,100,0,25,62,4924.176639318466
120,-146.6,-298,0,100,0,8,62,5149.809145450592
130,-146.09999999999997,-298,0,100,0,18,62,5531.101390361786
140,-145.89999999999998,-298,0,100,0,22,62,6031.517367839813
150,-146.15,-298,0,100,0,17,62,6630.346943855286
160,-145.95,-298,0,100,0,21,62,7398.95978975296
164,-141.95000000000005,62,1,100,68,33,62,7778.800766706467
169,-141.75,62,1,100,95,37,62,8171.64907002449
170,-145.65,-298,0,100,0,27,62,8233.870171546936
171,-140.95000000000002,62,1,100,92,33,62,8304.080719709396
173,-139.40000000000006,62,1,100,69,44,62,8475.479159593582
176,-139.60000000000002,62,1,100,79,40,62,8673.322893857956
177,-138.60000000000002,62,1,100,22,42,62,8753.370822429657
179,-140.75000000000003,62,1,100,20,37,62,8894.303784132004
180,-144.85000000000002,-298,0,100,0,43,62,8980.41827082634
186,-141.65000000000003,62,1,100,41,39,62,9422.458731889725
187,-141.60000000000005,62,1,100,73,40,62,9471.657757997513
190,-139.40000000000003,62,1,100,53,44,62,9708.342057943344
193,-137.05,62,1,100,12,43,62,9907.538287639618
195,-135.95,62,1,100,91,43,62,10061.106244325638
196,-139.50000000000003,62,1,100,86,42,62,10149.631845712662
200,-140.75000000000003,62,1,100,79,37,62,10358.597967863083
204,-139.05,62,1,100,45,39,62,10677.252521753311
205,-141.70000000000005,62,1,100,27,38,62,10776.866935253143
210,-145.3,-298,0,100,0,34,62,11207.655155658722
212,-139.70000000000005,62,1,100,44,38,62,11357.625806570053
214,-139.45000000000005,62,1,100,5,43,62,11530.641798973083
216,-139.50000000000006,62,1,100,36,46,62,11705.1057305336
217,-139.65000000000003,62,1,100,83,39,62,11776.358327150345
220,-145.39999999999998,-298,0,100,0,32,62,12058.6610455513
225,-139.39999999999998,62,1,100,98,32,62,12525.189566612244
227,-137.85000000000002,62,1,100,8,37,62,12709.375076293945
228,-140.80000000000007,62,1,100,40,38,62,12807.184511184692
230,-145.8,-298,0,100,0,24,62,13000.907274246216
232,-139.80000000000004,62,1,100,57,36,62,13174.138672828674
233,-143.8,62,1,100,50,38,62,13264.949038505554
236,-137.95,62,1,100,36,35,62,13566.696363687515
237,-135.8,62,1,100,17,40,62,13652.632976055145
238,-140.25000000000006,62,1,100,54,49,62,13733.661174058914
240,-138.95000000000005,62,1,100,13,35,62,13913.845137119293
241,-139.34999999999997,62,1,100,93,35,62,14013.084728956223
242,-141.6,62,1,100,22,44,62,14111.343733787537
243,-139.74999999999997,62,1,100,19,37,62,14188.598141431808
244,-138.25000000000003,62,1,100,40,51,62,14273.374339818954
245,-139.40000000000003,62,1,100,25,46,62,14360.550158023834
246,-141.85000000000002,62,1,100,70,35,62,14444.101072788239
247,-136.35000000000005,62,1,100,14,49,62,14543.053787946701
248,-139.8,62,1,100,39,36,62,14642.182060480118
249,-140.55,62,1,100,17,43,62,14717.041858196259
250,-133.20000000000002,62,1,100,15,42,62,14814.014437913895
251,-140.7,62,1,100,68,46,62,14904.396944284439
252,-139.55000000000007,62,1,100,79,43,62,14980.348002910614
253,-139.8,62,1,100,23,36,62,15083.93940448761
254,-141.95,62,1,100,21,35,62,15177.132591485977
255,-139.50000000000006,62,1,100,59,42,62,15241.87931728363
256,-139.5,62,1,100,72,42,62,15327.458948373795
257,-133.70000000000005,62,1,100,18,48,62,15422.24344420433
258,-132.9500000000001,422,2,100,33,47,422,15506.951043367386
260,-140.00000000000003,62,1,100,32,42,422,15672.368292093277
270,-134.00000000000006,62,1,100,7,40,422,16656.367812633514
277,-132.25000000000006,422,2,100,79,41,422,17321.6440243721
280,-133.50000000000006,62,1,100,10,48,422,17633.060834646225
283,-128.15000000000006,422,2,100,59,47,422,17969.504673480988
288,-124.05000000000007,422,2,100,49,53,422,18504.24678492546
290,-136.15000000000003,62,1,100,37,37,422,18716.097862958908
291,-127.60000000000005,422,2,100,76,48,422,18822.63824915886
292,-130.15000000000003,422,2,100,85,45,422,18924.96067047119
293,-131.60000000000008,422,2,100,85,60,422,19021.74967098236
296,-125.15000000000002,422,2,100,77,41,422,19350.381591558456
297,-130.35000000000008,422,2,100,45,43,422,19457.30254650116
300,-126.40000000000006,422,2,100,59,46,422,19758.321168899536
302,-127.05000000000004,422,2,100,54,43,422,19987.054114103317
304,-134.35000000000008,422,2,100,32,41,422,20207.965025663376
305,-129.60000000000002,422,2,100,24,44,422,20314.635984182358
308,-122.40000000000005,422,2,100,94,56,422,20641.281626462936
309,-125.30000000000004,422,2,100,35,48,422,20751.118370771408
310,-123.65000000000003,422,2,100,17,53,422,20854.055357456207
313,-126.35000000000002,422,2,100,21,47,422,21184.02317404747
314,-125.00000000000004,422,2,100,32,48,422,21290.901390075684
315,-128.40000000000003,422,2,100,61,44,422,21414.15364742279
316,-122.40000000000002,422,2,100,43,40,422,21515.590650081635
317,-129.75000000000003,422,2,100,15,43,422,21637.53965115547
318,-127.05000000000003,422,2,100,46,37,422,21737.892477989197
319,-128.00000000000006,422,2,100,26,56,422,21838.193617343903
320,-132.20000000000005,62,1,100,5,50,422,21937.86359000206
321,-123.60000000000002,422,2,100,26,52,422,22049.415467262268
322,-131.40000000000003,422,2,100,40,50,422,22155.844873666763
323,-129.05000000000007,422,2,100,76,51,422,22252.007499694824
324,-130.75,422,2,100,23,43,422,22358.373681783676
325,-127.20000000000007,422,2,100,44,50,422,22453.658693790436
326,-126.40000000000006,422,2,100,54,52,422,22556.875950574875
327,-126.30000000000004,422,2,100,21,52,422,22655.051141023636
328,-126.30000000000005,422,2,100,51,50,422,22754.61272740364
329,-126.95000000000002,422,2,100,19,41,422,22856.37819314003
330,-128.40000000000003,422,2,100,24,48,422,22957.90675020218
331,-133.20000000000005,422,2,100,13,38,422,23068.551147460938
332,-129.90000000000003,422,2,100,11,42,422,23171.863601207733
333,-124.30000000000001,422,2,100,13,44,422,23278.728553771973
334,-127.30000000000004,422,2,100,42,46,422,23391.232978343964
335,-131.85000000000002,422,2,100,20,41,422,23492.783320903778
336,-123.5,422,2,100,89,38,422,23594.307221889496
337,-129.35000000000005,422,2,100,17,45,422,23712.390229940414
338,-127.30000000000005,422,2,100,46,50,422,23821.673222780228
340,-122.10000000000005,422,2,100,74,46,422,24031.3669090271
341,-126.90000000000002,422,2,100,35,44,422,24148.625519037247
342,-126.90000000000002,422,2,100,17,42,422,24253.278113126755
343,-126.60000000000001,422,2,100,19,42,422,24357.13654589653
344,-126.45000000000002,422,2,100,38,49,422,24453.486834526062
345,-126.6000000000001,422,2,100,15,44,422,24574.568846702576
346,-129.40000000000003,422,2,100,52,48,422,24678.610439538956
347,-125.70000000000006,422,2,100,47,50,422,24786.845760822296
348,-121.70000000000003,422,2,100,22,38,422,24904.5746178627
349,-130.70000000000007,422,2,100,33,38,422,25022.21103453636
350,-130.35000000000002,422,2,100,51,45,422,25136.668199539185
351,-124.05000000000004,422,2,100,11,39,422,25241.713103055954
352,-134.75000000000003,422,2,100,18,41,422,25349.317366600037
353,-121.75000000000003,422,2,100,9,37,422,25447.857704162598
354,-128.3,422,2,100,12,36,422,25555.578001499176
355,-125.60000000000002,422,2,100,88,44,422,25662.029090881348
356,-126.45000000000002,422,2,100,9,37,422,25769.050541877747
357,-130.25000000000003,422,2,100,76,51,422,25870.126568555832
358,-123.85000000000002,422,2,100,20,45,422,25971.04427266121
359,-126.45,422,2,100,21,37,422,26084.690498828888
360,-124.60000000000005,422,2,100,38,46,422,26187.088191747665
361,-133.95000000000002,422,2,100,29,41,422,26289.324039936066
362,-125.35,422,2,100,16,31,422,26396.023312091827
363,-127.10000000000001,422,2,100,16,38,422,26498.279411315918
364,-125.15,422,2,100,24,39,422,26618.795474529266
365,-123.50000000000003,422,2,100,34,36,422,26720.3419983387
366,-133.70000000000005,422,2,100,9,46,422,26828.640922546387
367,-128.55000000000004,422,2,100,64,47,422,26932.295335292816
368,-131.05,422,2,100,48,43,422,27039.405131816864
369,-130.0,422,2,100,27,38,422,27149.996335744858
370,-126.65000000000002,422,2,100,23,35,422,27266.24841427803
371,-123.50000000000001,422,2,100,12,40,422,27371.490247011185
372,-125.90000000000002,422,2,100,10,44,422,27474.230430841446
373,-127.45,422,2,100,9,37,422,27582.753623008728
374,-127.50000000000003,422,2,100,16,42,422,27691.56505727768
375,-124.85000000000004,422,2,100,16,43,422,27798.437151908875
376,-135.65000000000003,422,2,100,16,35,422,27908.432516098022
377,-125.00000000000004,422,2,100,11,40,422,28014.08653974533
378,-127.00000000000004,422,2,100,9,42,422,28126.297608852386
379,-130.9,422,2,100,13,40,422,28236.376093149185
380,-129.35000000000002,422,2,100,14,43,422,28354.671735286713
381,-130.95000000000005,422,2,100,10,43,422,28457.647832632065
382,-126.1,422,2,100,14,34,422,28560.89670729637
383,-128.70000000000002,422,2,100,23,38,422,28677.11858201027
384,-122.15000000000002,422,2,100,12,37,422,28779.7210149765
385,-128.0,422,2,100,36,38,422,28873.889172315598
386,-126.75000000000004,422,2,100,30,43,422,28983.016805171967
387,-128.75000000000006,422,2,100,24,45,422,29080.327171325684
388,-127.90000000000002,422,2,100,19,38,422,29190.442307949066
389,-124.30000000000001,422,2,100,28,40,422,29300.40857386589
390,-129.65,422,2,100,26,37,422,29426.033497333527
391,-126.15000000000005,422,2,100,23,39,422,29526.497886896133
