episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
5,-139.75000000000003,62,1,100,88,37,62,213.2915904521942
10,-145.14999999999998,-298,0,100,0,37,62,441.72647881507874
20,-145.1,-298,0,100,0,38,62,1023.1458213329315
30,-145.10000000000002,-298,0,100,0,38,62,1607.0298445224762
40,-145.30000000000007,-298,0,100,0,34,62,2155.1430575847626
50,-145.20000000000005,-298,0,100,0,36,62,2763.484310388565
60,-145.5,-298,0,100,0,30,62,3374.0332584381104
70,-145.05000000000007,-298,0,100,0,39,62,3929.749546289444
80,-145.45000000000005,-298,0,100,0,31,62,4427.008946180344
90,-145.10000000000002,-298,0,100,0,38,62,4980.054580450058
100,-145.4,-298,0,100,0,32,62,5529.739019870758
104,-141.39999999999998,62,1,100,100,32,62,5722.644800186157
110,-145.20000000000005,-298,0,100,0,36,62,6031.324350357056
120,-145.40000000000003,-298,0,100,0,32,62,6649.292410612106
130,-145.05000000000004,-298,0,100,0,39,62,7231.763690471649
140,-145.3,-298,0,100,0,34,62,7818.313271760941
150,-145.55,-298,0,100,0,29,62,8436.517502069473
160,-145.45,-298,0,100,0,31,62,9057.182965517044
170,-145.45000000000002,-298,0,100,0,31,62,9725.6303794384
180,-145.8,-298,0,100,0,24,62,10336.788907527924
190,-145.95000000000002,-298,0,100,0,21,62,11047.996677160263
200,-145.74999999999997,-298,0,100,0,25,62,11786.345619440079
210,-145.80000000000004,-298,0,100,0,24,62,12611.381032705307
220,-146.1,-298,0,100,0,18,62,13425.780920267105
230,-146.20000000000002,-298,0,100,0,16,62,14247.820472717285
240,-146.3,-298,0,100,0,14,62,15000.950693368912
250,-146.10000000000002,-298,0,100,0,18,62,15744.008340358734
260,-146.35000000000002,-298,0,100,0,13,62,16494.743150234222
270,-146.59999999999997,-298,0,100,0,8,62,17248.22015285492
280,-146.60000000000002,-298,0,100,0,8,62,18000.749012947083
290,-146.20000000000002,-298,0,100,0,16,62,18788.714697360992
300,-146.45,-298,0,100,0,11,62,19520.409418344498
310,-146.60000000000002,-298,0,100,0,8,62,20293.74879360199
320,-146.6,-298,0,100,0,8,62,21074.202464342117
330,-145.90000000000003,-298,0,100,0,22,62,21792.200043201447
340,-146.4,-298,0,100,0,12,62,22536.932678699493
350,-146.35000000000002,-298,0,100,0,13,62,23273.18211913109
360,-145.70000000000005,-298,0,100,0,26,62,24005.51917409897
370,-146.05,-298,0,100,0,19,62,24752.06327009201
380,-146.5,-298,0,100,0,10,62,25514.59915471077
390,-146.5,-298,0,100,0,10,62,26298.855040073395
400,-146.69999999999996,-298,0,100,0,6,62,27073.136836528778
410,-146.55,-298,0,100,0,9,62,27843.92285633087
420,-146.85,-298,0,100,0,3,62,28622.85071825981
430,-146.65,-298,0,100,0,7,62,29365.288643598557
440,-146.65,-298,0,100,0,7,62,30150.05712747574
450,-146.85,-298,0,100,0,3,62,30960.16166329384
460,-146.8,-298,0,100,0,4,62,31749.407794713974
470,-146.9,-298,0,100,0,2,62,32533.510284662247
480,-146.9,-298,0,100,0,2,62,33313.60851287842
490,-146.8,-298,0,100,0,4,62,34083.52603530884
500,-146.8,-298,0,100,0,4,62,34848.644193172455
510,-146.40000000000003,-298,0,100,0,12,62,35598.30084609985
520,-145.50000000000003,-298,0,100,0,30,62,36373.622129678726
530,-146.0,-298,0,100,0,20,62,37150.70090675354
540,-145.8,-298,0,100,0,24,62,37993.57757592201
550,-145.55,-298,0,100,0,29,62,38824.783692359924
560,-145.75000000000006,-298,0,100,0,25,62,39602.82859492302
570,-145.8,-298,0,100,0,24,62,40408.22121500969
580,-145.35000000000002,-298,0,100,0,33,62,41207.83622598648
590,-145.35000000000002,-298,0,100,0,33,62,42054.86784815788
592,-140.00000000000003,62,1,100,35,32,62,42240.326483011246
600,-145.55000000000007,-298,0,100,0,29,62,42874.11670708656
607,-139.0,62,1,100,56,22,62,43415.99132871628
610,-145.70000000000005,-298,0,100,0,26,62,43666.73905420303
620,-145.60000000000002,-298,0,100,0,28,62,44512.84320759773
630,-145.60000000000002,-298,0,100,0,28,62,45298.816405534744
640,-138.70000000000005,62,1,100,74,26,62,46052.91612005234
650,-145.70000000000002,-298,0,100,0,26,62,46916.16145467758
660,-145.60000000000002,-298,0,100,0,28,62,47755.30767536163
661,-139.90000000000003,62,1,100,39,34,62,47838.941037893295
670,-145.50000000000006,-298,0,100,0,30,62,48615.79909992218
680,-145.25000000000006,-298,0,100,0,35,62,49462.88606572151
690,-145.75000000000003,-298,0,100,0,25,62,50258.12094116211
699,-138.55000000000004,62,1,100,65,29,62,50998.538927555084
700,-145.45000000000005,-298,0,100,0,31,62,51071.95794701576
701,-138.05000000000004,62,1,100,10,33,62,51173.16098737717
703,-138.60000000000002,62,1,100,86,28,62,51342.74023771286
704,-138.90000000000003,62,1,100,51,22,62,51423.37620139122
705,-140.05,62,1,100,52,31,62,51510.8392598629
707,-139.3,62,1,100,15,14,62,51672.19921207428
708,-138.94999999999993,62,1,100,94,21,62,51783.861634492874
709,-136.45000000000005,62,1,100,17,33,62,51869.08266186714
710,-139.05,62,1,100,34,19,62,51964.13688349724
711,-138.45,62,1,100,91,31,62,52049.92092132568
713,-139.4,62,1,100,13,12,62,52230.847272634506
714,-137.10000000000002,62,1,100,10,20,62,52317.080778598785
715,-138.70000000000002,62,1,100,57,26,62,52409.11596083641
716,-137.05,62,1,100,19,21,62,52510.47899842262
718,-138.85000000000002,62,1,100,54,23,62,52689.52744650841
719,-138.75000000000003,62,1,100,49,25,62,52789.39168334007
720,-139.0,62,1,100,37,20,62,52889.007804870605
721,-137.3,62,1,100,10,16,62,52984.96124172211
722,-139.55,62,1,100,9,9,62,53074.308119535446
723,-138.8,62,1,100,49,24,62,53175.58542537689
724,-134.75,62,1,100,19,29,62,53279.97800779343
725,-139.65,62,1,100,7,7,62,53369.820011138916
726,-137.35000000000002,62,1,100,7,15,62,53467.506997823715
727,-136.85000000000002,62,1,100,7,25,62,53563.98537015915
728,-136.05,62,1,100,12,23,62,53668.0845785141
729,-134.8,62,1,100,7,28,62,53765.95993971825
730,-137.40000000000003,62,1,100,7,14,62,53860.73837399483
731,-136.55,62,1,100,6,31,62,53955.74511384964
732,-135.05,62,1,100,10,23,62,54051.76719522476
733,-138.89999999999998,62,1,100,7,16,62,54167.49492049217
734,-130.75000000000006,62,1,100,10,33,62,54269.573746442795
735,-136.25,62,1,100,19,31,62,54393.290586948395
736,-136.85000000000002,62,1,100,37,25,62,54486.10975766182
737,-137.00000000000003,62,1,100,7,22,62,54588.76124000549
738,-139.5,62,1,100,7,10,62,54683.68055820465
739,-134.30000000000004,62,1,100,7,32,62,54798.50676941872
740,-133.1,62,1,100,7,24,62,54904.99358201027
741,-138.3,62,1,100,7,28,62,54995.89251160622
742,-138.55,62,1,100,66,29,62,55089.84682583809
743,-135.20000000000005,62,1,100,7,20,62,55195.653767347336
744,-137.3,62,1,100,11,16,62,55292.561517715454
745,-139.65,62,1,100,7,7,62,55386.06018328667
746,-136.95,62,1,100,7,23,62,55477.78736257553
747,-139.5,62,1,100,10,10,62,55574.25513625145
748,-139.4,62,1,100,13,12,62,55664.95486330986
749,-137.1,62,1,100,7,20,62,55764.500370025635
750,-134.70000000000005,62,1,100,12,30,62,55861.56430053711
751,-131.05000000000004,62,1,100,7,27,62,55969.496074676514
752,-132.95000000000002,62,1,100,7,27,62,56070.29349112511
753,-137.35,62,1,100,7,15,62,56167.365312337875
754,-137.10000000000002,62,1,100,7,20,62,56279.848845005035
755,-139.65,62,1,100,7,7,62,56367.57365655899
756,-135.05,62,1,100,7,23,62,56484.85786008835
757,-139.65,62,1,100,7,7,62,56575.781438589096
758,-140.79999999999998,62,1,100,7,16,62,56676.21203041077
759,-139.65,62,1,100,7,7,62,56769.7512485981
760,-139.65,62,1,100,7,7,62,56868.64583039284
761,-137.05,62,1,100,7,21,62,56963.373185396194
762,-139.5,62,1,100,7,10,62,57055.77980709076
763,-139.0,62,1,100,20,20,62,57151.67348885536
764,-137.15000000000003,62,1,100,7,19,62,57249.46527385712
765,-139.20000000000002,62,1,100,10,16,62,57347.96338582039
766,-134.95,62,1,100,16,25,62,57457.52341532707
767,-140.79999999999995,62,1,100,13,16,62,57552.75831580162
768,-137.25,62,1,100,10,17,62,57649.94910573959
769,-139.5,62,1,100,7,10,62,57750.03229928017
770,-137.39999999999998,62,1,100,7,14,62,57856.78953003883
771,-137.05,62,1,100,7,21,62,57952.61431193352
772,-135.3,62,1,100,7,18,62,58064.88317203522
773,-132.90000000000003,62,1,100,7,28,62,58168.02975845337
774,-131.3,62,1,100,10,22,62,58276.02361083031
775,-137.45000000000002,62,1,100,7,13,62,58380.48595356941
776,-136.40000000000003,62,1,100,7,30,62,58493.06411409378
777,-129.45000000000002,62,1,100,7,21,62,58605.74353504181
778,-127.55000000000001,62,1,100,7,21,62,58720.70091176033
779,-133.55,62,1,100,7,31,62,58844.628997564316
780,-124.14999999999999,62,1,100,7,15,62,58983.38856983185
781,-130.60000000000002,62,1,100,7,30,62,59101.36630797386
782,-126.45000000000002,62,1,100,7,25,62,59218.03966712952
783,-130.05,62,1,100,10,23,62,59341.256882190704
784,-126.10000000000001,62,1,100,7,28,62,59481.71918988228
785,-127.19999999999997,62,1,100,5,24,62,59611.07829618454
786,-125.05000000000003,62,1,100,7,27,62,59731.54194045067
787,-123.5,62,1,100,5,20,62,59862.636479616165
788,-125.55,62,1,100,7,25,62,59990.214945077896
789,-128.7,62,1,100,21,30,62,60113.47892665863
790,-124.74999999999999,62,1,100,5,15,62,60246.04072642326
791,-123.64999999999998,62,1,100,7,17,62,60374.00722646713
792,-126.50000000000003,62,1,100,5,26,62,60509.59282922745
793,-131.7,62,1,100,6,30,62,60647.385347127914
794,-123.69999999999999,62,1,100,5,16,62,60796.727679252625
795,-124.79999999999997,62,1,100,5,16,62,60926.77885270119
796,-133.75000000000003,62,1,100,5,27,62,61034.070155620575
797,-126.79999999999998,62,1,100,5,20,62,61156.595464468
798,-123.69999999999997,62,1,100,5,16,62,61284.78099679947
799,-128.25000000000003,62,1,100,5,23,62,61415.562410354614
800,-125.74999999999997,62,1,100,7,15,62,61541.00413632393
801,-132.75,62,1,100,5,29,62,61667.28916501999
802,-123.14999999999999,62,1,100,7,17,62,61806.07107925415
803,-123.6,62,1,100,5,18,62,61937.266276836395
804,-124.79999999999998,62,1,100,5,16,62,62082.54270219803
