episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
5,-141.8,62,1,100,94,36,62,213.6195776462555
6,-140.85000000000002,62,1,100,76,35,62,262.9173421859741
10,-145.35000000000005,-298,0,100,0,33,62,455.0381033420563
20,-146.7,-298,0,100,0,6,62,1280.3278005123138
28,-140.9,62,1,100,59,14,62,1846.0930337905884
30,-146.35000000000002,-298,0,100,0,13,62,2005.7945263385773
34,-138.0,62,1,100,41,34,62,2241.452517747879
35,-135.15000000000003,62,1,100,21,35,62,2350.1637914180756
36,-135.0,422,2,100,12,26,422,2504.21893119812
40,-146.10000000000002,-298,0,100,0,18,422,2873.8833272457123
50,-145.60000000000002,-298,0,100,0,28,422,3412.475112438202
60,-138.50000000000006,62,1,100,73,30,422,4067.9925305843353
70,-135.99999999999994,62,1,100,13,24,422,5094.72393488884
80,-138.95000000000002,62,1,100,7,21,422,6208.360506772995
86,-131.75,422,2,100,15,39,422,6859.688501119614
90,-132.20000000000002,62,1,100,13,32,422,7311.714293956757
100,-131.25,62,1,100,10,33,422,8390.282723665237
110,-138.39999999999998,62,1,100,5,22,422,9382.777859210968
120,-140.24999999999997,62,1,100,5,21,422,10320.785687685013
130,-133.05,62,1,100,10,31,422,11270.95358633995
140,-137.25,62,1,100,5,25,422,12207.675023317337
150,-137.95000000000002,62,1,100,13,25,422,13074.076350450516
160,-139.24999999999997,62,1,100,9,19,422,13956.645821332932
165,-133.10000000000002,422,2,100,94,28,422,14462.18699002266
170,-133.25,62,1,100,13,39,422,14996.116688251495
180,-140.14999999999998,62,1,100,9,19,422,15978.341821193695
190,-134.59999999999997,62,1,100,9,26,422,16963.948451042175
200,-138.5,62,1,100,12,26,422,17869.839999198914
210,-137.15000000000003,62,1,100,5,19,422,18766.4924659729
212,-131.6,422,2,100,99,30,422,18942.21104979515
220,-137.9,62,1,100,29,24,422,19671.902984380722
230,-140.65000000000003,62,1,100,5,25,422,20566.164559841156
240,-140.4,62,1,100,19,24,422,21458.833697795868
250,-145.85000000000002,-298,0,100,0,23,422,22245.968628406525
260,-145.95,-298,0,100,0,21,422,22985.27037549019
