timesteps,episode,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,approx_kl,entropy_loss,explained_variance,time_seconds
1000,10,,,360.7090759277344,-0.00415620394051075,0.0007509156,-2.290054130554199,-0.011476993560791016,441.0272972583771
2000,20,,,325.6814926147461,-0.010968663729727268,0.0024864767,-2.289974868297577,-0.014946460723876953,1022.460770368576
3000,30,,,314.07039642333984,-0.007002792460843921,0.0015926063,-2.269844186306,-0.0031585693359375,1606.3369762897491
4000,40,,,296.25447845458984,-0.005330909951590001,0.0012549167,-2.258269476890564,-0.002406597137451172,2154.444502592087
5000,50,,,288.64133682250974,-0.0028009735979139805,0.00094695576,-2.253574025630951,0.0017426609992980957,2762.789647579193
6000,60,,,275.20257034301756,-0.002338246861472726,0.0006799572,-2.167305588722229,-0.001246333122253418,3373.3380427360535
7000,70,,,251.75433273315429,-0.007968555064871907,0.0033759284,-2.207286369800568,8.13603401184082e-05,3929.0559141635895
8000,80,,,246.11200408935548,-0.004184089344926178,0.0015232996,-2.202229344844818,-0.0007190704345703125,4426.333861351013
9000,90,,,228.9296630859375,-0.004611917957663536,0.0012125568,-2.2045714974403383,-5.519390106201172e-05,4979.373047590256
10000,100,,,219.63921508789062,-0.0008837352739647031,0.0005953121,-2.154173958301544,-0.00035858154296875,5529.139148712158
11000,110,,,207.3837158203125,-0.01391366464085877,0.006484441,-2.0981272578239443,0.00040435791015625,6030.636421442032
12000,120,,,197.93869323730468,-0.003926860680803656,0.0018181182,-2.0774237513542175,0.0004774332046508789,6648.608544111252
13000,130,,,189.81967391967774,-0.017383549665100872,0.008410798,-2.0263752937316895,0.00042569637298583984,7231.076853990555
14000,140,,,170.25347595214845,-0.017800311977043747,0.009514695,-1.9707527220249177,-0.0005484819412231445,7817.658731937408
15000,150,,,161.767431640625,-0.005740189692005515,0.005176063,-1.788777130842209,-0.00023651123046875,8435.827754020691
16000,160,,,151.32104110717773,-0.006974282395094633,0.0035780915,-1.715557909011841,6.949901580810547e-05,9056.504843473434
17000,170,,,147.61558303833007,-0.003202456422150135,0.001905431,-1.7076865255832672,-3.528594970703125e-05,9724.94067621231
18000,180,,,129.89575805664063,-0.007808021595701575,0.0036261948,-1.7529083490371704,-0.0001304149627685547,10336.113325834274
19000,190,,,124.01427841186523,-0.004327972419559956,0.0019593574,-1.367941528558731,0.00016349554061889648,11047.305756568909
