episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
6,-14.0,62,1,100,93,0,62,277.35153794288635
10,-50.0,-298,0,100,0,0,62,457.82625126838684
20,-50.0,-298,0,100,0,0,62,739.8024690151215
30,-50.0,-298,0,100,0,0,62,1009.1634337902069
40,-50.0,-298,0,100,0,0,62,1295.3195192813873
44,-14.0,62,1,100,84,0,62,1404.6231851577759
50,-50.0,-298,0,100,0,0,62,1575.8848893642426
53,-14.0,62,1,100,82,0,62,1665.208086013794
54,-14.0,62,1,100,66,0,62,1697.645486831665
60,-50.0,-298,0,100,0,0,62,1877.2326710224152
70,-50.0,-298,0,100,0,0,62,2167.3700189590454
80,-50.0,-298,0,100,0,0,62,2451.872957468033
90,-50.0,-298,0,100,0,0,62,2713.5210678577423
100,-50.0,-298,0,100,0,0,62,2968.6446216106415
110,-50.0,-298,0,100,0,0,62,3125.8384263515472
117,-14.0,62,1,100,12,0,62,3437.531236886978
118,-14.0,62,1,100,15,0,62,3482.5236291885376
120,-14.0,62,1,100,14,0,62,3563.0790872573853
121,-14.0,62,1,100,11,0,62,3601.6064336299896
122,-14.0,62,1,100,87,0,62,3657.1852247714996
123,-14.0,62,1,100,37,0,62,3704.2212455272675
124,-14.0,62,1,100,10,0,62,3752.098945617676
125,-14.0,62,1,100,12,0,62,3799.670023202896
126,-14.0,62,1,100,10,0,62,3840.493661403656
127,-14.0,62,1,100,7,0,62,3884.9754886627197
128,-14.0,62,1,100,86,0,62,3927.1076998710632
129,-14.0,62,1,100,6,0,62,3966.953654527664
130,-14.0,62,1,100,10,0,62,4002.796258211136
131,-14.0,62,1,100,27,0,62,4038.873548269272
132,-14.0,62,1,100,10,0,62,4078.819725036621
133,-14.0,62,1,100,7,0,62,4124.839227676392
134,-14.0,62,1,100,9,0,62,4176.125370979309
135,-14.0,62,1,100,9,0,62,4218.984409332275
136,-14.0,62,1,100,42,0,62,4269.110924720764
137,-14.0,62,1,100,15,0,62,4327.535361289978
138,-14.0,62,1,100,23,0,62,4376.3040454387665
139,-14.0,62,1,100,22,0,62,4422.55077290535
140,-14.0,62,1,100,41,0,62,4491.666409730911
142,-14.0,62,1,100,86,0,62,4608.364717006683
150,-14.0,62,1,100,5,0,62,4998.657824039459
153,-14.0,62,1,100,36,0,62,5132.584267854691
154,-14.0,62,1,100,61,0,62,5181.978544473648
155,-14.0,62,1,100,8,0,62,5233.853073358536
156,-14.0,62,1,100,10,0,62,5275.03178024292
157,-14.0,62,1,100,21,0,62,5322.879149675369
158,-14.0,62,1,100,46,0,62,5367.680070638657
159,-14.0,62,1,100,53,0,62,5411.4394109249115
160,-50.0,-298,0,100,0,0,62,5455.832856893539
162,-14.0,62,1,100,29,0,62,5558.438763618469
163,-14.0,62,1,100,18,0,62,5609.853807210922
164,-14.0,62,1,100,40,0,62,5656.03924036026
165,-14.0,62,1,100,74,0,62,5704.7689826488495
166,-14.0,62,1,100,5,0,62,5751.340750217438
167,-14.0,62,1,100,13,0,62,5806.832292795181
168,-14.0,62,1,100,49,0,62,5844.263121366501
169,-14.0,62,1,100,5,0,62,5889.72851729393
170,-50.0,-298,0,100,0,0,62,5907.424561500549
171,-14.0,62,1,100,66,0,62,5956.959108352661
173,-14.0,62,1,100,5,0,62,6039.554914474487
174,-14.0,62,1,100,11,0,62,6088.653198957443
175,-14.0,62,1,100,70,0,62,6142.818884372711
176,-14.0,62,1,100,14,0,62,6196.584667682648
177,-14.0,62,1,100,5,0,62,6239.605986833572
178,-14.0,62,1,100,9,0,62,6295.824970245361
179,-14.0,62,1,100,5,0,62,6341.6081602573395
180,-14.0,62,1,100,5,0,62,6384.211533546448
181,-14.0,62,1,100,5,0,62,6445.566722869873
182,-14.0,62,1,100,31,0,62,6496.422347784042
183,-14.0,62,1,100,8,0,62,6540.534309148788
184,-14.0,62,1,100,5,0,62,6583.6624755859375
185,-14.0,62,1,100,5,0,62,6632.910498380661
186,-14.0,62,1,100,7,0,62,6679.715896606445
187,-14.0,62,1,100,65,0,62,6717.590963840485
188,-14.0,62,1,100,6,0,62,6763.152642726898
189,-14.0,62,1,100,5,0,62,6812.573983669281
190,-14.0,62,1,100,36,0,62,6866.44339132309
191,-14.0,62,1,100,6,0,62,6904.191381454468
192,-14.0,62,1,100,32,0,62,6951.954094171524
193,-14.0,62,1,100,7,0,62,7005.5127329826355
194,-14.0,62,1,100,5,0,62,7046.609041929245
195,-14.0,62,1,100,5,0,62,7079.3894946575165
196,-14.0,62,1,100,5,0,62,7134.022434949875
197,-14.0,62,1,100,6,0,62,7178.25914812088
198,-14.0,62,1,100,5,0,62,7230.8200776577
