episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
1,-29.340000000000003,290,1,100,99,18,290,184.1194348335266
2,-45.07000000000002,290,1,100,94,21,290,356.16365694999695
3,-29.34,290,1,100,92,18,290,531.9110455513
4,-40.550000000000004,290,1,100,95,24,290,696.0516993999481
5,-32.410000000000004,290,1,100,100,16,290,864.8791673183441
6,-57.379999999999995,313,1,100,68,22,313,1025.612582206726
10,-32.650000000000006,290,1,100,96,21,313,1704.2149682044983
13,-75.3,313,1,100,39,24,313,2211.391206264496
14,-42.839999999999996,313,1,100,85,21,313,2381.9408762454987
20,-39.62000000000001,290,1,100,98,22,313,3398.9405591487885
30,-59.410000000000004,290,1,100,94,31,313,5244.581780195236
40,-52.90000000000002,290,1,100,81,19,313,7153.768951654434
44,-38.79000000000001,313,1,100,81,28,313,7883.313776731491
47,-88.22999999999999,448,2,100,21,23,448,8425.508351564407
50,-31.01000000000001,290,1,100,99,14,448,8938.524990558624
60,-41.700000000000024,290,1,100,90,30,448,10646.940269708633
70,-50.100000000000016,290,1,100,98,22,448,12393.490181446075
80,-35.050000000000004,290,1,100,95,13,448,13773.386179208755
90,-32.550000000000004,290,1,100,96,23,448,14699.212757349014
