episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-35.4,-152,0,100,2,0,0,1432.1062614917755
20,-35.4,-152,0,100,2,0,0,2972.2847847938538
30,-35.4,-152,0,100,2,0,0,4586.2188947200775
40,-35.4,-152,0,100,2,0,0,6294.009232759476
50,-35.4,-152,0,100,2,0,0,7993.831537246704
58,-0.5999999999999943,196,1,100,12,0,196,9312.138449668884
60,-35.4,-152,0,100,2,0,196,9614.518753767014
70,-35.4,-152,0,100,2,0,196,11167.747033596039
80,-35.4,-152,0,100,2,0,196,12766.653872013092
90,-35.4,-152,0,100,2,0,196,14058.088122844696
