episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-145.20000000000005,-298,0,100,0,36,0,552.1937611103058
20,-145.2,-298,0,100,0,36,0,1111.8181176185608
30,-145.10000000000002,-298,0,100,0,38,0,1747.9116196632385
31,-138.25000000000003,62,1,100,98,39,62,1823.4520726203918
35,-140.85000000000002,62,1,100,67,35,62,2083.0472555160522
40,-145.40000000000003,-298,0,100,0,32,62,2380.8643791675568
50,-145.05000000000004,-298,0,100,0,39,62,2969.963892221451
60,-144.95,-298,0,100,0,41,62,3551.387829065323
70,-145.10000000000002,-298,0,100,0,38,62,4130.453940868378
75,-141.65000000000003,62,1,100,6,39,62,4426.699798345566
80,-145.3,-298,0,100,0,34,62,4712.852119922638
90,-145.3,-298,0,100,0,34,62,5262.748975992203
95,-140.8,62,1,100,95,36,62,5530.90185546875
100,-145.10000000000002,-298,0,100,0,38,62,5842.349814653397
110,-146.15000000000003,-298,0,100,0,17,62,7026.731736421585
120,-146.60000000000002,-298,0,100,0,8,62,7648.125203847885
130,-146.79999999999998,-298,0,100,0,4,62,8668.324388027191
132,-141.20000000000005,62,1,100,34,28,62,8874.499897956848
134,-140.55,62,1,100,39,21,62,9096.423518657684
135,-140.35,62,1,100,13,25,62,9206.77518081665
140,-146.54999999999995,-298,0,100,0,9,62,9861.352226018906
146,-142.29999999999998,62,1,100,76,26,62,10396.66960811615
150,-140.1,62,1,100,23,30,62,10715.207822322845
160,-146.24999999999997,-298,0,100,0,15,62,11408.800995588303
170,-141.25000000000006,62,1,100,46,27,62,12193.949704885483
171,-141.35000000000005,62,1,100,57,25,62,12276.5419754982
175,-140.15,62,1,100,39,29,62,12634.202449321747
180,-145.89999999999998,-298,0,100,0,22,62,13059.609227895737
187,-136.9,62,1,100,81,26,62,13704.378979921341
190,-146.10000000000002,-298,0,100,0,18,62,13921.798921108246
191,-133.65000000000003,62,1,100,93,23,62,14027.083067893982
192,-142.55,62,1,100,5,21,62,14152.785559654236
193,-140.45000000000002,62,1,100,21,23,62,14270.474067211151
196,-113.14999999999999,62,1,100,96,25,62,14604.717205286026
197,-140.54999999999998,62,1,100,6,21,62,14721.478830575943
200,-140.70000000000002,62,1,100,46,18,62,15074.856841087341
201,-110.05000000000003,62,1,100,85,35,62,15165.641814947128
202,-119.15000000000002,62,1,100,99,25,62,15271.485025167465
203,-108.1,62,1,100,94,22,62,15387.466757774353
204,-102.55000000000003,62,1,100,71,25,62,15502.678733348846
205,-119.1,62,1,100,66,18,62,15618.832545757294
206,-113.55,62,1,100,94,21,62,15726.854493141174
207,-111.60000000000002,62,1,100,91,28,62,15832.29849243164
208,-124.64999999999998,62,1,100,93,15,62,15950.562012910843
209,-92.45000000000002,62,1,100,96,19,62,16053.294685840607
210,-104.14999999999998,62,1,100,94,13,62,16182.060119628906
211,-140.6,62,1,100,10,20,62,16293.41075515747
212,-140.60000000000002,62,1,100,77,20,62,16411.152698993683
213,-135.05,62,1,100,36,23,62,16526.233202695847
216,-110.14999999999999,62,1,100,95,21,62,16877.28378033638
217,-108.35,62,1,100,92,17,62,16998.41973423958
218,-120.34999999999997,62,1,100,94,13,62,17120.652670145035
219,-105.59999999999998,62,1,100,96,24,62,17232.29285478592
220,-121.2,62,1,100,95,16,62,17361.130873441696
221,-135.1,62,1,100,24,22,62,17466.988676071167
222,-140.05,62,1,100,84,31,62,17576.613542318344
223,-122.8,62,1,100,97,24,62,17702.8244035244
224,-128.0,62,1,100,77,24,62,17821.74381327629
225,-139.35000000000002,62,1,100,10,13,62,17944.988810777664
226,-129.95000000000002,62,1,100,50,25,62,18044.07643532753
227,-133.85,62,1,100,38,15,62,18167.8711309433
228,-97.64999999999999,62,1,100,93,15,62,18272.293992996216
229,-118.94999999999999,62,1,100,91,21,62,18389.347908973694
230,-115.8,62,1,100,95,16,62,18512.73749423027
231,-129.10000000000002,62,1,100,93,22,62,18615.26384806633
232,-134.64999999999998,62,1,100,59,19,62,18707.587403297424
233,-135.64999999999998,62,1,100,13,19,62,18822.141680002213
234,-139.25,62,1,100,10,15,62,18956.015960931778
235,-139.25,62,1,100,10,15,62,19079.67050409317
236,-130.15000000000003,62,1,100,99,21,62,19200.235927581787
237,-122.55000000000001,62,1,100,86,25,62,19314.878997325897
238,-125.95000000000003,62,1,100,54,29,62,19427.33961057663
239,-139.05,62,1,100,10,19,62,19550.808096647263
240,-107.50000000000001,62,1,100,98,22,62,19669.525782346725
241,-108.79999999999998,62,1,100,92,32,62,19770.367812633514
242,-115.50000000000001,62,1,100,96,34,62,19870.809551000595
243,-116.44999999999999,62,1,100,96,23,62,19984.007308721542
244,-85.35000000000001,62,1,100,100,25,62,20087.846981287003
245,-107.4,62,1,100,82,24,62,20202.381793022156
