timesteps,episode,ep_rew_mean,ep_len_mean,loss,exploration_rate,time_seconds
1000,10,,,,0.05095000000000016,584.778516292572
2000,20,,,0.01911763660609722,0.05,1426.888744354248
3000,30,,,0.01738862320780754,0.05,2162.968272924423
4000,40,,,0.06567582488059998,0.05,3319.265718460083
5000,50,,,0.059650495648384094,0.05,4527.055352926254
6000,60,,,0.0679224506020546,0.05,5548.5964431762695
7000,70,,,0.24207007884979248,0.05,6748.3259472846985
8000,80,,,0.36284515261650085,0.05,7978.66738653183
9000,90,,,0.23015211522579193,0.05,9201.26130270958
10000,100,,,0.16976439952850342,0.05,10371.698854446411
11000,110,,,0.17281104624271393,0.05,11655.253612279892
12000,120,,,0.3645569980144501,0.05,12889.429199695587
13000,130,,,0.2901970446109772,0.05,14170.160466432571
14000,140,,,0.26606935262680054,0.05,15577.982117652893
15000,150,,,0.22549882531166077,0.05,16795.174157857895
16000,160,,,0.3894816040992737,0.05,18029.52768778801
17000,170,,,0.36670565605163574,0.05,19212.583805322647
18000,180,,,0.24030263721942902,0.05,20385.521530866623
19000,190,,,0.12590165436267853,0.05,21491.23100376129
20000,200,,,0.2586541473865509,0.05,22489.420246839523
21000,210,,,0.26906758546829224,0.05,23572.803010463715
22000,220,,,0.27625778317451477,0.05,24675.806131839752
23000,230,,,0.2589321434497833,0.05,25731.04992389679
24000,240,,,0.2469494789838791,0.05,26789.050948619843
25000,250,,,0.22165584564208984,0.05,27888.754635095596
26000,260,,,0.22518733143806458,0.05,28834.672348499298
27000,270,,,0.29859018325805664,0.05,29713.979850292206
28000,280,,,0.24492594599723816,0.05,30628.07490158081
29000,290,,,0.19465559720993042,0.05,31551.28100180626
30000,300,,,0.19378545880317688,0.05,32468.813012123108
31000,310,,,0.14047759771347046,0.05,33424.064195394516
32000,320,,,0.09325458109378815,0.05,34315.640344142914
33000,330,,,0.17490270733833313,0.05,35215.90406847
34000,340,,,0.21591095626354218,0.05,36095.48099374771
35000,350,,,0.12237399816513062,0.05,37027.39893627167
36000,360,,,0.14719578623771667,0.05,38013.45052051544
37000,370,,,0.24303768575191498,0.05,38851.79770541191
38000,380,,,0.12369890511035919,0.05,39634.42200446129
39000,390,,,0.13653400540351868,0.05,40468.76496434212
40000,400,,,0.23922491073608398,0.05,41285.34946322441
41000,410,,,0.10753855109214783,0.05,42234.83954644203
42000,420,,,0.1249157190322876,0.05,43074.5452105999
43000,430,,,0.15942899882793427,0.05,43947.69527935982
44000,440,,,0.11738812923431396,0.05,44849.211577653885
45000,450,,,0.23928038775920868,0.05,45739.6071600914
46000,460,,,0.13072501122951508,0.05,46703.44763112068
47000,470,,,0.183927983045578,0.05,47663.05907034874
48000,480,,,0.14255791902542114,0.05,48634.49214744568
49000,490,,,0.151555135846138,0.05,49552.045305252075
50000,500,,,0.10050346702337265,0.05,50535.77880191803
51000,510,,,0.20187968015670776,0.05,51431.15751743317
52000,520,,,0.1377975344657898,0.05,52397.79277133942
53000,530,,,0.17330068349838257,0.05,53268.32361316681
54000,540,,,0.13337573409080505,0.05,54136.59250211716
55000,550,,,0.12257357686758041,0.05,55000.2155380249
56000,560,,,0.19071689248085022,0.05,55835.98874044418
57000,570,,,0.14169785380363464,0.05,56704.537402153015
58000,580,,,0.15245682001113892,0.05,57488.32501959801
59000,590,,,0.1473512500524521,0.05,58355.714072942734
60000,600,,,0.095972441136837,0.05,59162.07484960556
61000,610,,,0.09232576191425323,0.05,60078.05231499672
62000,620,,,0.11497510969638824,0.05,60959.41873264313
63000,630,,,0.10191886872053146,0.05,61859.50359368324
64000,640,,,0.1467585563659668,0.05,62861.31045150757
65000,650,,,0.17300288379192352,0.05,63842.033908843994
66000,660,,,0.14523856341838837,0.05,64762.79269981384
67000,670,,,0.20224332809448242,0.05,65775.45221352577
68000,680,,,0.18490491807460785,0.05,66690.20147800446
69000,690,,,0.09612526744604111,0.05,67588.70535516739
70000,700,,,0.1990663856267929,0.05,68565.47100329399
71000,710,,,0.13965819776058197,0.05,69501.3004386425
72000,720,,,0.11420197784900665,0.05,70438.97149014473
73000,730,,,0.1365194171667099,0.05,71299.54592990875
74000,740,,,0.1197255477309227,0.05,72215.36856198311
75000,750,,,0.15150494873523712,0.05,73162.37391734123
76000,760,,,0.13123327493667603,0.05,74121.44385433197
77000,770,,,0.12111622095108032,0.05,75075.09956049919
78000,780,,,0.11609618365764618,0.05,75981.49932289124
79000,790,,,0.0991324633359909,0.05,77027.96231079102
80000,800,,,0.06648199260234833,0.05,78065.84653782845
81000,810,,,0.14891758561134338,0.05,79058.658898592
82000,820,,,0.13073433935642242,0.05,80068.23091864586
83000,830,,,0.10035146027803421,0.05,81031.92849826813
84000,840,,,0.1479267030954361,0.05,81992.38006567955
85000,850,,,0.11771585047245026,0.05,82978.73432016373
86000,860,,,0.12180610746145248,0.05,83906.15604281425
87000,870,,,0.10427486151456833,0.05,84798.11167216301
88000,880,,,0.1208738312125206,0.05,85716.68823647499
89000,890,,,0.11450953036546707,0.05,86718.66773509979
90000,900,,,0.1442965269088745,0.05,87705.61938524246
91000,910,,,0.23531368374824524,0.05,88706.48548793793
92000,920,,,0.15174612402915955,0.05,89627.10385036469
93000,930,,,0.16869120299816132,0.05,90567.85594272614
94000,940,,,0.12351065874099731,0.05,91555.93566823006
95000,950,,,0.16701480746269226,0.05,92471.14348721504
96000,960,,,0.11458016186952591,0.05,93438.60709023476
97000,970,,,0.17694450914859772,0.05,94320.29475092888
98000,980,,,0.10821275413036346,0.05,95256.09641265869
99000,990,,,0.17071284353733063,0.05,96173.40424990654
100000,1000,,,0.11310634762048721,0.05,97042.29810380936
101000,1010,,,0.11363916099071503,0.05,97913.29208469391
102000,1020,,,0.11241734772920609,0.05,98868.02020692825
103000,1030,,,0.13949233293533325,0.05,99778.96055078506
104000,1040,,,0.16073057055473328,0.05,100703.15294361115
105000,1050,,,0.11767035722732544,0.05,101575.41248989105
106000,1060,,,0.18065032362937927,0.05,102449.53119802475
107000,1070,,,0.1023063063621521,0.05,103297.3681075573
108000,1080,,,0.2003118246793747,0.05,104182.98556280136
109000,1090,,,0.10976052284240723,0.05,105052.4388077259
110000,1100,,,0.18296432495117188,0.05,105863.44669938087
111000,1110,,,0.08198095858097076,0.05,106711.5597422123
112000,1120,,,0.14970870316028595,0.05,107557.55637383461
113000,1130,,,0.10241526365280151,0.05,108410.4010360241
114000,1140,,,0.11476267129182816,0.05,109313.8204023838
115000,1150,,,0.1769505888223648,0.05,110152.059674263
116000,1160,,,0.10908088088035583,0.05,111007.8293902874
117000,1170,,,0.1212134063243866,0.05,111868.88756418228
118000,1180,,,0.21290907263755798,0.05,112728.0281715393
119000,1190,,,0.11240658164024353,0.05,113593.01646590233
120000,1200,,,0.17218106985092163,0.05,114432.89494252205
121000,1210,,,0.1306750774383545,0.05,115303.05472707748
122000,1220,,,0.14774851500988007,0.05,116177.23734021187
123000,1230,,,0.2026100754737854,0.05,117040.75368857384
124000,1240,,,0.15398846566677094,0.05,117900.8737578392
125000,1250,,,0.08928125351667404,0.05,118710.4645910263
126000,1260,,,0.17808878421783447,0.05,119544.83177471161
127000,1270,,,0.18811455368995667,0.05,120385.14402103424
128000,1280,,,0.11412554979324341,0.05,121249.7992208004
129000,1290,,,0.13120964169502258,0.05,122083.9313287735
130000,1300,,,0.11345410346984863,0.05,122927.58091163635
131000,1310,,,0.14239802956581116,0.05,123753.77787041664
132000,1320,,,0.10544005036354065,0.05,124568.80330228806
133000,1330,,,0.12612667679786682,0.05,125407.69200205803
134000,1340,,,0.13059014081954956,0.05,126205.9460735321
135000,1350,,,0.10356946289539337,0.05,127008.49506950378
136000,1360,,,0.07834410667419434,0.05,127815.63275003433
137000,1370,,,0.08436676859855652,0.05,128660.73050355911
138000,1380,,,0.14802667498588562,0.05,129506.58337211609
139000,1390,,,0.14449886977672577,0.05,130354.12358617783
140000,1400,,,0.10904090106487274,0.05,131185.23861408234
