episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
5,-1486.45,62,1,1000,215,65,62,1054.0386605262756
7,-1485.8000000000004,62,1,1000,141,62,62,1575.0375390052795
8,-1484.7000000000003,62,1,1000,306,66,62,1842.1065816879272
9,-1486.5000000000005,62,1,1000,209,70,62,2124.321841478348
10,-1488.5000000000002,62,1,1000,758,68,62,2396.9818024635315
14,-1488.95,62,1,1000,141,53,62,3246.203778028488
20,-1496.0,-298,0,1000,0,20,62,4135.8676879405975
30,-1496.4500000000003,-298,0,1000,0,11,62,5356.069947004318
40,-1496.85,-298,0,1000,0,3,62,6562.806163549423
50,-1496.85,-298,0,1000,0,3,62,7767.66633439064
60,-1496.85,-298,0,1000,0,3,62,8970.877477169037
70,-1494.9000000000003,-298,0,1000,0,42,62,10237.686712741852
80,-1495.15,-298,0,1000,0,37,62,11589.631200551987
90,-1495.2,-298,0,1000,0,36,62,13296.79953289032
100,-1495.15,-298,0,1000,0,37,62,15183.11361002922
110,-1495.15,-298,0,1000,0,37,62,17171.220219373703
120,-1495.2000000000003,-298,0,1000,0,36,62,19027.964257478714
130,-1495.1499999999999,-298,0,1000,0,37,62,21278.496182203293
140,-1495.1499999999999,-298,0,1000,0,37,62,23555.04448914528
150,-1495.05,-298,0,1000,0,39,62,25881.249557971954
160,-1495.0,-298,0,1000,0,40,62,28077.973586559296
170,-1495.15,-298,0,1000,0,37,62,29970.93484687805
180,-1494.9499999999998,-298,0,1000,0,41,62,31830.569754600525
190,-1494.9500000000003,-298,0,1000,0,41,62,33697.542539834976
200,-1494.9500000000003,-298,0,1000,0,41,62,35507.67369747162
210,-1494.95,-298,0,1000,0,41,62,37350.07232737541
220,-1495.0000000000002,-298,0,1000,0,40,62,39224.65996623039
230,-1494.95,-298,0,1000,0,41,62,41184.79036664963
240,-1494.95,-298,0,1000,0,41,62,43066.80917477608
250,-1494.9499999999998,-298,0,1000,0,41,62,44740.19346690178
260,-1494.9499999999998,-298,0,1000,0,41,62,46654.23835158348
270,-1495.0500000000002,-298,0,1000,0,39,62,48622.23538970947
280,-1495.05,-298,0,1000,0,39,62,50733.776738882065
290,-1494.6500000000003,-298,0,1000,0,47,62,52944.09833526611
300,-1494.25,-298,0,1000,0,55,62,55347.25590658188
310,-1494.4,-298,0,1000,0,52,62,57744.173000097275
320,-1494.3500000000001,-298,0,1000,0,53,62,60162.52909660339
330,-1494.4000000000008,-298,0,1000,0,52,62,62525.13491106033
340,-1494.3,-298,0,1000,0,54,62,64905.84026646614
