episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
1,-1489.75,62,1,1000,244,57,62,272.89115834236145
3,-1477.4500000000007,62,1,1000,416,65,62,943.2640323638916
4,-1485.850000000001,62,1,1000,490,59,62,1338.0773074626923
5,-1444.1,62,1,1000,11,64,62,1779.765608549118
6,-1385.6999999999998,62,1,1000,152,62,62,2324.657458782196
7,-1391.1499999999992,62,1,1000,6,59,62,2882.816405773163
8,-1369.3499999999997,62,1,1000,22,55,62,3462.1915555000305
9,-1422.4499999999998,62,1,1000,8,61,62,3984.8328940868378
10,-1429.2,422,2,1000,335,86,422,4497.209629774094
13,-1439.6999999999996,422,2,1000,350,76,422,5821.861152172089
14,-1456.2000000000003,422,2,1000,135,88,422,6211.290061950684
20,-1462.7500000000007,422,2,1000,414,83,422,8871.33369398117
21,-1458.1,422,2,1000,910,74,422,9387.187346696854
22,-1452.6000000000006,422,2,1000,667,80,422,9889.105355262756
30,-1471.7000000000005,62,1,1000,132,62,422,12725.021834135056
32,-1458.0500000000013,422,2,1000,600,77,422,13420.390054225922
38,-1477.2500000000002,422,2,1000,290,79,422,15527.793232440948
40,-1485.0500000000002,62,1,1000,205,55,422,16089.380663394928
50,-1473.8000000000002,422,2,1000,110,82,422,19370.444925308228
57,-1468.6,422,2,1000,126,86,422,21639.670398950577
60,-1467.2500000000011,422,2,1000,179,85,422,22638.72433900833
61,-1475.050000000001,422,2,1000,490,77,422,23008.578863620758
64,-1465.350000000001,422,2,1000,897,83,422,24022.523026943207
65,-1469.5500000000006,422,2,1000,629,91,422,24437.98243165016
66,-1468.8000000000006,422,2,1000,858,74,422,24788.794390439987
68,-1472.0000000000011,422,2,1000,901,78,422,25440.16669344902
69,-1470.3500000000001,422,2,1000,351,81,422,25789.835141181946
70,-1474.2,62,1,1000,190,64,422,26090.82666015625
72,-1471.5000000000005,422,2,1000,983,86,422,26717.037412166595
73,-1477.8000000000013,422,2,1000,422,80,422,27040.76967215538
77,-1467.7,422,2,1000,615,76,422,28291.46342396736
80,-1482.5000000000002,62,1,1000,65,68,422,29256.314088344574
88,-1476.1000000000015,422,2,1000,659,82,422,31708.965015888214
90,-1478.8000000000002,62,1,1000,79,66,422,32301.317071676254
92,-1477.5500000000009,422,2,1000,497,79,422,32914.17098784447
100,-1479.0000000000002,62,1,1000,188,68,422,35538.52872276306
108,-1479.0000000000014,422,2,1000,513,74,422,38129.330961704254
110,-1485.4999999999998,62,1,1000,220,66,422,38730.64862728119
120,-1490.5500000000004,62,1,1000,982,51,422,41613.42562294006
130,-1486.5500000000009,62,1,1000,534,63,422,44235.13700604439
140,-1480.500000000001,422,2,1000,653,78,422,46932.22240614891
150,-1478.0000000000002,62,1,1000,39,82,422,49819.592671871185
160,-1482.8999999999999,62,1,1000,154,60,422,52685.166060209274
167,-1471.050000000002,422,2,1000,488,87,422,54724.004922389984
170,-1480.200000000001,62,1,1000,76,76,422,55709.11134028435
173,-1475.8500000000013,422,2,1000,702,83,422,56745.68498110771
174,-1463.450000000001,422,2,1000,803,85,422,57090.27745628357
180,-1474.75,62,1,1000,18,73,422,58901.56433749199
189,-1471.6000000000004,422,2,1000,872,88,422,61558.40494656563
190,-1478.5,62,1,1000,66,72,422,61852.131331920624
200,-1482.6500000000003,62,1,1000,319,65,422,64514.30642271042
210,-1486.1500000000005,62,1,1000,568,61,422,67294.32473874092
220,-1482.5000000000007,62,1,1000,460,68,422,69809.88453531265
221,-1473.7000000000012,422,2,1000,634,86,422,70126.3930439949
230,-1481.9000000000015,62,1,1000,206,86,422,72523.98536086082
240,-1480.5500000000004,62,1,1000,191,71,422,75094.78848862648
249,-1468.6500000000005,422,2,1000,387,89,422,77729.11395192146
250,-1482.45,62,1,1000,164,75,422,78039.55666208267
253,-1483.6000000000008,422,2,1000,380,74,422,79012.7510561943
260,-1476.400000000001,62,1,1000,66,76,422,81228.5045952797
270,-1482.75,62,1,1000,223,71,422,84011.7002632618
280,-1485.0000000000005,422,2,1000,494,84,422,86848.49909424782
290,-1484.0500000000006,62,1,1000,252,81,422,89331.4715397358
300,-1485.6499999999999,62,1,1000,163,71,422,92082.37304496765
310,-1488.7500000000005,62,1,1000,627,57,422,94485.76344490051
320,-1484.7,62,1,1000,94,66,422,97270.37017059326
330,-1482.2000000000007,62,1,1000,144,76,422,100274.40331220627
340,-1487.1000000000001,62,1,1000,989,58,422,103337.98412942886
350,-1482.350000000001,62,1,1000,454,71,422,106129.57944703102
360,-1483.1000000000006,62,1,1000,276,64,422,109146.47633171082
370,-1488.7000000000003,62,1,1000,117,58,422,111906.73211717606
380,-1476.9500000000005,62,1,1000,229,73,422,114777.12881064415
389,-1475.750000000001,422,2,1000,707,85,422,117549.7967350483
390,-1476.3500000000008,62,1,1000,109,79,422,117907.68900108337
400,-1486.2500000000007,62,1,1000,110,69,422,120730.53253531456
410,-1472.6,62,1,1000,144,78,422,123606.72743844986
416,-1466.9500000000005,422,2,1000,163,89,422,125574.94683933258
420,-1473.2000000000005,62,1,1000,21,84,422,126943.58374452591
430,-1480.2000000000005,62,1,1000,11,76,422,130181.26187992096
435,-1466.8000000000006,422,2,1000,889,88,422,131906.4678413868
440,-1483.7500000000014,62,1,1000,538,81,422,133440.97455215454
444,-1477.6000000000006,422,2,1000,870,82,422,134672.7462720871
450,-1486.1500000000003,62,1,1000,894,71,422,136597.9684522152
460,-1474.1000000000006,62,1,1000,18,84,422,139657.46365451813
470,-1486.2500000000002,62,1,1000,322,71,422,142904.7847378254
480,-1483.000000000001,62,1,1000,458,78,422,146207.36152935028
485,-1470.1500000000003,422,2,1000,75,85,422,147912.978420496
489,-1473.7,422,2,1000,965,84,422,149297.0596060753
490,-1473.1000000000004,62,1,1000,12,86,422,149661.085865736
500,-1469.4500000000005,62,1,1000,141,91,422,153060.53876137733
507,-1466.6500000000005,422,2,1000,444,91,422,155337.26844215393
510,-1471.8500000000004,62,1,1000,34,91,422,156338.77117490768
520,-1478.3000000000002,62,1,1000,179,76,422,159571.60590219498
530,-1488.1500000000003,62,1,1000,102,69,422,162441.60706281662
540,-1488.3500000000001,62,1,1000,293,65,422,165087.1243736744
550,-1482.5000000000005,62,1,1000,87,74,422,167915.49526762962
560,-1482.1500000000005,62,1,1000,99,75,422,170885.74409914017
570,-1485.0000000000002,62,1,1000,304,76,422,174106.01468133926
580,-1488.3000000000002,62,1,1000,144,66,422,177384.3112974167
590,-1487.9,62,1,1000,92,74,422,180585.27800107002
600,-1488.5500000000002,62,1,1000,190,61,422,183919.23742222786
610,-1494.3500000000004,-298,0,1000,0,53,422,187358.58004546165
620,-1477.250000000001,422,2,1000,559,87,422,190866.22807574272
624,-1466.7500000000002,422,2,1000,512,93,422,192206.430226326
630,-1484.5000000000007,62,1,1000,6,86,422,194236.04488420486
632,-1473.45,422,2,1000,393,91,422,194983.95813918114
640,-1478.3,62,1,1000,290,76,422,197689.33327817917
650,-1486.1499999999999,62,1,1000,125,71,422,201171.83757090569
655,-1476.3000000000009,422,2,1000,434,88,422,202779.257979393
660,-1487.4500000000012,62,1,1000,862,83,422,204279.6674706936
670,-1484.050000000001,62,1,1000,595,75,422,207236.02307844162
680,-1471.6500000000015,422,2,1000,928,91,422,210289.40608382225
690,-1486.4500000000003,62,1,1000,320,65,422,213314.7619020939
698,-1472.7500000000002,422,2,1000,875,99,422,215811.04140853882
700,-1474.2000000000007,62,1,1000,172,88,422,216366.016187191
710,-1481.8500000000004,62,1,1000,81,81,422,219442.9998075962
711,-1470.9500000000007,422,2,1000,843,99,422,219808.0804233551
719,-1475.4500000000012,422,2,1000,562,85,422,222308.81988334656
720,-1485.700000000001,62,1,1000,633,80,422,222583.26744627953
723,-1477.0000000000005,422,2,1000,84,92,422,223443.04971337318
730,-1478.650000000001,62,1,1000,366,69,422,225580.6331369877
733,-1471.3500000000006,422,2,1000,78,95,422,226522.74731373787
740,-1484.9,62,1,1000,118,64,422,228453.460416317
743,-1465.9000000000003,422,2,1000,573,88,422,229474.555229187
750,-1483.850000000001,62,1,1000,48,79,422,231720.18225979805
751,-1467.8000000000006,422,2,1000,81,92,422,232060.40735650063
755,-1481.0500000000006,422,2,1000,668,73,422,233353.52315878868
760,-1494.2500000000002,-298,0,1000,0,55,422,234951.18387174606
762,-1465.8500000000006,422,2,1000,423,87,422,235603.13138484955
770,-1482.6000000000013,62,1,1000,626,72,422,238039.56273651123
780,-1488.200000000001,62,1,1000,610,70,422,240987.18160152435
786,-1481.500000000001,422,2,1000,736,78,422,242904.55826687813
790,-1478.4,62,1,1000,249,74,422,244143.64546465874
797,-1480.7000000000003,422,2,1000,407,76,422,246311.51133728027
800,-1469.95,422,2,1000,339,83,422,247270.88058662415
810,-1482.9000000000012,62,1,1000,470,80,422,250577.2222981453
820,-1482.2000000000003,62,1,1000,211,74,422,253889.7914905548
825,-1470.150000000001,422,2,1000,332,79,422,255609.0807492733
830,-1475.8500000000008,422,2,1000,774,81,422,257373.73223900795
832,-1464.95,422,2,1000,327,87,422,258186.7248761654
835,-1463.75,422,2,1000,228,89,422,259191.2065536976
840,-1482.35,62,1,1000,79,71,422,260781.9150905609
843,-1476.1500000000008,422,2,1000,764,95,422,261822.60805749893
847,-1478.9000000000005,422,2,1000,460,92,422,263314.4686307907
850,-1472.4500000000005,62,1,1000,30,87,422,264391.602922678
856,-1480.6500000000015,422,2,1000,432,77,422,266628.58613705635
858,-1471.3500000000004,422,2,1000,223,95,422,267370.3373851776
859,-1471.9000000000003,422,2,1000,168,88,422,267754.5057544708
860,-1483.6500000000015,62,1,1000,736,83,422,268091.37877464294
863,-1483.6500000000003,422,2,1000,605,73,422,269229.2024190426
870,-1494.3500000000001,-298,0,1000,0,53,422,271726.4006476402
880,-1475.3000000000009,62,1,1000,343,80,422,274847.2869873047
890,-1482.0500000000002,62,1,1000,61,83,422,278077.9443049431
900,-1488.0499999999997,62,1,1000,204,71,422,281174.7188293934
901,-1483.0500000000015,422,2,1000,723,85,422,281490.56561231613
910,-1479.95,62,1,1000,36,83,422,284735.89754009247
913,-1474.5000000000011,422,2,1000,851,92,422,285730.4348785877
914,-1477.5000000000014,422,2,1000,423,82,422,286099.672144413
920,-1485.7,62,1,1000,59,80,422,288177.1654326916
922,-1463.3000000000013,422,2,1000,473,102,422,288970.02624320984
924,-1464.6000000000004,422,2,1000,336,94,422,289689.0054447651
925,-1475.8000000000006,422,2,1000,849,80,422,290041.9246752262
926,-1474.4000000000003,422,2,1000,91,86,422,290426.80065226555
929,-1467.9500000000005,422,2,1000,334,91,422,291453.15456175804
930,-1478.3000000000002,62,1,1000,20,76,422,291804.1027879715
931,-1469.7500000000011,422,2,1000,116,91,422,292139.458422184
932,-1477.8000000000002,422,2,1000,424,76,422,292458.8859348297
934,-1475.4000000000015,422,2,1000,732,86,422,293131.4055969715
940,-1487.850000000001,62,1,1000,811,75,422,295268.59984874725
943,-1475.9000000000003,422,2,1000,742,82,422,296219.7910473347
944,-1474.7000000000014,422,2,1000,738,88,422,296591.4131140709
945,-1478.0500000000004,422,2,1000,410,91,422,296932.05204463005
946,-1473.4000000000012,422,2,1000,521,86,422,297305.6354691982
947,-1472.400000000001,422,2,1000,200,92,422,297683.1842880249
948,-1470.550000000001,422,2,1000,869,93,422,298092.9047677517
950,-1476.1000000000006,422,2,1000,542,78,422,298869.2376420498
951,-1474.0500000000006,422,2,1000,692,91,422,299237.47276592255
953,-1471.7499999999998,422,2,1000,691,89,422,299976.6831305027
954,-1472.5500000000006,422,2,1000,392,87,422,300346.11083960533
956,-1469.5000000000014,422,2,1000,176,92,422,301061.7785305977
957,-1474.500000000001,422,2,1000,872,82,422,301398.26545619965
959,-1471.5500000000002,422,2,1000,536,85,422,302126.77264118195
960,-1472.5000000000007,422,2,1000,863,86,422,302470.0119998455
961,-1475.5500000000006,422,2,1000,433,83,422,302803.2409155369
962,-1473.7000000000003,422,2,1000,262,84,422,303160.09574222565
963,-1467.7000000000005,422,2,1000,13,94,422,303553.2412776947
964,-1481.550000000002,422,2,1000,780,93,422,303891.5295739174
965,-1470.6000000000006,422,2,1000,393,84,422,304251.7879309654
969,-1482.2500000000016,422,2,1000,553,81,422,305566.6574933529
970,-1460.1500000000012,422,2,1000,506,93,422,305955.48838973045
972,-1456.6,422,2,1000,107,90,422,306618.82111024857
973,-1474.150000000002,422,2,1000,557,93,422,306996.7761898041
974,-1472.9000000000005,422,2,1000,218,90,422,307302.2969133854
977,-1478.2500000000005,422,2,1000,366,89,422,308302.1476480961
978,-1470.2000000000007,422,2,1000,221,96,422,308593.9372665882
