episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
8,-14.0,62,1,100,58,0,62,463.9337999820709
10,-50.0,-298,0,100,0,0,62,578.4088842868805
20,-50.0,-298,0,100,0,0,62,1210.9412200450897
30,-50.0,-298,0,100,0,0,62,1804.5992381572723
40,-50.0,-298,0,100,0,0,62,2424.979318380356
47,-14.0,62,1,100,12,0,62,2837.1561946868896
50,-50.0,-298,0,100,0,0,62,3017.9016971588135
60,-50.0,-298,0,100,0,0,62,3641.4418561458588
70,-50.0,-298,0,100,0,0,62,4201.015958070755
71,-14.0,62,1,100,56,0,62,4274.859239816666
75,-14.0,62,1,100,86,0,62,4587.143013954163
80,-50.0,-298,0,100,0,0,62,4903.212217330933
90,-50.0,-298,0,100,0,0,62,5464.956209897995
100,-50.0,-298,0,100,0,0,62,6105.263724088669
110,-50.0,-298,0,100,0,0,62,6667.5692546367645
120,-50.0,-298,0,100,0,0,62,6990.016219854355
130,-50.0,-298,0,100,0,0,62,7653.889346837997
140,-50.0,-298,0,100,0,0,62,8363.242186546326
149,-14.0,62,1,100,33,0,62,8995.003420352936
150,-14.0,62,1,100,21,0,62,9055.680767774582
151,-14.0,62,1,100,36,0,62,9132.950000047684
157,-14.0,62,1,100,21,0,62,9641.054591417313
158,-14.0,62,1,100,79,0,62,9731.249692201614
159,-14.0,62,1,100,41,0,62,9782.603449106216
160,-14.0,62,1,100,73,0,62,9895.66314649582
161,-14.0,62,1,100,10,0,62,9965.669510602951
162,-14.0,62,1,100,14,0,62,10049.31145954132
164,-14.0,62,1,100,38,0,62,10237.964739084244
166,-14.0,62,1,100,100,0,62,10433.416347026825
167,-14.0,62,1,100,12,0,62,10529.98580288887
168,-14.0,62,1,100,30,0,62,10634.42845249176
169,-14.0,62,1,100,6,0,62,10712.290125608444
170,-14.0,62,1,100,35,0,62,10810.766602039337
171,-14.0,62,1,100,13,0,62,10886.249949932098
172,-14.0,62,1,100,86,0,62,10962.93781709671
173,-14.0,62,1,100,11,0,62,11022.132146120071
174,-14.0,62,1,100,18,0,62,11102.227201461792
175,-14.0,62,1,100,5,0,62,11172.242331981659
176,-14.0,62,1,100,7,0,62,11255.766827583313
177,-14.0,62,1,100,28,0,62,11332.951881408691
178,-14.0,62,1,100,10,0,62,11412.57385969162
179,-14.0,62,1,100,9,0,62,11482.700254678726
180,-14.0,62,1,100,5,0,62,11552.795136213303
181,-14.0,62,1,100,31,0,62,11649.625428676605
182,-14.0,62,1,100,33,0,62,11738.551707029343
183,-14.0,62,1,100,7,0,62,11843.559313774109
184,-14.0,62,1,100,10,0,62,11951.279221534729
185,-14.0,62,1,100,10,0,62,12042.071601390839
186,-14.0,62,1,100,81,0,62,12176.350404024124
187,-14.0,62,1,100,30,0,62,12279.898390054703
188,-14.0,62,1,100,5,0,62,12386.8332965374
190,-14.0,62,1,100,71,0,62,12578.367923021317
191,-14.0,62,1,100,10,0,62,12665.312541246414
192,-14.0,62,1,100,38,0,62,12775.439156293869
193,-14.0,62,1,100,5,0,62,12868.4674680233
194,-14.0,62,1,100,5,0,62,12978.00552725792
195,-14.0,62,1,100,8,0,62,13080.891926288605
196,-14.0,62,1,100,12,0,62,13193.55589389801
197,-14.0,62,1,100,10,0,62,13297.74759054184
199,-14.0,62,1,100,80,0,62,13534.522766590118
200,-50.0,-298,0,100,0,0,62,13644.559763669968
201,-14.0,62,1,100,85,0,62,13743.684066534042
202,-14.0,62,1,100,8,0,62,13855.960156440735
203,-14.0,62,1,100,7,0,62,13963.54361796379
204,-14.0,62,1,100,5,0,62,14067.894892454147
205,-14.0,62,1,100,5,0,62,14165.555203914642
206,-14.0,62,1,100,5,0,62,14227.985271453857
207,-14.0,62,1,100,8,0,62,14348.815373182297
208,-14.0,62,1,100,8,0,62,14468.744556427002
209,-14.0,62,1,100,5,0,62,14587.864468812943
210,-14.0,62,1,100,5,0,62,14715.579344034195
211,-14.0,62,1,100,8,0,62,14831.365938186646
212,-14.0,62,1,100,8,0,62,14914.230477333069
213,-14.0,62,1,100,8,0,62,14999.438174009323
214,-14.0,62,1,100,8,0,62,15100.119643688202
215,-14.0,62,1,100,6,0,62,15195.340350151062
216,-14.0,62,1,100,6,0,62,15296.030109882355
217,-14.0,62,1,100,8,0,62,15383.236311912537
218,-14.0,62,1,100,6,0,62,15456.420276165009
219,-14.0,62,1,100,8,0,62,15531.388521194458
220,-14.0,62,1,100,20,0,62,15603.36813879013
221,-14.0,62,1,100,8,0,62,15690.979852676392
222,-14.0,62,1,100,8,0,62,15797.238361120224
223,-14.0,62,1,100,8,0,62,15874.049184799194
224,-14.0,62,1,100,8,0,62,15942.098216056824
225,-14.0,62,1,100,6,0,62,16019.767356395721
226,-14.0,62,1,100,20,0,62,16094.618319511414
227,-14.0,62,1,100,14,0,62,16172.62866282463
228,-14.0,62,1,100,8,0,62,16285.916594982147
229,-14.0,62,1,100,8,0,62,16375.79237818718
230,-14.0,62,1,100,5,0,62,16477.562119483948
231,-14.0,62,1,100,16,0,62,16567.29342532158
232,-14.0,62,1,100,8,0,62,16681.652447223663
233,-14.0,62,1,100,8,0,62,16758.05991768837
234,-14.0,62,1,100,8,0,62,16875.52347302437
235,-14.0,62,1,100,8,0,62,16991.91748070717
236,-14.0,62,1,100,8,0,62,17083.793977499008
237,-14.0,62,1,100,8,0,62,17191.197324037552
238,-14.0,62,1,100,14,0,62,17301.69219326973
239,-14.0,62,1,100,9,0,62,17407.32608270645
240,-14.0,62,1,100,13,0,62,17528.78484606743
241,-14.0,62,1,100,5,0,62,17624.2747027874
242,-14.0,62,1,100,85,0,62,17700.26850962639
243,-14.0,62,1,100,8,0,62,17748.169417381287
244,-14.0,62,1,100,8,0,62,17859.934891700745
245,-14.0,62,1,100,8,0,62,17926.23962521553
246,-14.0,62,1,100,5,0,62,18026.180693864822
247,-14.0,62,1,100,8,0,62,18132.091552972794
248,-14.0,62,1,100,16,0,62,18225.40390777588
249,-14.0,62,1,100,13,0,62,18319.19756770134
250,-14.0,62,1,100,8,0,62,18435.740604639053
251,-14.0,62,1,100,20,0,62,18521.339906692505
252,-14.0,62,1,100,8,0,62,18620.26240515709
253,-14.0,62,1,100,8,0,62,18708.1784055233
254,-14.0,62,1,100,17,0,62,18778.785581111908
255,-14.0,62,1,100,30,0,62,18824.923441886902
256,-14.0,62,1,100,28,0,62,18890.37248325348
257,-14.0,62,1,100,5,0,62,18956.882766246796
258,-14.0,62,1,100,56,0,62,19038.17808198929
259,-14.0,62,1,100,32,0,62,19114.325445652008
260,-14.0,62,1,100,8,0,62,19178.84068107605
261,-14.0,62,1,100,6,0,62,19261.133268356323
262,-14.0,62,1,100,21,0,62,19345.097093343735
