episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
6,-14.0,62,1,100,77,0,62,346.8476514816284
10,-50.0,-298,0,100,0,0,62,601.4966583251953
13,-14.0,62,1,100,74,0,62,809.048360824585
14,-14.0,62,1,100,55,0,62,874.1582598686218
18,-14.0,62,1,100,81,0,62,1179.831494808197
20,-14.0,62,1,100,89,0,62,1323.249938249588
23,-14.0,62,1,100,83,0,62,1542.7169160842896
24,-14.0,62,1,100,68,0,62,1623.3935403823853
25,-14.0,62,1,100,14,0,62,1704.9937891960144
30,-14.0,62,1,100,89,0,62,2083.8755967617035
31,-14.0,62,1,100,8,0,62,2184.035695552826
32,-14.0,62,1,100,54,0,62,2280.935131072998
33,-14.0,62,1,100,69,0,62,2389.6933987140656
34,-14.0,62,1,100,58,0,62,2496.0667448043823
35,-14.0,62,1,100,58,0,62,2588.884705066681
36,-14.0,62,1,100,40,0,62,2680.6160695552826
37,-14.0,62,1,100,91,0,62,2756.1874997615814
38,-14.0,62,1,100,12,0,62,2840.825691461563
39,-14.0,62,1,100,11,0,62,2936.0158886909485
40,-50.0,-298,0,100,0,0,62,3026.9832644462585
41,-14.0,62,1,100,73,0,62,3124.1788787841797
42,-14.0,62,1,100,77,0,62,3229.618359565735
43,-14.0,62,1,100,32,0,62,3334.512528657913
44,-14.0,62,1,100,14,0,62,3452.6838688850403
45,-14.0,62,1,100,9,0,62,3541.932476043701
46,-14.0,62,1,100,19,0,62,3653.590054988861
47,-14.0,62,1,100,10,0,62,3747.218543767929
48,-14.0,62,1,100,8,0,62,3853.5361328125
49,-14.0,62,1,100,8,0,62,3958.16010928154
50,-14.0,62,1,100,11,0,62,4066.9057166576385
51,-14.0,62,1,100,7,0,62,4179.604887962341
52,-14.0,62,1,100,40,0,62,4300.741170167923
53,-14.0,62,1,100,9,0,62,4433.844653844833
54,-14.0,62,1,100,18,0,62,4575.7250208854675
55,-14.0,62,1,100,6,0,62,4694.957201719284
56,-14.0,62,1,100,10,0,62,4801.774109125137
57,-14.0,62,1,100,10,0,62,4922.727068185806
58,-14.0,62,1,100,14,0,62,5027.075603723526
59,-14.0,62,1,100,5,0,62,5126.07209610939
60,-14.0,62,1,100,9,0,62,5217.8427855968475
61,-14.0,62,1,100,15,0,62,5349.255718946457
62,-14.0,62,1,100,47,0,62,5466.279487133026
63,-14.0,62,1,100,6,0,62,5584.7485592365265
64,22.0,422,2,100,30,0,422,5703.778578996658
70,-14.0,62,1,100,9,0,422,6403.779806137085
80,-14.0,62,1,100,7,0,422,7550.123307943344
90,-14.0,62,1,100,18,0,422,8696.995144844055
100,-14.0,62,1,100,23,0,422,9837.264612197876
110,-14.0,62,1,100,14,0,422,11023.142405986786
120,-14.0,62,1,100,7,0,422,12194.606452941895
130,-14.0,62,1,100,7,0,422,13249.973462820053
140,-14.0,62,1,100,6,0,422,14307.452832221985
150,-14.0,62,1,100,7,0,422,15393.36894249916
160,-14.0,62,1,100,7,0,422,16452.778645038605
170,-14.0,62,1,100,7,0,422,17306.76361989975
180,-14.0,62,1,100,23,0,422,18340.169583320618
190,-14.0,62,1,100,15,0,422,19393.775182008743
200,-14.0,62,1,100,7,0,422,20412.476184368134
210,-14.0,62,1,100,7,0,422,21553.267503261566
220,-14.0,62,1,100,7,0,422,22592.50857782364
230,-14.0,62,1,100,6,0,422,23696.75525379181
240,-14.0,62,1,100,7,0,422,24799.703654766083
250,-14.0,62,1,100,7,0,422,25715.468756198883
260,-14.0,62,1,100,7,0,422,26825.129468679428
270,-14.0,62,1,100,7,0,422,27906.85102534294
280,-14.0,62,1,100,7,0,422,28998.7204041481
290,-14.0,62,1,100,7,0,422,30069.158644914627
300,-14.0,62,1,100,7,0,422,31155.81103372574
310,-14.0,62,1,100,7,0,422,32244.787205934525
320,-14.0,62,1,100,7,0,422,33345.36703276634
330,-14.0,62,1,100,7,0,422,34436.64094901085
340,-14.0,62,1,100,7,0,422,35463.768721818924
350,-14.0,62,1,100,7,0,422,36530.00862765312
360,-14.0,62,1,100,7,0,422,37595.86690759659
370,-14.0,62,1,100,7,0,422,38689.412878513336
380,-14.0,62,1,100,7,0,422,39778.39614582062
390,-14.0,62,1,100,7,0,422,40863.32532644272
400,-14.0,62,1,100,7,0,422,41957.92393541336
410,-14.0,62,1,100,7,0,422,43000.69375681877
420,-14.0,62,1,100,7,0,422,44087.218885183334
430,-14.0,62,1,100,7,0,422,45156.206926345825
440,-14.0,62,1,100,7,0,422,46208.5660738945
450,-14.0,62,1,100,7,0,422,47290.58187532425
460,-14.0,62,1,100,7,0,422,48316.298978328705
470,-14.0,62,1,100,7,0,422,49323.8653151989
480,-14.0,62,1,100,7,0,422,50389.52317047119
490,-14.0,62,1,100,7,0,422,51445.54240107536
500,-14.0,62,1,100,7,0,422,52505.20766401291
510,-14.0,62,1,100,7,0,422,53566.50066924095
520,-14.0,62,1,100,7,0,422,54644.530732393265
530,-14.0,62,1,100,7,0,422,55707.16072058678
540,-14.0,62,1,100,7,0,422,56758.79825091362
550,-14.0,62,1,100,7,0,422,57814.24235987663
560,-14.0,62,1,100,7,0,422,58911.011308670044
570,-14.0,62,1,100,7,0,422,60006.58137488365
580,-14.0,62,1,100,7,0,422,61077.27680635452
590,-14.0,62,1,100,7,0,422,62121.872349739075
600,-14.0,62,1,100,7,0,422,63167.91852617264
610,-14.0,62,1,100,7,0,422,64231.96192455292
620,-14.0,62,1,100,7,0,422,65307.78890109062
630,-14.0,62,1,100,7,0,422,66403.70425343513
640,-14.0,62,1,100,7,0,422,67450.02065968513
650,-14.0,62,1,100,7,0,422,68494.99811768532
660,-14.0,62,1,100,7,0,422,69554.60991382599
670,-14.0,62,1,100,7,0,422,70646.31365942955
680,-14.0,62,1,100,7,0,422,71710.47308540344
690,-14.0,62,1,100,7,0,422,72777.79825139046
700,-14.0,62,1,100,7,0,422,73825.97940039635
710,-14.0,62,1,100,7,0,422,74891.33141851425
720,-14.0,62,1,100,7,0,422,75991.27110624313
730,-14.0,62,1,100,7,0,422,77056.0418305397
740,-14.0,62,1,100,7,0,422,78122.14086270332
750,-14.0,62,1,100,7,0,422,79167.87119841576
760,-14.0,62,1,100,7,0,422,80210.90194559097
770,-14.0,62,1,100,7,0,422,81294.51570367813
780,-14.0,62,1,100,7,0,422,82328.65616607666
790,-14.0,62,1,100,7,0,422,83411.42034888268
800,-14.0,62,1,100,7,0,422,84471.44592046738
810,-14.0,62,1,100,7,0,422,85323.72022652626
820,-14.0,62,1,100,7,0,422,86152.92900943756
830,-14.0,62,1,100,7,0,422,86983.7472846508
840,-14.0,62,1,100,7,0,422,87805.99186754227
850,-14.0,62,1,100,7,0,422,88626.18791937828
860,-14.0,62,1,100,7,0,422,89352.00252652168
870,-14.0,62,1,100,7,0,422,90000.6728823185
880,-14.0,62,1,100,7,0,422,90635.19148516655
890,-14.0,62,1,100,7,0,422,91188.58277320862
900,-14.0,62,1,100,7,0,422,91735.20034718513
910,-14.0,62,1,100,7,0,422,92275.53508138657
920,-14.0,62,1,100,7,0,422,92820.68434596062
930,-14.0,62,1,100,7,0,422,93359.03127598763
940,-14.0,62,1,100,7,0,422,93900.46624326706
950,-14.0,62,1,100,7,0,422,94445.73852443695
960,-14.0,62,1,100,7,0,422,94991.18105888367
970,-14.0,62,1,100,7,0,422,95539.73322963715
980,-14.0,62,1,100,7,0,422,96090.2278649807
990,-14.0,62,1,100,7,0,422,96637.27750277519
1000,-14.0,62,1,100,7,0,422,97184.21636581421
1010,-14.0,62,1,100,7,0,422,97728.22679924965
1020,-14.0,62,1,100,7,0,422,98271.232265234
1030,-14.0,62,1,100,7,0,422,98819.51953959465
1040,-14.0,62,1,100,7,0,422,99363.79424190521
1050,-14.0,62,1,100,7,0,422,99910.86139702797
1060,-14.0,62,1,100,7,0,422,100459.85545659065
1070,-14.0,62,1,100,7,0,422,101009.25259804726
1080,-14.0,62,1,100,7,0,422,101556.4756424427
1090,-14.0,62,1,100,7,0,422,102104.2116150856
1100,-14.0,62,1,100,7,0,422,102651.12746691704
1110,-14.0,62,1,100,9,0,422,103197.36021232605
1120,-14.0,62,1,100,6,0,422,103749.31949305534
1130,-14.0,62,1,100,9,0,422,104296.57607030869
1140,-14.0,62,1,100,6,0,422,104867.47937631607
1150,-14.0,62,1,100,6,0,422,105423.44746494293
1160,-14.0,62,1,100,6,0,422,105970.14168357849
1170,-14.0,62,1,100,6,0,422,106523.10617351532
1180,-14.0,62,1,100,6,0,422,107104.17554020882
1190,-14.0,62,1,100,6,0,422,107661.89145469666
1200,-14.0,62,1,100,9,0,422,108216.95674729347
1210,-14.0,62,1,100,6,0,422,108773.21779990196
1220,-14.0,62,1,100,6,0,422,109322.40704226494
1230,-14.0,62,1,100,6,0,422,109916.99796581268
1240,-14.0,62,1,100,6,0,422,110506.49836540222
1250,-14.0,62,1,100,6,0,422,111049.05867028236
1260,-14.0,62,1,100,6,0,422,111589.35647058487
1270,-14.0,62,1,100,6,0,422,112109.05757069588
1280,-14.0,62,1,100,6,0,422,112640.59596085548
1290,-14.0,62,1,100,6,0,422,113183.13803052902
1300,-14.0,62,1,100,6,0,422,113734.82919311523
1310,-14.0,62,1,100,6,0,422,114282.15753817558
1320,-14.0,62,1,100,6,0,422,114827.77290558815
1330,-14.0,62,1,100,6,0,422,115366.06317520142
1340,-14.0,62,1,100,6,0,422,115876.78570127487
1350,-14.0,62,1,100,6,0,422,116397.60842561722
1360,-14.0,62,1,100,6,0,422,116897.19116640091
1370,-14.0,62,1,100,12,0,422,117418.61059355736
1380,-14.0,62,1,100,6,0,422,117895.76204609871
1390,-14.0,62,1,100,6,0,422,118412.68197870255
1400,-14.0,62,1,100,6,0,422,118924.9593462944
1410,-14.0,62,1,100,6,0,422,119437.3032438755
1420,-14.0,62,1,100,6,0,422,119958.5770471096
1430,-14.0,62,1,100,6,0,422,120481.35245394707
1440,-14.0,62,1,100,6,0,422,121024.49790525436
1450,-14.0,62,1,100,6,0,422,121557.22697162628
1460,-14.0,62,1,100,6,0,422,122076.16603446007
1470,-14.0,62,1,100,6,0,422,122607.68685531616
1480,-14.0,62,1,100,6,0,422,123130.92470526695
1490,-14.0,62,1,100,6,0,422,123660.78236794472
1500,-14.0,62,1,100,6,0,422,124193.70998167992
1510,-14.0,62,1,100,6,0,422,124730.44534778595
1520,-14.0,62,1,100,7,0,422,125271.83343219757
1530,-14.0,62,1,100,6,0,422,125816.1816341877
1540,-14.0,62,1,100,6,0,422,126356.61173343658
1550,-14.0,62,1,100,6,0,422,126874.53706097603
1560,-14.0,62,1,100,6,0,422,127405.26303195953
1570,-14.0,62,1,100,6,0,422,127943.5610010624
1580,-14.0,62,1,100,6,0,422,128474.08572816849
1590,-14.0,62,1,100,6,0,422,129005.5144071579
1600,-14.0,62,1,100,6,0,422,129535.45220589638
1610,-14.0,62,1,100,6,0,422,130069.34564876556
1620,-14.0,62,1,100,6,0,422,130603.592607975
1630,-14.0,62,1,100,6,0,422,131131.10429787636
1640,-14.0,62,1,100,6,0,422,131656.93624806404
1650,-14.0,62,1,100,6,0,422,132182.79500293732
1660,-14.0,62,1,100,6,0,422,132708.2202246189
1670,-14.0,62,1,100,6,0,422,133224.24214553833
1680,-14.0,62,1,100,6,0,422,133753.93746328354
1690,-14.0,62,1,100,6,0,422,134287.72763991356
1700,-14.0,62,1,100,6,0,422,134818.0173099041
1710,-14.0,62,1,100,6,0,422,135345.4660630226
1720,-14.0,62,1,100,6,0,422,135881.208111763
1730,-14.0,62,1,100,6,0,422,136416.65498304367
1740,-14.0,62,1,100,6,0,422,136947.69957876205
1750,-14.0,62,1,100,6,0,422,137483.2837510109
1760,-14.0,62,1,100,6,0,422,138018.83442020416
1770,-14.0,62,1,100,6,0,422,138555.25421595573
1780,-14.0,62,1,100,6,0,422,139088.86454057693
1790,-14.0,62,1,100,6,0,422,139616.74229097366
1800,-14.0,62,1,100,6,0,422,140147.08189845085
1810,-14.0,62,1,100,6,0,422,140681.05929756165
1820,-14.0,62,1,100,6,0,422,141210.91423392296
1830,-14.0,62,1,100,6,0,422,141740.6300432682
1840,-14.0,62,1,100,6,0,422,142270.50744199753
1850,-14.0,62,1,100,6,0,422,142797.31765937805
1860,-14.0,62,1,100,6,0,422,143328.81960511208
1870,-14.0,62,1,100,6,0,422,143860.36872053146
1880,-14.0,62,1,100,6,0,422,144390.78597855568
1890,-14.0,62,1,100,6,0,422,144912.67940568924
1900,-14.0,62,1,100,6,0,422,145439.25826001167
1910,-14.0,62,1,100,6,0,422,145967.26294207573
1920,-14.0,62,1,100,6,0,422,146494.25119280815
1930,-14.0,62,1,100,6,0,422,147019.73582196236
1940,-14.0,62,1,100,6,0,422,147544.47054505348
1950,-14.0,62,1,100,6,0,422,148075.42543911934
1960,-14.0,62,1,100,6,0,422,148606.93222856522
1970,-14.0,62,1,100,6,0,422,149132.66609311104
1980,-14.0,62,1,100,6,0,422,149657.61064291
1990,-14.0,62,1,100,6,0,422,150181.77350473404
2000,-14.0,62,1,100,6,0,422,150707.57424020767
2010,-14.0,62,1,100,6,0,422,151231.13532304764
2020,-14.0,62,1,100,6,0,422,151760.70083236694
2030,-14.0,62,1,100,6,0,422,152285.84982323647
2040,-14.0,62,1,100,6,0,422,152808.58120942116
2050,-14.0,62,1,100,6,0,422,153334.4676706791
2060,-14.0,62,1,100,6,0,422,153862.418053627
2070,-14.0,62,1,100,6,0,422,154388.5210340023
2080,-14.0,62,1,100,6,0,422,154891.72156763077
2090,-14.0,62,1,100,6,0,422,155420.69858026505
2100,-14.0,62,1,100,6,0,422,155952.14780807495
2110,-14.0,62,1,100,6,0,422,156486.43787646294
2120,-14.0,62,1,100,6,0,422,157029.46423625946
2130,-14.0,62,1,100,6,0,422,157561.72845077515
2140,-14.0,62,1,100,6,0,422,158093.63679099083
2150,-14.0,62,1,100,6,0,422,158628.09795212746
2160,-14.0,62,1,100,6,0,422,159162.1220355034
2170,-14.0,62,1,100,6,0,422,159743.1469142437
2180,-14.0,62,1,100,6,0,422,160344.61001944542
2190,-14.0,62,1,100,6,0,422,160957.34459662437
2200,-14.0,62,1,100,6,0,422,161747.19949817657
