episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
3,-14.0,62,1,100,52,0,62,166.940331697464
10,-50.0,-298,0,100,0,0,62,555.6103706359863
15,-14.0,62,1,100,65,0,62,864.2424433231354
20,-50.0,-298,0,100,0,0,62,1118.1268346309662
30,-50.0,-298,0,100,0,0,62,1887.7023103237152
35,-14.0,62,1,100,45,0,62,2317.9804072380066
36,-14.0,62,1,100,58,0,62,2385.7208449840546
37,-14.0,62,1,100,9,0,62,2469.87256526947
40,-50.0,-298,0,100,0,0,62,2597.782842874527
43,-14.0,62,1,100,70,0,62,2759.9581260681152
45,-14.0,62,1,100,55,0,62,2909.6569023132324
49,-14.0,62,1,100,81,0,62,3158.7551946640015
50,-14.0,62,1,100,11,0,62,3251.1501994132996
51,-14.0,62,1,100,8,0,62,3378.9321739673615
52,-14.0,62,1,100,75,0,62,3422.8977947235107
53,-14.0,62,1,100,66,0,62,3525.6288776397705
54,-14.0,62,1,100,20,0,62,3566.8002450466156
55,-14.0,62,1,100,26,0,62,3671.2410368919373
56,-14.0,62,1,100,9,0,62,3752.4236602783203
57,-14.0,62,1,100,27,0,62,3836.099984407425
58,-14.0,62,1,100,21,0,62,3905.027463197708
59,-14.0,62,1,100,12,0,62,3977.4881217479706
60,-14.0,62,1,100,11,0,62,4084.7313165664673
61,-14.0,62,1,100,7,0,62,4201.893997907639
62,-14.0,62,1,100,16,0,62,4334.695894241333
63,-14.0,62,1,100,33,0,62,4476.63662481308
64,-14.0,62,1,100,8,0,62,4611.974856138229
65,-14.0,62,1,100,19,0,62,4739.056770801544
66,-14.0,62,1,100,12,0,62,4854.25833272934
67,-14.0,62,1,100,9,0,62,4965.544231176376
68,-14.0,62,1,100,64,0,62,5082.90381026268
69,-14.0,62,1,100,7,0,62,5200.949407339096
70,-14.0,62,1,100,5,0,62,5324.0823810100555
71,-14.0,62,1,100,14,0,62,5380.835717916489
72,-14.0,62,1,100,9,0,62,5493.673350095749
73,-14.0,62,1,100,9,0,62,5619.063019037247
74,-14.0,62,1,100,40,0,62,5726.871854543686
75,-14.0,62,1,100,6,0,62,5862.299626588821
76,-14.0,62,1,100,8,0,62,5935.847668170929
77,-14.0,62,1,100,11,0,62,6051.256218194962
78,-14.0,62,1,100,5,0,62,6121.612257003784
79,-14.0,62,1,100,5,0,62,6212.293788909912
80,-14.0,62,1,100,7,0,62,6303.37837767601
81,-14.0,62,1,100,5,0,62,6393.473744392395
82,-14.0,62,1,100,9,0,62,6474.947751522064
83,-14.0,62,1,100,9,0,62,6573.400315761566
84,-14.0,62,1,100,10,0,62,6613.804855585098
85,-14.0,62,1,100,6,0,62,6700.7272181510925
86,-14.0,62,1,100,8,0,62,6785.940746545792
87,-14.0,62,1,100,5,0,62,6878.512842416763
88,-14.0,62,1,100,9,0,62,6969.908821582794
89,-14.0,62,1,100,14,0,62,7069.000448942184
90,-14.0,62,1,100,60,0,62,7157.694341182709
91,-14.0,62,1,100,10,0,62,7236.790397167206
92,-14.0,62,1,100,8,0,62,7312.899078369141
93,-14.0,62,1,100,22,0,62,7403.453026533127
94,-14.0,62,1,100,30,0,62,7507.91142988205
95,-14.0,62,1,100,16,0,62,7592.445697784424
96,-14.0,62,1,100,59,0,62,7705.287170410156
97,-14.0,62,1,100,9,0,62,7811.244383573532
98,-14.0,62,1,100,10,0,62,7900.627726554871
99,-14.0,62,1,100,5,0,62,8006.1277551651
100,-14.0,62,1,100,6,0,62,8091.005924940109
