episode,reward,max_height,max_level,actions,actions_to_max_height,unique_positions,best_height_ever,time_seconds
10,-50.0,-298,0,100,0,0,0,579.4900329113007
20,-50.0,-298,0,100,0,0,0,1241.2753174304962
30,-50.0,-298,0,100,0,0,0,1914.0144877433777
40,-50.0,-298,0,100,0,0,0,2546.148412704468
50,-50.0,-298,0,100,0,0,0,3038.560712814331
60,-50.0,-298,0,100,0,0,0,3478.8060896396637
70,-50.0,-298,0,100,0,0,0,3813.2219297885895
79,-14.0,62,1,100,44,0,62,4126.311607122421
80,-50.0,-298,0,100,0,0,62,4167.444131612778
90,-50.0,-298,0,100,0,0,62,4587.284322977066
100,-50.0,-298,0,100,0,0,62,5031.050100326538
110,-50.0,-298,0,100,0,0,62,5571.06235909462
120,-50.0,-298,0,100,0,0,62,6237.171541929245
130,-50.0,-298,0,100,0,0,62,6967.359872102737
140,-50.0,-298,0,100,0,0,62,7898.143579721451
150,-50.0,-298,0,100,0,0,62,8799.325352668762
160,-50.0,-298,0,100,0,0,62,9634.177641153336
170,-50.0,-298,0,100,0,0,62,10471.291914224625
180,-50.0,-298,0,100,0,0,62,11314.024925231934
190,-50.0,-298,0,100,0,0,62,12126.134387731552
200,-50.0,-298,0,100,0,0,62,12900.700926303864
210,-50.0,-298,0,100,0,0,62,13636.879469871521
220,-50.0,-298,0,100,0,0,62,14294.192590236664
230,-50.0,-298,0,100,0,0,62,14923.176371097565
240,-50.0,-298,0,100,0,0,62,15659.708340644836
250,-50.0,-298,0,100,0,0,62,16448.86944961548
260,-50.0,-298,0,100,0,0,62,17178.274319171906
270,-50.0,-298,0,100,0,0,62,17780.951320171356
280,-50.0,-298,0,100,0,0,62,18373.136994838715
290,-50.0,-298,0,100,0,0,62,18966.929631471634
300,-50.0,-298,0,100,0,0,62,19395.30066370964
310,-50.0,-298,0,100,0,0,62,19789.261933088303
320,-50.0,-298,0,100,0,0,62,20127.019121170044
330,-50.0,-298,0,100,0,0,62,20477.171374320984
340,-50.0,-298,0,100,0,0,62,20754.553745269775
350,-50.0,-298,0,100,0,0,62,21028.559678316116
360,-50.0,-298,0,100,0,0,62,21292.79558968544
370,-50.0,-298,0,100,0,0,62,21527.05456018448
380,-50.0,-298,0,100,0,0,62,21753.72620534897
390,-50.0,-298,0,100,0,0,62,21996.896135807037
400,-50.0,-298,0,100,0,0,62,22224.215814828873
410,-50.0,-298,0,100,0,0,62,22452.30737543106
420,-50.0,-298,0,100,0,0,62,22687.862146615982
430,-50.0,-298,0,100,0,0,62,22942.099714279175
440,-50.0,-298,0,100,0,0,62,23168.622790813446
450,-50.0,-298,0,100,0,0,62,23391.23068714142
460,-50.0,-298,0,100,0,0,62,23607.56093096733
470,-50.0,-298,0,100,0,0,62,23862.56174683571
480,-50.0,-298,0,100,0,0,62,24145.617014169693
490,-50.0,-298,0,100,0,0,62,24390.94074678421
500,-50.0,-298,0,100,0,0,62,24653.026391267776
510,-50.0,-298,0,100,0,0,62,24889.778215646744
520,-50.0,-298,0,100,0,0,62,25149.79135131836
530,-50.0,-298,0,100,0,0,62,25358.50570511818
540,-50.0,-298,0,100,0,0,62,25579.385920763016
550,-50.0,-298,0,100,0,0,62,25809.317761182785
560,-50.0,-298,0,100,0,0,62,26026.075810670853
570,-50.0,-298,0,100,0,0,62,26256.42241001129
580,-50.0,-298,0,100,0,0,62,26475.75447821617
590,-50.0,-298,0,100,0,0,62,26701.633736371994
600,-50.0,-298,0,100,0,0,62,26925.89369916916
610,-50.0,-298,0,100,0,0,62,27146.870458841324
620,-50.0,-298,0,100,0,0,62,27374.558138608932
630,-50.0,-298,0,100,0,0,62,27603.327759981155
640,-50.0,-298,0,100,0,0,62,27814.684906482697
650,-50.0,-298,0,100,0,0,62,28043.16991186142
660,-50.0,-298,0,100,0,0,62,28272.563838243484
670,-50.0,-298,0,100,0,0,62,28514.934035778046
680,-50.0,-298,0,100,0,0,62,28723.216024637222
690,-50.0,-298,0,100,0,0,62,28942.371297359467
700,-50.0,-298,0,100,0,0,62,29135.802478075027
710,-50.0,-298,0,100,0,0,62,29367.586768388748
720,-50.0,-298,0,100,0,0,62,29580.143790960312
730,-50.0,-298,0,100,0,0,62,29782.228500127792
740,-50.0,-298,0,100,0,0,62,30023.08077979088
750,-50.0,-298,0,100,0,0,62,30238.27629828453
760,-50.0,-298,0,100,0,0,62,30446.72489452362
770,-50.0,-298,0,100,0,0,62,30664.229830503464
780,-50.0,-298,0,100,0,0,62,30895.763090372086
790,-50.0,-298,0,100,0,0,62,31113.672525644302
800,-50.0,-298,0,100,0,0,62,31336.28218460083
810,-50.0,-298,0,100,0,0,62,31571.1196975708
820,-50.0,-298,0,100,0,0,62,31794.062475442886
830,-50.0,-298,0,100,0,0,62,32027.23468899727
840,-50.0,-298,0,100,0,0,62,32226.967390060425
850,-50.0,-298,0,100,0,0,62,32448.519422769547
860,-50.0,-298,0,100,0,0,62,32672.4177236557
870,-50.0,-298,0,100,0,0,62,32908.225950717926
880,-50.0,-298,0,100,0,0,62,33143.71230983734
890,-50.0,-298,0,100,0,0,62,33358.51499938965
900,-50.0,-298,0,100,0,0,62,33600.35170888901
910,-50.0,-298,0,100,0,0,62,33833.36893367767
920,-50.0,-298,0,100,0,0,62,34047.95147252083
930,-50.0,-298,0,100,0,0,62,34272.836701869965
940,-50.0,-298,0,100,0,0,62,34495.0536570549
950,-50.0,-298,0,100,0,0,62,34722.086691856384
960,-50.0,-298,0,100,0,0,62,34933.24198627472
970,-50.0,-298,0,100,0,0,62,35143.40794920921
980,-50.0,-298,0,100,0,0,62,35341.45012950897
990,-50.0,-298,0,100,0,0,62,35553.996301651
1000,-50.0,-298,0,100,0,0,62,35779.90281128883
1010,-50.0,-298,0,100,0,0,62,35994.348554611206
1020,-50.0,-298,0,100,0,0,62,36199.83891391754
1030,-50.0,-298,0,100,0,0,62,36417.2971765995
1040,-50.0,-298,0,100,0,0,62,36620.18034553528
1050,-50.0,-298,0,100,0,0,62,36831.144699811935
1060,-50.0,-298,0,100,0,0,62,37064.575852155685
1070,-50.0,-298,0,100,0,0,62,37258.96213841438
1080,-50.0,-298,0,100,0,0,62,37478.75109386444
1090,-50.0,-298,0,100,0,0,62,37710.586145401
1100,-50.0,-298,0,100,0,0,62,37928.33630347252
1110,-50.0,-298,0,100,0,0,62,38123.846901893616
1120,-50.0,-298,0,100,0,0,62,38340.38970255852
1130,-50.0,-298,0,100,0,0,62,38598.464084625244
1140,-50.0,-298,0,100,0,0,62,38803.55701494217
1150,-50.0,-298,0,100,0,0,62,39044.97425031662
1160,-50.0,-298,0,100,0,0,62,39246.39077973366
1170,-50.0,-298,0,100,0,0,62,39421.67198777199
1180,-50.0,-298,0,100,0,0,62,39595.9985435009
1190,-50.0,-298,0,100,0,0,62,39768.78538060188
1200,-50.0,-298,0,100,0,0,62,39940.04758000374
1210,-50.0,-298,0,100,0,0,62,40112.94538784027
1220,-50.0,-298,0,100,0,0,62,40281.24958896637
1230,-50.0,-298,0,100,0,0,62,40457.72474002838
1240,-50.0,-298,0,100,0,0,62,40644.18725323677
1250,-50.0,-298,0,100,0,0,62,40824.21793675423
1260,-50.0,-298,0,100,0,0,62,40997.9996445179
1270,-50.0,-298,0,100,0,0,62,41170.58629131317
1280,-50.0,-298,0,100,0,0,62,41340.80610489845
1290,-50.0,-298,0,100,0,0,62,41506.93747711182
1300,-50.0,-298,0,100,0,0,62,41679.36067175865
1310,-50.0,-298,0,100,0,0,62,41848.94856095314
1320,-50.0,-298,0,100,0,0,62,42017.10197138786
1330,-50.0,-298,0,100,0,0,62,42185.22315645218
1340,-50.0,-298,0,100,0,0,62,42353.87610411644
1350,-50.0,-298,0,100,0,0,62,42521.94001507759
1360,-50.0,-298,0,100,0,0,62,42692.101472616196
1370,-50.0,-298,0,100,0,0,62,42865.70865702629
1380,-50.0,-298,0,100,0,0,62,43034.087309360504
1390,-50.0,-298,0,100,0,0,62,43198.29768395424
1400,-50.0,-298,0,100,0,0,62,43366.83468723297
1410,-50.0,-298,0,100,0,0,62,43535.496368169785
1420,-50.0,-298,0,100,0,0,62,43705.539581775665
1430,-50.0,-298,0,100,0,0,62,43875.31330871582
1440,-50.0,-298,0,100,0,0,62,44042.64264345169
1450,-50.0,-298,0,100,0,0,62,44210.823606967926
1460,-50.0,-298,0,100,0,0,62,44378.756831645966
1470,-50.0,-298,0,100,0,0,62,44548.071284770966
1480,-50.0,-298,0,100,0,0,62,44715.34311366081
1490,-50.0,-298,0,100,0,0,62,44883.666271448135
1500,-50.0,-298,0,100,0,0,62,45054.693100214005
1510,-50.0,-298,0,100,0,0,62,45224.91926217079
1520,-50.0,-298,0,100,0,0,62,45395.87185549736
1530,-50.0,-298,0,100,0,0,62,45565.37446022034
1540,-50.0,-298,0,100,0,0,62,45735.28528881073
1550,-50.0,-298,0,100,0,0,62,45907.06192159653
1560,-50.0,-298,0,100,0,0,62,46075.58565950394
1570,-50.0,-298,0,100,0,0,62,46246.67597866058
1580,-50.0,-298,0,100,0,0,62,46418.302090168
1590,-50.0,-298,0,100,0,0,62,46590.27753329277
1600,-50.0,-298,0,100,0,0,62,46760.84887313843
1610,-50.0,-298,0,100,0,0,62,46929.4610247612
1620,-50.0,-298,0,100,0,0,62,47098.349662303925
1630,-50.0,-298,0,100,0,0,62,47267.33591246605
1640,-50.0,-298,0,100,0,0,62,47438.286719322205
1650,-50.0,-298,0,100,0,0,62,47608.22914099693
1660,-50.0,-298,0,100,0,0,62,47777.322833776474
1670,-50.0,-298,0,100,0,0,62,47946.362730026245
1680,-50.0,-298,0,100,0,0,62,48116.395010471344
1690,-50.0,-298,0,100,0,0,62,48284.80709147453
1700,-50.0,-298,0,100,0,0,62,48453.86846160889
1710,-50.0,-298,0,100,0,0,62,48624.21295666695
1720,-50.0,-298,0,100,0,0,62,48794.069231987
1730,-50.0,-298,0,100,0,0,62,48965.570668935776
1740,-50.0,-298,0,100,0,0,62,49135.34071683884
1750,-50.0,-298,0,100,0,0,62,49303.998634815216
1760,-50.0,-298,0,100,0,0,62,49474.58130002022
1770,-50.0,-298,0,100,0,0,62,49645.717566251755
1780,-50.0,-298,0,100,0,0,62,49813.093042850494
1790,-50.0,-298,0,100,0,0,62,49985.28346943855
1800,-50.0,-298,0,100,0,0,62,50155.92292547226
1810,-50.0,-298,0,100,0,0,62,50327.90132880211
1820,-50.0,-298,0,100,0,0,62,50497.92381167412
1830,-50.0,-298,0,100,0,0,62,50666.51202583313
1840,-50.0,-298,0,100,0,0,62,50835.88819909096
1850,-50.0,-298,0,100,0,0,62,51005.21485066414
1860,-50.0,-298,0,100,0,0,62,51172.24108457565
1870,-50.0,-298,0,100,0,0,62,51342.765515089035
1880,-50.0,-298,0,100,0,0,62,51514.07424449921
1890,-50.0,-298,0,100,0,0,62,51680.49572753906
1900,-50.0,-298,0,100,0,0,62,51848.375047683716
1910,-50.0,-298,0,100,0,0,62,52018.42631363869
1920,-50.0,-298,0,100,0,0,62,52187.33870887756
1930,-50.0,-298,0,100,0,0,62,52356.32345914841
1940,-50.0,-298,0,100,0,0,62,52528.2231092453
1950,-50.0,-298,0,100,0,0,62,52697.913313150406
1960,-50.0,-298,0,100,0,0,62,52868.13894367218
1970,-50.0,-298,0,100,0,0,62,53037.061680316925
1980,-50.0,-298,0,100,0,0,62,53205.59525680542
1990,-50.0,-298,0,100,0,0,62,53374.2657084465
2000,-50.0,-298,0,100,0,0,62,53542.17494606972
2010,-50.0,-298,0,100,0,0,62,53713.99788761139
2020,-50.0,-298,0,100,0,0,62,53881.6688978672
2030,-50.0,-298,0,100,0,0,62,54050.73500227928
2040,-50.0,-298,0,100,0,0,62,54218.38230466843
2050,-50.0,-298,0,100,0,0,62,54385.40503048897
2060,-50.0,-298,0,100,0,0,62,54558.10092878342
2070,-50.0,-298,0,100,0,0,62,54728.28957796097
