agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,1,8,297,-297,-0.45,-0.45
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,2,8,151,-151,3.55,3.0999999999999996
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,3,0,151,-151,-0.45,2.6499999999999995
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,4,9,7,-7,3.55,6.199999999999999
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,5,9,263,97,3.55,9.75
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,6,4,263,97,-0.45,9.3
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,7,9,263,97,-0.45,8.850000000000001
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,8,9,164,196,3.55,12.400000000000002
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,9,4,166,194,-1.47,10.930000000000001
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,10,8,47,313,3.55,14.48
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,11,9,272,448,3.55,18.03
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,12,9,272,448,-0.45,17.580000000000002
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,13,9,272,448,-0.45,17.130000000000003
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,1,8,297,-297,-0.45,-0.45
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,2,8,151,-151,3.55,3.0999999999999996
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,3,0,151,-151,-0.45,2.6499999999999995
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,4,9,7,-7,3.55,6.199999999999999
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,5,9,263,97,3.55,9.75
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,6,4,263,97,-0.45,9.3
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,7,9,263,97,-0.45,8.850000000000001
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,8,9,164,196,3.55,12.400000000000002
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,9,4,166,194,-1.47,10.930000000000001
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,10,8,47,313,3.55,14.48
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,11,9,272,448,3.55,18.03
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,12,9,272,448,-0.45,17.580000000000002
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,13,9,272,448,-0.45,17.130000000000003
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,14,9,166,194,-3.99,13.140000000000002
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,1,8,297,-297,-0.45,-0.45
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,2,8,151,-151,3.55,3.0999999999999996
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,3,0,151,-151,-0.45,2.6499999999999995
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,4,9,7,-7,3.55,6.199999999999999
PPO_straight_Kiss,PPO,StraightRays,Kiss,1,5,9,263,97,3.55,9.75
