accion_numero,accion,altura,ganancia,mejor_altura,recompensa,recompensa_total
1,J30L,-297.0,1.0,-298.0,-0.450,-0.450
2,J30L,-151.0,146.0,-151.0,3.550,3.100
3,J30R,-7.0,144.0,-7.0,3.500,6.600
4,J25R,-7.0,0.0,-7.0,-0.450,6.150
5,J30R,97.0,104.0,97.0,3.550,9.700
6,J30L,196.0,99.0,196.0,3.550,13.250
7,J30R,97.0,-99.0,196.0,-2.440,10.810
8,J25L,97.0,0.0,196.0,-0.500,10.310
9,J30R,194.0,97.0,196.0,0.050,10.360
10,J10L,194.0,0.0,196.0,-0.450,9.910
11,J30L,313.0,119.0,313.0,3.550,13.460
12,J30R,448.0,135.0,448.0,3.550,17.010
13,J30R,448.0,0.0,448.0,-0.450,16.560
14,J25R,448.0,0.0,448.0,-0.450,16.110
15,J20L,448.0,0.0,448.0,-0.450,15.660
16,J25R,448.0,0.0,448.0,-1.450,14.210
17,J30R,194.0,-254.0,448.0,-4.990,9.220
18,J30R,196.0,2.0,448.0,-0.450,8.770
19,J30R,97.0,-99.0,448.0,-2.490,6.280
